time,Minnesota,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. K. Towns (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. K. Towns (D. Green gains possession)
11:45.0,,,0-0,,Turnover by K. Thompson (bad pass; steal by J. Teague)
11:26.0,K. Towns misses 3-pt shot from 26 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by D. Green
11:19.0,,,0-2,2,S. Curry makes 2-pt shot from 17 ft
11:19.0,,,0-2,,Shooting foul by J. Teague (drawn by S. Curry)
11:19.0,,,0-2,,S. Curry misses free throw 1 of 1
11:15.0,Defensive rebound by T. Gibson,,0-2,,
11:01.0,J. Teague makes 2-pt shot from 5 ft (assist by K. Towns),2,2-2,,
10:51.0,,,2-4,2,K. Thompson makes 2-pt shot from 2 ft (assist by Z. Pachulia)
10:33.0,T. Gibson misses 2-pt shot from 1 ft,,2-4,,
10:32.0,Offensive rebound by T. Gibson,,2-4,,
10:30.0,T. Gibson misses 2-pt shot from 4 ft,,2-4,,
10:28.0,Offensive rebound by K. Towns,,2-4,,
10:25.0,K. Towns makes 2-pt shot from 3 ft,2,4-4,,
10:13.0,,,4-4,,Z. Pachulia misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by T. Gibson,,4-4,,
9:55.0,K. Towns misses 3-pt shot from 25 ft,,4-4,,
9:51.0,,,4-4,,Defensive rebound by Z. Pachulia
9:46.0,,,4-4,,K. Durant misses 2-pt shot from 19 ft
9:44.0,,,4-4,,Offensive rebound by Z. Pachulia
9:44.0,,,4-4,,Z. Pachulia misses 2-pt shot from 1 ft
9:42.0,,,4-4,,Offensive rebound by Z. Pachulia
9:42.0,,,4-4,,Z. Pachulia misses 2-pt shot from 2 ft (block by T. Gibson)
9:40.0,,,4-4,,Offensive rebound by Z. Pachulia
9:38.0,,,4-4,,S. Curry misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by T. Gibson,,4-4,,
9:21.0,K. Towns misses 2-pt shot from 4 ft (block by D. Green),,4-4,,
9:18.0,,,4-4,,Defensive rebound by K. Durant
9:16.0,,,4-4,,Shooting foul by A. Wiggins (drawn by K. Durant)
9:16.0,,,4-5,1,K. Durant makes free throw 1 of 2
9:16.0,,,4-6,1,K. Durant makes free throw 2 of 2
9:00.0,K. Towns misses 3-pt shot from 25 ft,,4-6,,
8:56.0,,,4-6,,Defensive rebound by D. Green
8:53.0,,,4-9,3,K. Thompson makes 3-pt shot from 26 ft (assist by Z. Pachulia)
8:43.0,Minnesota full timeout,,4-9,,
8:36.0,J. Teague makes 2-pt shot from 10 ft,2,6-9,,
8:19.0,,,6-11,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
7:59.0,T. Gibson makes 2-pt shot from 18 ft (assist by J. Teague),2,8-11,,
7:48.0,,,8-13,2,K. Durant makes 2-pt shot from 18 ft (assist by D. Green)
7:38.0,,,8-13,,Personal foul by Z. Pachulia (drawn by K. Towns)
7:25.0,Turnover by A. Wiggins (bad pass; steal by S. Curry),,8-13,,
7:21.0,,,8-15,2,S. Curry makes 2-pt shot from 1 ft
7:10.0,A. Wiggins misses 2-pt shot from 5 ft,,8-15,,
7:09.0,Offensive rebound by Team,,8-15,,
7:04.0,J. Teague misses 2-pt shot from 9 ft,,8-15,,
7:01.0,Offensive rebound by K. Towns,,8-15,,
7:00.0,K. Towns makes 2-pt shot at rim,2,10-15,,
6:55.0,,,10-17,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant)
6:40.0,A. Wiggins misses 2-pt shot from 15 ft,,10-17,,
6:38.0,,,10-17,,Defensive rebound by S. Curry
6:32.0,,,10-19,2,D. Green makes 2-pt shot from 11 ft (assist by S. Curry)
6:23.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,12-19,,
