time,Oklahoma City,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. S. Adams (C. Anthony gains possession),,,,Jump ball: T. Chandler vs. S. Adams (C. Anthony gains possession)
11:43.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,3-0,,
11:20.0,,,3-0,,T. Ulis misses 2-pt shot from 21 ft
11:16.0,,,3-0,,Offensive rebound by T. Chandler
11:16.0,,,3-2,2,T. Chandler makes 2-pt shot at rim
11:01.0,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook),2,5-2,,
10:52.0,,,5-2,,Turnover by D. Booker (bad pass; steal by T. Ferguson)
10:48.0,T. Ferguson misses 2-pt shot from 1 ft,,5-2,,
10:47.0,Offensive rebound by R. Westbrook,,5-2,,
10:45.0,Turnover by R. Westbrook (lost ball; steal by T. Ulis),,5-2,,
10:39.0,,,5-2,,M. Chriss misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by P. George,,5-2,,
10:34.0,Turnover by P. George (bad pass; steal by M. Chriss),,5-2,,
10:20.0,,,5-2,,D. Booker misses 2-pt shot from 15 ft
10:15.0,Defensive rebound by R. Westbrook,,5-2,,
10:09.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,7-2,,
9:47.0,,,7-4,2,T. Warren makes 2-pt shot at rim (assist by M. Chriss)
9:44.0,Turnover by P. George (bad pass),,7-4,,
9:38.0,,,7-4,,T. Ulis misses 3-pt shot from 26 ft
9:35.0,Defensive rebound by R. Westbrook,,7-4,,
9:31.0,C. Anthony makes 2-pt shot from 12 ft,2,9-4,,
9:18.0,,,9-4,,D. Booker misses 2-pt shot from 7 ft
9:17.0,,,9-4,,Offensive rebound by T. Chandler
9:17.0,,,9-6,2,T. Chandler makes 2-pt shot from 9 ft
9:08.0,Oklahoma City full timeout,,9-6,,
8:59.0,P. George makes 2-pt shot from 19 ft,2,11-6,,
8:59.0,Shooting foul by T. Warren (drawn by P. George),,11-6,,
8:59.0,P. George makes free throw 1 of 1,1,12-6,,
8:41.0,,,12-8,2,T. Chandler makes 2-pt shot from 1 ft (assist by D. Booker)
8:23.0,R. Westbrook makes 2-pt shot from 8 ft,2,14-8,,
8:09.0,,,14-8,,D. Booker misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by S. Adams,,14-8,,
7:58.0,Turnover by P. George (bad pass),,14-8,,
7:54.0,,,14-8,,Shooting foul by T. Ferguson (drawn by D. Booker)
7:54.0,,,14-8,,D. Booker misses free throw 1 of 3
7:54.0,,,14-8,,Offensive rebound by Team
7:54.0,,,14-8,,D. Booker misses free throw 2 of 3
7:54.0,,,14-8,,Offensive rebound by Team
7:54.0,,,14-8,,J. Jackson enters the game for T. Ulis
7:54.0,,,14-9,1,D. Booker makes free throw 3 of 3
7:41.0,C. Anthony misses 3-pt shot from 25 ft,,14-9,,
7:40.0,,,14-9,,Defensive rebound by Team
7:40.0,Loose ball foul by S. Adams (drawn by T. Chandler),,14-9,,
7:20.0,,,14-11,2,T. Warren makes 2-pt shot from 10 ft (assist by M. Chriss)
7:07.0,P. George misses 3-pt shot from 24 ft,,14-11,,
7:06.0,,,14-11,,Defensive rebound by J. Jackson
7:03.0,,,14-11,,Shooting foul by P. George (drawn by T. Warren)
7:03.0,,,14-12,1,T. Warren makes free throw 1 of 2
7:03.0,,,14-13,1,T. Warren makes free throw 2 of 2
6:57.0,Turnover by R. Westbrook (bad pass),,14-13,,
6:38.0,,,14-13,,M. Chriss misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by C. Anthony,,14-13,,
6:21.0,S. Adams makes 2-pt shot from 7 ft,2,16-13,,
5:57.0,,,16-13,,D. Booker misses 2-pt shot from 20 ft
5:54.0,Defensive rebound by C. Anthony,,16-13,,
5:40.0,C. Anthony misses 2-pt shot from 21 ft,,16-13,,
5:37.0,,,16-13,,Defensive rebound by T. Chandler
5:33.0,,,16-16,3,D. Booker makes 3-pt shot from 25 ft
5:16.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,18-16,,
5:05.0,,,18-16,,Turnover by D. Booker (bad pass; steal by C. Anthony)
4:58.0,R. Westbrook makes 2-pt shot from 15 ft,2,20-16,,
4:42.0,,,20-16,,D. Booker misses 2-pt shot from 16 ft (block by C. Anthony)
