time,San Antonio,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. P. Gasol (T. Parker gains possession),,,,Jump ball: M. Plumlee vs. P. Gasol (T. Parker gains possession)
11:39.0,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker),2,2-0,,
11:22.0,,,2-2,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Bazemore)
11:06.0,P. Gasol misses 2-pt shot from 11 ft,,2-2,,
11:03.0,,,2-2,,Defensive rebound by T. Waller-Prince
10:57.0,,,2-2,,D. Schroder misses 2-pt shot from 14 ft
10:54.0,Defensive rebound by K. Anderson,,2-2,,
10:47.0,L. Aldridge makes 3-pt shot from 24 ft (assist by D. Green),3,5-2,,
10:25.0,,,5-2,,T. Waller-Prince misses 2-pt shot from 7 ft
10:21.0,Defensive rebound by P. Gasol,,5-2,,
10:11.0,L. Aldridge misses 2-pt shot from 1 ft (block by K. Bazemore),,5-2,,
10:07.0,,,5-2,,Defensive rebound by E. Ilyasova
9:59.0,,,5-4,2,K. Bazemore makes 2-pt shot from 8 ft (assist by T. Waller-Prince)
9:50.0,Shooting foul by M. Plumlee (drawn by P. Gasol),,5-4,,
9:50.0,P. Gasol makes free throw 1 of 2,1,6-4,,
9:50.0,P. Gasol makes free throw 2 of 2,1,7-4,,
9:40.0,,,7-4,,Turnover by D. Schroder (bad pass; steal by T. Parker)
9:36.0,,,7-4,,Violation by E. Ilyasova (kicked ball)
9:23.0,Shooting foul by T. Waller-Prince (drawn by K. Anderson),,7-4,,
9:23.0,K. Anderson makes free throw 1 of 2,1,8-4,,
9:23.0,K. Anderson makes free throw 2 of 2,1,9-4,,
9:12.0,,,9-4,,Turnover by D. Schroder (bad pass; steal by T. Parker)
8:55.0,L. Aldridge makes 2-pt shot from 20 ft (assist by K. Anderson),2,11-4,,
8:54.0,,,11-4,,Atlanta full timeout
8:42.0,Personal foul by D. Green (drawn by M. Plumlee),,11-4,,
8:35.0,,,11-4,,K. Bazemore misses 2-pt shot from 22 ft
8:31.0,Defensive rebound by T. Parker,,11-4,,
8:10.0,T. Parker misses 2-pt shot from 22 ft,,11-4,,
8:06.0,Offensive rebound by P. Gasol,,11-4,,
8:02.0,K. Anderson makes 3-pt shot from 22 ft (assist by T. Parker),3,14-4,,
7:38.0,,,14-4,,M. Plumlee misses 2-pt shot from 8 ft
7:35.0,Defensive rebound by D. Green,,14-4,,
7:26.0,L. Aldridge makes 2-pt shot from 5 ft (assist by P. Gasol),2,16-4,,
7:05.0,,,16-4,,Turnover by D. Schroder (lost ball; steal by T. Parker)
6:58.0,T. Parker makes 2-pt shot from 16 ft,2,18-4,,
6:42.0,,,18-6,2,D. Schroder makes 2-pt shot from 17 ft
6:24.0,K. Anderson misses 3-pt shot from 25 ft,,18-6,,
6:21.0,,,18-6,,Defensive rebound by E. Ilyasova
