time,Minnesota,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. K. Towns (T. Young gains possession),,,,Jump ball: M. Turner vs. K. Towns (T. Young gains possession)
11:44.0,,,0-0,,Turnover by M. Turner (lost ball; steal by K. Towns)
11:28.0,K. Towns makes 2-pt shot from 10 ft,2,2-0,,
11:16.0,,,2-0,,Turnover by L. Stephenson (bad pass; steal by J. Butler)
11:12.0,T. Jones misses 2-pt shot from 1 ft (block by M. Turner),,2-0,,
11:09.0,,,2-0,,Defensive rebound by L. Stephenson
11:00.0,,,2-0,,L. Stephenson misses 2-pt shot from 18 ft
10:58.0,Defensive rebound by K. Towns,,2-0,,
10:41.0,K. Towns misses 3-pt shot from 26 ft,,2-0,,
10:39.0,,,2-0,,Defensive rebound by L. Stephenson
10:27.0,,,2-0,,M. Turner misses 2-pt shot from 16 ft
10:24.0,Defensive rebound by T. Jones,,2-0,,
10:08.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler),2,4-0,,
9:59.0,,,4-0,,B. Bogdanovic misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by K. Towns,,4-0,,
9:46.0,Turnover by K. Towns (out of bounds lost ball),,4-0,,
9:28.0,,,4-0,,T. Young misses 2-pt shot from 15 ft
9:25.0,Defensive rebound by K. Towns,,4-0,,
9:20.0,Turnover by A. Wiggins (lost ball; steal by B. Bogdanovic),,4-0,,
9:11.0,,,4-0,,M. Turner misses 2-pt shot from 20 ft
9:08.0,Defensive rebound by K. Towns,,4-0,,
8:56.0,J. Butler makes 2-pt shot from 6 ft,2,6-0,,
8:39.0,,,6-0,,M. Turner misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by A. Wiggins,,6-0,,
8:17.0,A. Wiggins misses 2-pt shot from 20 ft,,6-0,,
8:14.0,,,6-0,,Defensive rebound by L. Stephenson
8:04.0,,,6-0,,T. Young misses 2-pt shot from 6 ft (block by K. Towns)
8:04.0,,,6-0,,Offensive rebound by Team
7:55.0,,,6-0,,D. Collison misses 2-pt shot from 20 ft (block by K. Towns)
7:52.0,Defensive rebound by T. Gibson,,6-0,,
7:41.0,T. Jones makes 2-pt shot from 1 ft (assist by K. Towns),2,8-0,,
7:40.0,,,8-0,,Indiana full timeout
7:17.0,,,8-0,,L. Stephenson misses 2-pt shot from 4 ft
7:15.0,Defensive rebound by T. Gibson,,8-0,,
7:09.0,J. Butler makes 2-pt shot from 10 ft,2,10-0,,
7:09.0,,,10-0,,Violation by T. Young (def goaltending)
7:09.0,Shooting foul by D. Collison (drawn by J. Butler),,10-0,,
7:09.0,,,10-0,,D. Sabonis enters the game for M. Turner
7:09.0,J. Butler makes free throw 1 of 1,1,11-0,,
6:50.0,,,11-0,,D. Sabonis misses 2-pt shot from 11 ft (block by K. Towns)
6:45.0,,,11-0,,Offensive rebound by D. Sabonis
6:45.0,,,11-0,,D. Sabonis misses 2-pt shot from 12 ft
6:45.0,,,11-0,,Offensive rebound by Team
6:45.0,,,11-0,,Turnover by Team (shot clock)
6:45.0,,,11-0,,C. Joseph enters the game for D. Collison
6:24.0,J. Butler misses 2-pt shot from 16 ft,,11-0,,
6:21.0,,,11-0,,Defensive rebound by D. Sabonis
6:15.0,,,11-0,,Turnover by C. Joseph (bad pass; steal by J. Butler)
6:10.0,A. Wiggins makes 2-pt shot from 8 ft,2,13-0,,
5:56.0,,,13-0,,L. Stephenson misses 2-pt shot from 3 ft (block by K. Towns)
5:54.0,Defensive rebound by T. Gibson,,13-0,,
5:50.0,J. Butler makes 2-pt shot from 1 ft (assist by A. Wiggins),2,15-0,,
5:33.0,,,15-0,,Turnover by C. Joseph (bad pass; steal by T. Jones)
5:28.0,T. Gibson makes 2-pt shot at rim (assist by T. Jones),2,17-0,,
5:28.0,,,17-0,,Indiana full timeout
5:28.0,,,17-0,,A. Jefferson enters the game for L. Stephenson
5:28.0,,,17-0,,D. Wilkins enters the game for T. Young
5:15.0,,,17-2,2,D. Sabonis makes 2-pt shot from 7 ft (assist by B. Bogdanovic)
4:48.0,K. Towns misses 2-pt shot from 18 ft,,17-2,,
4:44.0,,,17-2,,Defensive rebound by D. Sabonis
4:26.0,,,17-4,2,D. Sabonis makes 2-pt shot from 1 ft
4:11.0,Turnover by J. Butler (lost ball; steal by D. Sabonis),,17-4,,
4:06.0,,,17-4,,B. Bogdanovic misses 3-pt shot from 23 ft
4:03.0,Defensive rebound by J. Butler,,17-4,,
3:54.0,T. Gibson misses 2-pt shot from 1 ft,,17-4,,
3:52.0,Offensive rebound by J. Butler,,17-4,,
3:52.0,Shooting foul by A. Jefferson (drawn by J. Butler),,17-4,,
3:52.0,J. Butler makes free throw 1 of 2,1,18-4,,
3:52.0,G. Dieng enters the game for K. Towns,,18-4,,
3:52.0,J. Butler makes free throw 2 of 2,1,19-4,,
