time,Sacramento,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. J. Sampson (Z. Randolph gains possession),,,,Jump ball: K. Love vs. J. Sampson (Z. Randolph gains possession)
11:36.0,G. Temple misses 3-pt shot from 23 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by K. Love
11:21.0,,,0-2,2,K. Love makes 2-pt shot at rim (assist by L. James)
11:10.0,D. Fox makes 2-pt shot from 5 ft,2,2-2,,
11:00.0,,,2-2,,J. Calderon misses 2-pt shot from 2 ft (block by D. Fox)
10:56.0,Defensive rebound by J. Sampson,,2-2,,
10:41.0,Offensive foul by D. Fox (drawn by J. Calderon),,2-2,,
10:41.0,Turnover by D. Fox (offensive foul),,2-2,,
10:29.0,,,2-2,,K. Love misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by J. Sampson,,2-2,,
10:18.0,G. Temple makes 2-pt shot from 2 ft (assist by Z. Randolph),2,4-2,,
10:04.0,,,4-2,,K. Love misses 2-pt shot from 20 ft
10:03.0,Defensive rebound by J. Sampson,,4-2,,
9:57.0,Z. Randolph misses 2-pt shot from 9 ft,,4-2,,
9:54.0,,,4-2,,Defensive rebound by K. Love
9:47.0,,,4-2,,J. Crowder misses 2-pt shot from 1 ft
9:44.0,Defensive rebound by Z. Randolph,,4-2,,
9:41.0,Turnover by D. Fox (out of bounds lost ball),,4-2,,
9:29.0,,,4-4,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
9:12.0,G. Hill misses 3-pt shot from 26 ft,,4-4,,
9:08.0,,,4-4,,Defensive rebound by J. Crowder
8:59.0,,,4-4,,J. Crowder misses 3-pt shot from 23 ft
8:56.0,Defensive rebound by G. Hill,,4-4,,
8:40.0,G. Hill misses 2-pt shot from 14 ft,,4-4,,
8:34.0,,,4-4,,Defensive rebound by K. Love
8:23.0,,,4-4,,Turnover by L. James (bad pass; steal by Z. Randolph)
8:17.0,G. Temple misses 3-pt shot from 23 ft,,4-4,,
8:14.0,,,4-4,,Defensive rebound by J. Smith
8:03.0,,,4-4,,J. Calderon misses 2-pt shot from 19 ft
7:59.0,Defensive rebound by Z. Randolph,,4-4,,
7:48.0,J. Sampson misses 2-pt shot from 1 ft,,4-4,,
7:40.0,Offensive rebound by Z. Randolph,,4-4,,
7:40.0,Z. Randolph makes 2-pt shot at rim,2,6-4,,
7:22.0,,,6-6,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Smith)
7:02.0,Z. Randolph misses 2-pt shot from 19 ft,,6-6,,
6:59.0,,,6-6,,Defensive rebound by L. James
6:56.0,,,6-6,,Turnover by L. James (bad pass; steal by Z. Randolph)
6:40.0,G. Temple misses 3-pt shot from 23 ft,,6-6,,
6:37.0,,,6-6,,Defensive rebound by K. Love
6:34.0,,,6-6,,Cleveland full timeout
6:21.0,,,6-6,,L. James misses 2-pt shot from 3 ft
6:18.0,Defensive rebound by G. Hill,,6-6,,
5:56.0,Z. Randolph misses 2-pt shot from 10 ft,,6-6,,
5:53.0,,,6-6,,Defensive rebound by K. Love
5:45.0,,,6-6,,L. James misses 2-pt shot from 7 ft
5:44.0,,,6-6,,K. Love misses 2-pt shot from 1 ft
5:44.0,Defensive rebound by G. Hill,,6-6,,
5:44.0,,,6-6,,Defensive rebound by K. Love
5:38.0,G. Hill makes 2-pt shot from 2 ft,2,8-6,,
5:27.0,,,8-6,,J. Calderon misses 3-pt shot from 27 ft
5:27.0,Defensive rebound by Z. Randolph,,8-6,,
5:11.0,Z. Randolph makes 2-pt shot from 7 ft (assist by D. Fox),2,10-6,,
4:54.0,Personal foul by Z. Randolph (drawn by J. Smith),,10-6,,
4:54.0,,,10-6,,D. Wade enters the game for J. Calderon
4:42.0,,,10-8,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
4:14.0,G. Temple makes 3-pt shot from 22 ft,3,13-8,,
4:01.0,,,13-11,3,J. Smith makes 3-pt shot from 22 ft (assist by L. James)
3:53.0,Turnover by D. Fox (bad pass; steal by K. Love),,13-11,,
3:48.0,,,13-11,,Turnover by K. Love (bad pass; steal by Z. Randolph)
3:48.0,Z. Randolph misses 2-pt shot at rim,,13-11,,
3:48.0,Offensive rebound by Z. Randolph,,13-11,,
3:48.0,Z. Randolph misses 2-pt shot at rim,,13-11,,
3:48.0,,,13-11,,Defensive rebound by Team
3:48.0,Loose ball foul by Z. Randolph (drawn by K. Love),,13-11,,
