time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. P. Gasol (P. Mills gains possession),,,,Jump ball: C. Capela vs. P. Gasol (P. Mills gains possession)
11:37.0,P. Gasol misses 2-pt shot from 11 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by C. Capela
11:23.0,,,0-0,,P. Tucker misses 3-pt shot from 23 ft
11:19.0,Defensive rebound by P. Gasol,,0-0,,
11:11.0,R. Gay makes 2-pt shot from 16 ft (assist by K. Anderson),2,2-0,,
10:45.0,,,2-2,2,C. Paul makes 2-pt shot from 14 ft
10:25.0,P. Mills misses 3-pt shot from 25 ft,,2-2,,
10:25.0,,,2-2,,Defensive rebound by P. Tucker
10:12.0,,,2-4,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:54.0,,,2-4,,Personal foul by C. Paul (drawn by D. Murray)
9:42.0,P. Gasol misses 2-pt shot from 8 ft,,2-4,,
9:39.0,,,2-4,,Defensive rebound by P. Tucker
9:35.0,,,2-4,,Shooting foul by P. Gasol (drawn by C. Capela)
9:35.0,,,2-5,1,C. Capela makes free throw 1 of 2
9:35.0,,,2-5,,C. Capela misses free throw 2 of 2
9:35.0,Defensive rebound by Team,,2-5,,
9:20.0,R. Gay misses 2-pt shot from 3 ft,,2-5,,
9:18.0,,,2-5,,Defensive rebound by C. Capela
9:13.0,,,2-5,,Turnover by J. Harden (out of bounds lost ball)
8:57.0,R. Gay misses 2-pt shot from 8 ft,,2-5,,
8:55.0,,,2-5,,Defensive rebound by C. Capela
8:44.0,,,2-8,3,T. Ariza makes 3-pt shot from 26 ft (assist by C. Paul)
8:34.0,D. Murray misses 2-pt shot from 12 ft,,2-8,,
8:31.0,,,2-8,,Defensive rebound by T. Ariza
8:24.0,,,2-8,,Turnover by T. Ariza (bad pass; steal by D. Murray)
8:20.0,R. Gay misses 2-pt shot at rim,,2-8,,
8:15.0,,,2-8,,Defensive rebound by C. Paul
8:02.0,,,2-8,,Shooting foul by K. Anderson (drawn by J. Harden)
8:02.0,,,2-9,1,J. Harden makes free throw 1 of 3
8:02.0,,,2-10,1,J. Harden makes free throw 2 of 3
8:02.0,,,2-11,1,J. Harden makes free throw 3 of 3
7:47.0,D. Murray misses 2-pt shot from 11 ft,,2-11,,
7:43.0,Offensive rebound by D. Murray,,2-11,,
7:42.0,K. Anderson makes 2-pt shot from 8 ft (assist by D. Murray),2,4-11,,
7:35.0,,,4-13,2,T. Ariza makes 2-pt shot at rim (assist by C. Paul)
7:35.0,San Antonio full timeout,,4-13,,
7:35.0,,,4-13,,E. Gordon enters the game for C. Paul
7:35.0,D. Green enters the game for K. Anderson,,4-13,,
7:35.0,B. Forbes enters the game for D. Murray,,4-13,,
7:35.0,T. Parker enters the game for P. Mills,,4-13,,
7:35.0,J. Lauvergne enters the game for P. Gasol,,4-13,,
7:35.0,D. Bertans enters the game for R. Gay,,4-13,,
7:22.0,,,4-13,,Violation by T. Ariza (kicked ball)
7:10.0,J. Lauvergne misses 2-pt shot from 5 ft,,4-13,,
7:03.0,Offensive rebound by J. Lauvergne,,4-13,,
7:03.0,J. Lauvergne misses 2-pt shot at rim,,4-13,,
7:02.0,,,4-13,,Defensive rebound by C. Capela
6:56.0,Personal foul by B. Forbes (drawn by J. Harden),,4-13,,
6:56.0,B. Paul enters the game for B. Forbes,,4-13,,
6:53.0,,,4-13,,T. Ariza misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by J. Lauvergne,,4-13,,
6:36.0,D. Bertans misses 3-pt shot from 27 ft,,4-13,,
6:33.0,,,4-13,,Defensive rebound by P. Tucker
6:29.0,,,4-13,,P. Tucker misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by B. Paul,,4-13,,
6:16.0,,,4-13,,Personal foul by T. Ariza (drawn by B. Paul)
6:16.0,,,4-13,,L. Mbah a Moute enters the game for P. Tucker
6:05.0,D. Green misses 3-pt shot from 23 ft,,4-13,,
6:03.0,,,4-13,,Defensive rebound by T. Ariza
5:54.0,,,4-15,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
5:36.0,D. Green misses 2-pt shot from 10 ft,,4-15,,
5:33.0,,,4-15,,Defensive rebound by C. Capela
