time,Phoenix,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. T. Chandler (M. Chriss gains possession),,,,Jump ball: K. Porzingis vs. T. Chandler (M. Chriss gains possession)
11:45.0,T. Chandler misses 2-pt shot from 3 ft (block by K. Porzingis),,0-0,,
11:38.0,,,0-0,,Defensive rebound by K. Porzingis
11:32.0,,,0-0,,T. Hardaway misses 3-pt shot from 26 ft
11:28.0,Defensive rebound by M. Chriss,,0-0,,
11:14.0,M. Chriss misses 2-pt shot from 1 ft,,0-0,,
11:10.0,Offensive rebound by M. Chriss,,0-0,,
11:10.0,M. Chriss misses 2-pt shot at rim,,0-0,,
11:09.0,Offensive rebound by M. Chriss,,0-0,,
11:08.0,Shooting foul by C. Lee (drawn by D. Booker),,0-0,,
11:08.0,D. Booker makes free throw 1 of 2,1,1-0,,
11:08.0,D. Booker makes free throw 2 of 2,1,2-0,,
10:51.0,,,2-2,2,K. Porzingis makes 2-pt shot from 17 ft (assist by E. Kanter)
10:35.0,T. Warren misses 2-pt shot from 1 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by K. Porzingis
10:28.0,Personal foul by D. Booker (drawn by T. Hardaway),,2-2,,
10:25.0,,,2-2,,C. Lee misses 2-pt shot from 17 ft
10:21.0,Defensive rebound by M. James,,2-2,,
10:13.0,T. Warren misses 2-pt shot from 13 ft,,2-2,,
10:11.0,,,2-2,,Defensive rebound by K. Porzingis
10:01.0,,,2-4,2,E. Kanter makes 2-pt shot from 1 ft
9:50.0,M. Chriss misses 2-pt shot from 22 ft,,2-4,,
9:50.0,Offensive rebound by Team,,2-4,,
9:42.0,T. Chandler misses 2-pt shot from 1 ft,,2-4,,
9:40.0,Offensive rebound by T. Warren,,2-4,,
9:39.0,T. Warren makes 2-pt shot at rim,2,4-4,,
9:17.0,,,4-6,2,K. Porzingis makes 2-pt shot from 12 ft
8:54.0,D. Booker misses 3-pt shot from 32 ft,,4-6,,
8:50.0,,,4-6,,Defensive rebound by J. Jack
8:47.0,,,4-6,,J. Jack misses 2-pt shot from 17 ft (block by M. James)
8:43.0,Defensive rebound by M. James,,4-6,,
8:42.0,Shooting foul by T. Hardaway (drawn by D. Booker),,4-6,,
8:42.0,D. Booker makes free throw 1 of 2,1,5-6,,
8:42.0,D. Booker makes free throw 2 of 2,1,6-6,,
8:29.0,,,6-9,3,T. Hardaway makes 3-pt shot from 26 ft
8:17.0,T. Warren misses 2-pt shot from 1 ft,,6-9,,
8:14.0,,,6-9,,Defensive rebound by J. Jack
8:11.0,,,6-9,,T. Hardaway misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by M. Chriss,,6-9,,
8:05.0,D. Booker makes 2-pt shot from 1 ft,2,8-9,,
7:43.0,,,8-11,2,C. Lee makes 2-pt shot from 9 ft
7:25.0,D. Booker makes 2-pt shot at rim (assist by M. James),2,10-11,,
7:05.0,,,10-13,2,K. Porzingis makes 2-pt shot from 10 ft
6:50.0,Shooting foul by K. Porzingis (drawn by T. Warren),,10-13,,
6:50.0,,,10-13,,New York full timeout
6:50.0,T. Warren makes free throw 1 of 2,1,11-13,,
6:50.0,T. Warren makes free throw 2 of 2,1,12-13,,
6:37.0,,,12-13,,T. Hardaway misses 2-pt shot from 23 ft
6:35.0,Defensive rebound by D. Booker,,12-13,,
6:31.0,T. Warren misses 2-pt shot from 10 ft,,12-13,,
6:29.0,,,12-13,,Defensive rebound by E. Kanter
6:24.0,,,12-13,,J. Jack misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by Team,,12-13,,
6:01.0,D. Booker makes 3-pt shot from 24 ft,3,15-13,,
5:47.0,,,15-15,2,K. Porzingis makes 2-pt shot from 15 ft (assist by E. Kanter)
5:37.0,M. Chriss misses 3-pt shot from 25 ft,,15-15,,
5:34.0,Offensive rebound by T. Chandler,,15-15,,
5:29.0,M. James misses 3-pt shot from 27 ft,,15-15,,
5:27.0,,,15-15,,Defensive rebound by E. Kanter
5:16.0,,,15-15,,Shooting foul by T. Chandler (drawn by K. Porzingis)
5:16.0,,,15-16,1,K. Porzingis makes free throw 1 of 2
5:16.0,,,15-16,,L. Thomas enters the game for C. Lee
5:16.0,,,15-17,1,K. Porzingis makes free throw 2 of 2
5:09.0,T. Warren misses 2-pt shot from 14 ft,,15-17,,
5:06.0,,,15-17,,Defensive rebound by L. Thomas
4:59.0,Personal foul by M. Chriss (drawn by T. Hardaway),,15-17,,
4:59.0,D. Bender enters the game for M. Chriss,,15-17,,
4:52.0,,,15-17,,K. Porzingis misses 2-pt shot from 9 ft
4:48.0,,,15-17,,Offensive rebound by E. Kanter
4:46.0,,,15-20,3,T. Hardaway makes 3-pt shot from 24 ft (assist by J. Jack)
4:32.0,M. James misses 2-pt shot from 19 ft,,15-20,,
4:29.0,,,15-20,,Defensive rebound by T. Hardaway
4:16.0,,,15-20,,K. Porzingis misses 2-pt shot from 19 ft
4:12.0,,,15-20,,Offensive rebound by E. Kanter
4:10.0,,,15-22,2,K. Porzingis makes 2-pt shot at rim (assist by E. Kanter)
4:09.0,Phoenix full timeout,,15-22,,
4:09.0,A. Len enters the game for M. James,,15-22,,
4:09.0,T. Ulis enters the game for T. Chandler,,15-22,,
3:53.0,D. Booker misses 2-pt shot from 17 ft,,15-22,,
3:49.0,Offensive rebound by T. Warren,,15-22,,
3:47.0,T. Warren makes 2-pt shot at rim,2,17-22,,
3:36.0,,,17-22,,Offensive charge foul by L. Thomas (drawn by T. Warren)
3:36.0,,,17-22,,Turnover by L. Thomas (offensive foul)
3:36.0,,,17-22,,F. Ntilikina enters the game for J. Jack
3:20.0,D. Bender misses 3-pt shot from 24 ft,,17-22,,
3:17.0,,,17-22,,Defensive rebound by E. Kanter
3:11.0,,,17-24,2,E. Kanter makes 2-pt shot from 1 ft
2:53.0,T. Warren misses 3-pt shot from 28 ft,,17-24,,
2:51.0,,,17-24,,Defensive rebound by E. Kanter
2:32.0,,,17-26,2,E. Kanter makes 2-pt shot from 1 ft
2:25.0,D. Booker misses 2-pt shot from 1 ft,,17-26,,
2:20.0,Offensive rebound by T. Warren,,17-26,,
2:20.0,T. Warren misses 2-pt shot at rim,,17-26,,
