time,LA Clippers,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Jordan (J. Wall gains possession),,,,Jump ball: M. Gortat vs. D. Jordan (J. Wall gains possession)
11:46.0,,,0-0,,M. Morris misses 2-pt shot from 11 ft
11:40.0,,,0-0,,Offensive rebound by O. Porter
11:40.0,,,0-2,2,O. Porter makes 2-pt shot at rim
11:27.0,L. Williams misses 2-pt shot from 16 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by B. Beal
11:10.0,,,0-2,,M. Morris misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by W. Johnson,,0-2,,
10:53.0,Shooting foul by O. Porter (drawn by S. Thornwell),,0-2,,
10:53.0,S. Thornwell misses free throw 1 of 2,,0-2,,
10:53.0,Offensive rebound by Team,,0-2,,
10:53.0,S. Thornwell makes free throw 2 of 2,1,1-2,,
10:42.0,,,1-2,,J. Wall misses 3-pt shot from 26 ft
10:37.0,Defensive rebound by S. Thornwell,,1-2,,
10:33.0,J. Wilson makes 2-pt shot from 17 ft (assist by S. Thornwell),2,3-2,,
10:21.0,,,3-4,2,J. Wall makes 2-pt shot at rim
10:15.0,,,3-4,,Personal foul by M. Morris (drawn by L. Williams)
10:10.0,,,3-4,,Personal foul by M. Gortat (drawn by L. Williams)
10:04.0,,,3-4,,Personal foul by J. Wall (drawn by L. Williams)
9:58.0,D. Jordan misses 2-pt shot from 7 ft,,3-4,,
9:56.0,,,3-4,,Defensive rebound by M. Gortat
9:52.0,,,3-4,,Shooting foul by J. Wilson (drawn by J. Wall)
9:52.0,,,3-4,,J. Wall misses free throw 1 of 2
9:52.0,,,3-4,,Offensive rebound by Team
9:52.0,,,3-4,,J. Wall misses free throw 2 of 2
9:50.0,Defensive rebound by D. Jordan,,3-4,,
9:39.0,Turnover by D. Jordan (bad pass; steal by J. Wall),,3-4,,
9:27.0,,,3-4,,O. Porter misses 3-pt shot from 23 ft
9:22.0,Defensive rebound by W. Johnson,,3-4,,
9:21.0,Shooting foul by B. Beal (drawn by L. Williams),,3-4,,
9:21.0,L. Williams makes free throw 1 of 2,1,4-4,,
9:21.0,L. Williams makes free throw 2 of 2,1,5-4,,
9:04.0,,,5-6,2,M. Gortat makes 2-pt shot from 5 ft (assist by M. Morris)
8:56.0,Shooting foul by O. Porter (drawn by D. Jordan),,5-6,,
8:56.0,D. Jordan misses free throw 1 of 2,,5-6,,
8:56.0,Offensive rebound by Team,,5-6,,
8:56.0,,,5-6,,K. Oubre enters the game for O. Porter
8:56.0,D. Jordan misses free throw 2 of 2,,5-6,,
8:53.0,,,5-6,,Defensive rebound by K. Oubre
8:44.0,Personal foul by W. Johnson (drawn by B. Beal),,5-6,,
8:31.0,,,5-6,,J. Wall misses 2-pt shot from 19 ft (block by J. Wilson)
8:28.0,Defensive rebound by D. Jordan,,5-6,,
8:23.0,L. Williams misses 3-pt shot from 25 ft,,5-6,,
8:23.0,,,5-6,,Defensive rebound by K. Oubre
8:15.0,,,5-6,,B. Beal misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by D. Jordan,,5-6,,
