time,New York,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. O'Quinn (M. Beasley gains possession),,,,Jump ball: C. Capela vs. K. O'Quinn (M. Beasley gains possession)
11:35.0,M. Beasley misses 2-pt shot from 17 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by C. Capela
11:26.0,,,0-2,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
11:14.0,T. Hardaway misses 3-pt shot from 26 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by P. Tucker
11:03.0,,,0-2,,C. Paul misses 2-pt shot from 8 ft
11:03.0,Defensive rebound by K. O'Quinn,,0-2,,
10:57.0,C. Lee makes 3-pt shot from 25 ft (assist by M. Beasley),3,3-2,,
10:30.0,,,3-2,,Turnover by Team (shot clock)
10:14.0,M. Beasley makes 2-pt shot from 10 ft,2,5-2,,
10:14.0,Shooting foul by P. Tucker (drawn by M. Beasley),,5-2,,
10:14.0,M. Beasley misses free throw 1 of 1,,5-2,,
10:07.0,,,5-2,,Defensive rebound by P. Tucker
10:05.0,,,5-2,,T. Ariza misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by K. O'Quinn,,5-2,,
9:53.0,Turnover by C. Lee (bad pass; steal by C. Paul),,5-2,,
9:48.0,,,5-2,,T. Ariza misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by T. Hardaway,,5-2,,
9:39.0,M. Beasley makes 2-pt shot from 15 ft (assist by T. Hardaway),2,7-2,,
9:29.0,,,7-2,,Turnover by P. Tucker (step out of bounds)
9:17.0,C. Lee makes 2-pt shot from 19 ft (assist by J. Jack),2,9-2,,
9:04.0,,,9-2,,J. Harden misses 3-pt shot from 26 ft
9:01.0,Defensive rebound by K. O'Quinn,,9-2,,
8:54.0,K. O'Quinn makes 2-pt shot at rim (assist by J. Jack),2,11-2,,
8:35.0,,,11-2,,C. Paul misses 2-pt shot from 2 ft
8:34.0,,,11-2,,Offensive rebound by C. Capela
8:34.0,,,11-2,,Shooting foul by K. O'Quinn (drawn by C. Capela)
8:34.0,,,11-2,,C. Capela misses free throw 1 of 2
8:34.0,,,11-2,,Offensive rebound by Team
8:34.0,,,11-3,1,C. Capela makes free throw 2 of 2
8:15.0,T. Hardaway makes 2-pt shot from 19 ft (assist by M. Beasley),2,13-3,,
8:05.0,Personal foul by C. Lee (drawn by J. Harden),,13-3,,
8:00.0,,,13-3,,J. Harden misses 2-pt shot from 2 ft
7:58.0,Defensive rebound by K. O'Quinn,,13-3,,
7:52.0,M. Beasley makes 2-pt shot from 2 ft (assist by J. Jack),2,15-3,,
7:52.0,,,15-3,,Houston full timeout
7:40.0,,,15-3,,J. Harden misses 3-pt shot from 25 ft
7:40.0,,,15-3,,Offensive rebound by Team
7:40.0,Loose ball foul by K. O'Quinn (drawn by C. Capela),,15-3,,
7:40.0,W. Hernangomez enters the game for K. O'Quinn,,15-3,,
7:23.0,,,15-3,,Turnover by J. Harden (lost ball; steal by C. Lee)
7:18.0,C. Lee makes 3-pt shot from 26 ft (assist by T. Hardaway),3,18-3,,
7:07.0,,,18-3,,C. Paul misses 2-pt shot from 4 ft
7:05.0,Defensive rebound by W. Hernangomez,,18-3,,
6:57.0,C. Lee makes 3-pt shot from 23 ft (assist by T. Hardaway),3,21-3,,
6:44.0,,,21-3,,Shooting foul by W. Hernangomez (drawn by J. Harden)
6:44.0,,,21-4,1,J. Harden makes free throw 1 of 2
6:44.0,,,21-4,,E. Gordon enters the game for C. Paul
6:44.0,,,21-5,1,J. Harden makes free throw 2 of 2
6:25.0,M. Beasley makes 2-pt shot at rim (assist by W. Hernangomez),2,23-5,,
6:01.0,,,23-5,,T. Ariza misses 3-pt shot from 23 ft
5:59.0,Defensive rebound by J. Jack,,23-5,,
5:55.0,C. Lee misses 3-pt shot from 24 ft,,23-5,,
5:51.0,Offensive rebound by M. Beasley,,23-5,,
5:51.0,M. Beasley makes 2-pt shot from 1 ft,2,25-5,,
5:38.0,,,25-7,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
5:38.0,Violation by M. Beasley (def goaltending),,25-7,,
5:19.0,M. Beasley misses 2-pt shot from 19 ft,,25-7,,
5:18.0,Offensive rebound by Team,,25-7,,
5:18.0,,,25-7,,R. Anderson enters the game for T. Ariza
5:18.0,,,25-7,,N. Hilario enters the game for P. Tucker
5:18.0,,,25-7,,L. Mbah a Moute enters the game for C. Capela
5:07.0,M. Beasley makes 2-pt shot from 3 ft (assist by C. Lee),2,27-7,,
4:49.0,,,27-7,,E. Gordon misses 2-pt shot from 4 ft
4:46.0,Defensive rebound by C. Lee,,27-7,,
4:36.0,M. Beasley makes 2-pt shot from 2 ft,2,29-7,,
4:21.0,,,29-7,,E. Gordon misses 3-pt shot from 26 ft
4:19.0,Defensive rebound by J. Jack,,29-7,,
4:09.0,J. Jack misses 2-pt shot from 2 ft,,29-7,,
4:07.0,,,29-7,,Defensive rebound by L. Mbah a Moute
