time,Detroit,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Drummond (T. Parker gains possession),,,,Jump ball: P. Gasol vs. A. Drummond (T. Parker gains possession)
11:45.0,,,0-0,,Turnover by T. Parker (bad pass; steal by R. Jackson)
11:39.0,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson),3,3-0,,
11:21.0,,,3-2,2,T. Parker makes 2-pt shot from 4 ft (assist by R. Gay)
11:03.0,A. Bradley misses 2-pt shot from 20 ft,,3-2,,
10:59.0,,,3-2,,Defensive rebound by P. Gasol
10:52.0,,,3-5,3,R. Gay makes 3-pt shot from 23 ft (assist by T. Parker)
10:29.0,R. Jackson makes 3-pt shot from 27 ft (assist by A. Bradley),3,6-5,,
10:05.0,,,6-5,,D. Green misses 2-pt shot from 8 ft
10:04.0,Defensive rebound by R. Jackson,,6-5,,
9:55.0,R. Jackson makes 2-pt shot from 10 ft,2,8-5,,
9:33.0,,,8-5,,L. Aldridge misses 2-pt shot from 14 ft
9:33.0,Defensive rebound by T. Harris,,8-5,,
9:23.0,R. Jackson makes 2-pt shot from 3 ft,2,10-5,,
9:00.0,,,10-7,2,R. Gay makes 2-pt shot from 4 ft (assist by D. Green)
8:43.0,T. Harris misses 3-pt shot from 25 ft,,10-7,,
8:40.0,,,10-7,,Defensive rebound by T. Parker
8:34.0,,,10-9,2,T. Parker makes 2-pt shot from 3 ft
8:34.0,,,10-9,,Shooting foul by A. Drummond (drawn by T. Parker)
8:34.0,,,10-10,1,T. Parker makes free throw 1 of 1
8:15.0,T. Harris misses 2-pt shot from 8 ft,,10-10,,
8:09.0,Offensive rebound by A. Drummond,,10-10,,
8:07.0,A. Drummond misses 2-pt shot from 4 ft (block by P. Gasol),,10-10,,
8:07.0,,,10-10,,Defensive rebound by T. Parker
8:02.0,,,10-10,,T. Parker misses 2-pt shot from 6 ft
8:02.0,,,10-10,,Offensive rebound by R. Gay
7:55.0,,,10-12,2,T. Parker makes 2-pt shot from 20 ft (assist by R. Gay)
7:51.0,Detroit full timeout,,10-12,,
7:39.0,T. Harris misses 2-pt shot from 4 ft,,10-12,,
7:32.0,Offensive rebound by A. Drummond,,10-12,,
7:32.0,A. Drummond makes 2-pt shot at rim,2,12-12,,
7:18.0,,,12-15,3,P. Gasol makes 3-pt shot from 23 ft (assist by D. Green)
7:04.0,R. Jackson misses 3-pt shot from 25 ft,,12-15,,
7:01.0,,,12-15,,Defensive rebound by T. Parker
6:39.0,,,12-15,,T. Parker misses 2-pt shot from 3 ft
6:38.0,,,12-15,,Offensive rebound by D. Green
6:38.0,,,12-15,,Turnover by Team (shot clock)
