time,Houston,pts.away,score,pts.home,Detroit
4:29.0,,,20-19,,Turnover by A. Bradley (bad pass; steal by C. Paul)
4:23.0,T. Ariza makes 3-pt shot from 27 ft (assist by C. Paul),3,23-19,,
3:53.0,,,23-19,,Shooting foul by P. Tucker (drawn by T. Harris)
3:53.0,,,23-20,1,T. Harris makes free throw 1 of 2
3:53.0,,,23-21,1,T. Harris makes free throw 2 of 2
3:40.0,G. Green makes 3-pt shot from 26 ft (assist by C. Paul),3,26-21,,
3:30.0,,,26-21,,Detroit full timeout
3:30.0,,,26-21,,L. Kennard enters the game for A. Bradley
3:17.0,,,26-24,3,D. Buycks makes 3-pt shot from 30 ft
2:47.0,T. Ariza misses 3-pt shot from 26 ft,,26-24,,
2:47.0,Offensive rebound by Team,,26-24,,
2:42.0,C. Paul makes 2-pt shot from 13 ft,2,28-24,,
2:19.0,,,28-24,,Turnover by E. Moreland (bad pass; steal by P. Tucker)
2:11.0,G. Green makes 3-pt shot from 25 ft (assist by C. Paul),3,31-24,,
1:42.0,,,31-27,3,D. Buycks makes 3-pt shot from 27 ft (assist by L. Kennard)
1:23.0,B. Weber enters the game for T. Ariza,,31-27,,
1:23.0,E. Gordon enters the game for C. Paul,,31-27,,
1:18.0,T. Black makes 2-pt shot at rim (assist by E. Gordon),2,33-27,,
1:01.0,,,33-29,2,E. Moreland makes 2-pt shot from 1 ft (assist by D. Buycks)
0:44.0,P. Tucker makes 3-pt shot from 23 ft (assist by B. Weber),3,36-29,,
0:25.0,,,36-29,,Shooting foul by E. Gordon (drawn by T. Harris)
0:25.0,,,36-30,1,T. Harris makes free throw 1 of 2
0:25.0,C. Paul enters the game for B. Weber,,36-30,,
0:25.0,,,36-31,1,T. Harris makes free throw 2 of 2
0:01.0,Shooting foul by E. Moreland (drawn by T. Black),,42-35,,
0:01.0,T. Black misses free throw 1 of 2,,42-35,,
0:01.0,Offensive rebound by Team,,42-35,,
0:01.0,,,42-35,,B. Marjanovic enters the game for R. Bullock
0:01.0,,,42-35,,A. Tolliver enters the game for T. Harris
0:01.0,T. Black makes free throw 2 of 2,1,37-31,,
0:00.0,,,37-31,,D. Buycks misses 3-pt shot from 65 ft
0:00.0,,,37-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by B. Weber (drawn by D. Buycks),,37-31,,
11:34.0,,,37-33,2,B. Marjanovic makes 2-pt shot from 5 ft (assist by L. Kennard)
11:23.0,C. Capela misses 2-pt shot from 10 ft (block by D. Buycks),,37-33,,
11:19.0,Jump ball: D. Buycks vs. C. Capela (A. Bradley gains possession),,,,Jump ball: D. Buycks vs. C. Capela (A. Bradley gains possession)
11:19.0,,,37-33,,Offensive rebound by Team
11:04.0,,,37-35,2,D. Buycks makes 2-pt shot from 1 ft (assist by B. Marjanovic)
10:52.0,B. Weber makes 3-pt shot from 27 ft (assist by E. Gordon),3,40-35,,
10:31.0,,,40-35,,B. Marjanovic misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by E. Gordon,,40-35,,
10:16.0,C. Capela misses 2-pt shot from 3 ft,,40-35,,
10:15.0,,,40-35,,Defensive rebound by L. Kennard
