time,Houston,pts.away,score,pts.home,Detroit
0:18.0,,,98-105,1,I. Smith makes free throw 2 of 2
0:18.0,Houston full timeout,,98-105,,
0:18.0,,,98-105,,A. Tolliver enters the game for T. Harris
0:17.0,,,98-105,,Violation by I. Smith (kicked ball)
0:16.0,C. Paul makes 3-pt shot from 29 ft (assist by T. Ariza),3,101-105,,
0:14.0,Personal foul by E. Gordon (drawn by I. Smith),,101-105,,
0:14.0,,,101-106,1,I. Smith makes free throw 1 of 2
0:14.0,,,101-107,1,I. Smith makes free throw 2 of 2
0:14.0,Houston full timeout,,101-107,,
0:14.0,,,101-107,,T. Harris enters the game for E. Moreland
0:14.0,G. Green enters the game for P. Tucker,,101-107,,
0:12.0,E. Gordon misses 3-pt shot from 23 ft,,101-107,,
0:09.0,Offensive rebound by T. Black,,101-107,,
0:06.0,G. Green misses 3-pt shot from 23 ft,,101-107,,
0:06.0,,,101-107,,Defensive rebound by T. Harris
0:06.0,Personal foul by C. Paul (drawn by T. Harris),,101-107,,
0:06.0,,,101-108,1,T. Harris makes free throw 1 of 2
0:06.0,,,101-108,,T. Harris misses free throw 2 of 2
0:03.0,Defensive rebound by T. Black,,101-108,,
