time,Utah,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. R. Gobert (D. Favors gains possession),,,,Jump ball: K. Towns vs. R. Gobert (D. Favors gains possession)
11:47.0,D. Favors misses 2-pt shot from 6 ft,,0-0,,
11:46.0,Offensive rebound by R. Gobert,,0-0,,
11:36.0,R. Rubio misses 2-pt shot from 1 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by K. Towns
11:29.0,,,0-0,,J. Butler misses 3-pt shot from 23 ft
11:28.0,,,0-0,,Offensive rebound by A. Wiggins
11:26.0,,,0-0,,A. Wiggins misses 2-pt shot at rim
11:26.0,Defensive rebound by R. Gobert,,0-0,,
11:16.0,Turnover by R. Rubio (bad pass; steal by K. Towns),,0-0,,
11:11.0,,,0-2,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
10:56.0,J. Ingles misses 2-pt shot at rim (block by K. Towns),,0-2,,
10:56.0,,,0-2,,Defensive rebound by K. Towns
10:42.0,,,0-4,2,K. Towns makes 2-pt shot from 14 ft
10:42.0,R. Hood misses 3-pt shot from 24 ft,,0-4,,
10:41.0,Offensive rebound by R. Gobert,,0-4,,
10:32.0,R. Gobert misses 2-pt shot from 4 ft,,0-4,,
10:31.0,Offensive rebound by R. Gobert,,0-4,,
10:27.0,J. Ingles misses 2-pt shot from 1 ft,,0-4,,
10:26.0,,,0-4,,Defensive rebound by J. Teague
10:10.0,,,0-4,,A. Wiggins misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by D. Favors,,0-4,,
9:56.0,D. Favors makes 2-pt shot from 3 ft (assist by R. Rubio),2,2-4,,
9:43.0,,,2-4,,Turnover by J. Teague (bad pass; steal by R. Gobert)
9:39.0,R. Rubio misses 3-pt shot from 25 ft,,2-4,,
9:38.0,,,2-4,,Defensive rebound by J. Butler
9:24.0,,,2-4,,T. Gibson misses 2-pt shot from 10 ft
9:24.0,Defensive rebound by R. Gobert,,2-4,,
9:24.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles),2,4-4,,
8:43.0,,,4-4,,J. Teague misses 2-pt shot from 19 ft
8:40.0,,,4-4,,Offensive rebound by T. Gibson
8:40.0,,,4-4,,Turnover by T. Gibson (traveling)
8:22.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,6-4,,
8:12.0,,,6-4,,A. Wiggins misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by R. Gobert,,6-4,,
8:07.0,,,6-4,,Personal foul by K. Towns (drawn by R. Gobert)
7:47.0,R. Gobert makes 2-pt shot from 1 ft (assist by D. Favors),2,8-4,,
7:29.0,,,8-4,,K. Towns misses 2-pt shot from 15 ft
7:26.0,Defensive rebound by R. Rubio,,8-4,,
7:06.0,R. Rubio misses 2-pt shot from 17 ft,,8-4,,
7:00.0,,,8-4,,Defensive rebound by K. Towns
6:52.0,,,8-6,2,A. Wiggins makes 2-pt shot at rim (assist by J. Butler)
6:28.0,D. Favors misses 2-pt shot from 2 ft,,8-6,,
6:25.0,,,8-6,,Defensive rebound by K. Towns
6:24.0,Personal foul by J. Ingles (drawn by A. Wiggins),,8-6,,
6:24.0,,,8-6,,Minnesota full timeout
6:24.0,J. Johnson enters the game for D. Favors,,8-6,,
6:24.0,D. Mitchell enters the game for R. Hood,,8-6,,
6:11.0,,,8-6,,K. Towns misses 3-pt shot from 26 ft
6:09.0,,,8-6,,Offensive rebound by Team
5:49.0,,,8-8,2,J. Butler makes 2-pt shot from 10 ft
5:43.0,D. Mitchell makes 2-pt shot from 5 ft,2,10-8,,
5:43.0,Shooting foul by K. Towns (drawn by D. Mitchell),,10-8,,
5:43.0,,,10-8,,G. Dieng enters the game for K. Towns
5:43.0,D. Mitchell misses free throw 1 of 1,,10-8,,
5:39.0,,,10-8,,Defensive rebound by T. Gibson
5:35.0,,,10-8,,Shooting foul by D. Mitchell (drawn by A. Wiggins)
5:35.0,,,10-9,1,A. Wiggins makes free throw 1 of 2
5:35.0,,,10-10,1,A. Wiggins makes free throw 2 of 2
5:26.0,D. Mitchell misses 2-pt shot from 10 ft,,10-10,,
5:22.0,,,10-10,,Defensive rebound by J. Teague
5:08.0,,,10-12,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
4:51.0,J. Johnson misses 3-pt shot from 23 ft,,10-12,,
4:45.0,,,10-12,,Defensive rebound by J. Butler
4:36.0,,,10-12,,J. Teague misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by J. Johnson,,10-12,,
4:20.0,R. Rubio makes 2-pt shot from 1 ft,2,12-12,,
4:10.0,,,12-12,,J. Teague misses 2-pt shot from 1 ft
4:02.0,,,12-12,,Offensive rebound by A. Wiggins
4:02.0,,,12-14,2,A. Wiggins makes 2-pt shot at rim
3:49.0,J. Johnson misses 2-pt shot from 13 ft,,12-14,,
3:44.0,,,12-14,,Defensive rebound by T. Gibson
3:34.0,,,12-14,,J. Teague misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by R. Gobert,,12-14,,
3:22.0,Turnover by D. Mitchell (bad pass; steal by T. Gibson),,12-14,,
3:06.0,,,12-16,2,A. Wiggins makes 2-pt shot at rim (assist by J. Butler)
3:06.0,Utah full timeout,,12-16,,
3:06.0,,,12-16,,N. Bjelica enters the game for J. Butler
3:06.0,,,12-16,,J. Crawford enters the game for T. Gibson
3:06.0,T. Sefolosha enters the game for R. Rubio,,12-16,,
3:06.0,A. Burks enters the game for R. Gobert,,12-16,,
3:06.0,E. Udoh enters the game for J. Ingles,,12-16,,
2:42.0,J. Johnson makes 2-pt shot from 6 ft,2,14-16,,
2:23.0,,,14-16,,A. Wiggins misses 2-pt shot from 19 ft
2:19.0,Defensive rebound by A. Burks,,14-16,,
2:11.0,A. Burks misses 2-pt shot from 13 ft,,14-16,,
2:08.0,,,14-16,,Defensive rebound by A. Wiggins
1:52.0,,,14-16,,J. Crawford misses 3-pt shot from 26 ft
1:48.0,Defensive rebound by T. Sefolosha,,14-16,,
1:34.0,,,14-16,,Personal foul by N. Bjelica (drawn by T. Sefolosha)
1:34.0,,,14-16,,T. Jones enters the game for J. Teague
1:21.0,T. Sefolosha makes 2-pt shot from 18 ft (assist by J. Johnson),2,16-16,,
1:06.0,,,16-16,,A. Wiggins misses 2-pt shot at rim (block by E. Udoh)
1:06.0,,,16-16,,Offensive rebound by Team
0:51.0,,,16-19,3,N. Bjelica makes 3-pt shot from 22 ft (assist by T. Jones)
0:38.0,D. Mitchell misses 3-pt shot from 24 ft,,16-19,,
0:34.0,,,16-19,,Defensive rebound by N. Bjelica
0:28.0,,,16-19,,J. Crawford misses 2-pt shot from 3 ft (block by E. Udoh)
0:23.0,Defensive rebound by T. Sefolosha,,16-19,,
0:04.0,E. Udoh misses 2-pt shot from 5 ft,,16-19,,
0:03.0,,,16-19,,Defensive rebound by N. Bjelica
0:01.0,,,16-19,,Turnover by N. Bjelica (lost ball; steal by A. Burks)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,16-21,2,N. Bjelica makes 2-pt shot from 1 ft (assist by S. Muhammad)
11:27.0,,,16-21,,Personal foul by N. Bjelica (drawn by J. Johnson)
11:27.0,,,16-21,,J. Butler enters the game for N. Bjelica
11:18.0,J. Johnson makes 2-pt shot from 6 ft,2,18-21,,
10:56.0,,,18-21,,Turnover by G. Dieng (lost ball; steal by T. Sefolosha)
10:49.0,E. Udoh makes 2-pt shot from 11 ft (assist by D. Mitchell),2,20-21,,
10:32.0,,,20-21,,Turnover by T. Jones (bad pass; steal by J. Johnson)
10:24.0,D. Mitchell misses 2-pt shot from 1 ft,,20-21,,
10:23.0,Offensive rebound by E. Udoh,,20-21,,
10:23.0,Shooting foul by G. Dieng (drawn by E. Udoh),,20-21,,
10:23.0,E. Udoh makes free throw 1 of 2,1,21-21,,
10:23.0,E. Udoh misses free throw 2 of 2,,21-21,,
10:20.0,,,21-21,,Defensive rebound by G. Dieng
10:12.0,,,21-23,2,S. Muhammad makes 2-pt shot from 7 ft
9:52.0,A. Burks misses 2-pt shot from 15 ft,,21-23,,
9:48.0,,,21-23,,Defensive rebound by J. Butler
9:42.0,,,21-23,,Turnover by J. Butler (traveling)
9:42.0,D. Favors enters the game for J. Johnson,,21-23,,
9:28.0,D. Mitchell misses 2-pt shot from 16 ft,,21-23,,
9:24.0,,,21-23,,Defensive rebound by S. Muhammad
9:14.0,,,21-23,,J. Crawford misses 3-pt shot from 26 ft
9:12.0,Defensive rebound by A. Burks,,21-23,,
9:05.0,,,21-23,,Personal foul by J. Crawford (drawn by A. Burks)
9:05.0,,,21-23,,K. Towns enters the game for G. Dieng
9:05.0,R. Hood enters the game for A. Burks,,21-23,,
8:56.0,Turnover by R. Hood (lost ball; steal by J. Butler),,21-23,,
8:42.0,,,21-23,,J. Butler misses 2-pt shot from 10 ft (block by E. Udoh)
8:40.0,Defensive rebound by E. Udoh,,21-23,,
8:30.0,,,21-23,,Turnover by J. Butler (bad pass)
8:24.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Hood),2,23-23,,
8:02.0,,,23-23,,Turnover by K. Towns (bad pass; steal by R. Hood)
8:00.0,R. Hood makes 2-pt shot from 1 ft,2,25-23,,
8:00.0,Shooting foul by S. Muhammad (drawn by R. Hood),,25-23,,
8:00.0,R. Gobert enters the game for E. Udoh,,25-23,,
8:00.0,R. Hood makes free throw 1 of 1,1,26-23,,
7:48.0,,,26-23,,Turnover by J. Butler (bad pass; steal by R. Gobert)
7:44.0,T. Sefolosha makes 2-pt shot at rim (assist by R. Hood),2,28-23,,
7:36.0,,,28-23,,Minnesota full timeout
7:36.0,,,28-23,,T. Gibson enters the game for J. Crawford
7:36.0,R. Rubio enters the game for D. Mitchell,,28-23,,
7:32.0,Personal foul by D. Favors (drawn by K. Towns),,28-23,,
7:19.0,,,28-25,2,K. Towns makes 2-pt shot from 12 ft (assist by J. Butler)
7:04.0,Turnover by R. Hood (traveling),,28-25,,
7:04.0,J. Ingles enters the game for T. Sefolosha,,28-25,,
6:44.0,,,28-27,2,K. Towns makes 2-pt shot from 6 ft (assist by T. Jones)
6:24.0,J. Ingles makes 3-pt shot from 22 ft (assist by R. Rubio),3,31-27,,
6:10.0,,,31-27,,T. Jones misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by R. Hood,,31-27,,
5:47.0,R. Rubio makes 2-pt shot from 16 ft,2,33-27,,
5:21.0,,,33-29,2,J. Butler makes 2-pt shot from 14 ft
5:03.0,Turnover by D. Favors (bad pass; steal by J. Butler),,33-29,,
4:58.0,,,33-29,,T. Jones misses 3-pt shot from 23 ft
4:56.0,,,33-29,,S. Muhammad misses 2-pt shot from 4 ft
4:55.0,,,33-29,,Offensive rebound by T. Gibson
4:55.0,,,33-31,2,T. Gibson makes 2-pt shot at rim
4:53.0,,,33-31,,Offensive rebound by S. Muhammad
4:53.0,Utah full timeout,,33-31,,
4:53.0,,,33-31,,J. Teague enters the game for T. Jones
