time,Brooklyn,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. J. Allen (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. J. Allen (G. Antetokounmpo gains possession)
11:39.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 5 ft
11:21.0,J. Harris makes 3-pt shot from 26 ft (assist by D. Russell),3,3-2,,
11:02.0,,,3-2,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by J. Allen)
10:59.0,Defensive rebound by A. Crabbe,,3-2,,
10:54.0,J. Harris misses 3-pt shot from 23 ft,,3-2,,
10:50.0,Offensive rebound by J. Allen,,3-2,,
10:48.0,D. Russell misses 3-pt shot from 27 ft,,3-2,,
10:46.0,,,3-2,,Defensive rebound by G. Antetokounmpo
10:39.0,,,3-2,,Shooting foul by J. Harris (drawn by J. Henson)
10:39.0,,,3-2,,J. Henson misses free throw 1 of 2
10:39.0,,,3-2,,Offensive rebound by Team
10:39.0,Violation by R. Hollis-Jefferson (lane),,3-2,,
10:39.0,,,3-2,,J. Henson misses free throw 2 of 2
10:39.0,Defensive rebound by J. Allen,,3-2,,
10:25.0,D. Russell misses 2-pt shot from 2 ft,,3-2,,
10:23.0,,,3-2,,Defensive rebound by J. Henson
10:13.0,,,3-2,,Turnover by J. Henson (bad pass; steal by R. Hollis-Jefferson)
10:05.0,Turnover by R. Hollis-Jefferson (bad pass; steal by K. Middleton),,3-2,,
10:04.0,,,3-2,,Turnover by K. Middleton (bad pass)
9:47.0,A. Crabbe makes 2-pt shot from 2 ft (assist by J. Harris),2,5-2,,
9:29.0,,,5-2,,Shooting foul by J. Harris (drawn by K. Middleton)
9:29.0,,,5-3,1,K. Middleton makes free throw 1 of 3
9:29.0,,,5-4,1,K. Middleton makes free throw 2 of 3
9:29.0,,,5-5,1,K. Middleton makes free throw 3 of 3
9:17.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,5-5,,
9:13.0,Offensive rebound by J. Allen,,5-5,,
9:10.0,A. Crabbe makes 3-pt shot from 27 ft (assist by J. Harris),3,8-5,,
8:53.0,,,8-5,,G. Antetokounmpo misses 2-pt shot from 19 ft
8:51.0,Defensive rebound by J. Harris,,8-5,,
8:44.0,D. Russell makes 2-pt shot from 1 ft,2,10-5,,
8:30.0,,,10-5,,T. Snell misses 2-pt shot from 16 ft
8:27.0,Defensive rebound by A. Crabbe,,10-5,,
