time,Brooklyn,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Mozgov (L. Ball gains possession),,,,Jump ball: B. Lopez vs. T. Mozgov (L. Ball gains possession)
11:52.0,,,0-0,,L. Ball misses 3-pt shot from 26 ft
11:48.0,Defensive rebound by C. LeVert,,0-0,,
11:43.0,C. LeVert misses 2-pt shot from 4 ft (block by B. Lopez),,0-0,,
11:40.0,,,0-0,,Defensive rebound by L. Ball
11:37.0,,,0-2,2,L. Ball makes 2-pt shot from 8 ft
11:22.0,D. Russell misses 3-pt shot from 27 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by K. Kuzma
11:10.0,,,0-4,2,K. Kuzma makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
11:01.0,D. Carroll misses 3-pt shot from 24 ft,,0-4,,
10:59.0,,,0-4,,Defensive rebound by K. Caldwell-Pope
10:48.0,,,0-4,,K. Kuzma misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by D. Carroll,,0-4,,
10:30.0,D. Russell makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson),2,2-4,,
10:13.0,,,2-4,,L. Ball misses 2-pt shot from 3 ft
10:10.0,Defensive rebound by T. Mozgov,,2-4,,
9:52.0,Turnover by R. Hollis-Jefferson (bad pass),,2-4,,
9:30.0,,,2-6,2,B. Ingram makes 2-pt shot from 3 ft
9:19.0,D. Russell makes 2-pt shot from 16 ft,2,4-6,,
9:10.0,,,4-6,,L. Ball misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by D. Carroll,,4-6,,
9:04.0,C. LeVert makes 3-pt shot from 26 ft (assist by D. Carroll),3,7-6,,
8:50.0,,,7-9,3,B. Lopez makes 3-pt shot from 25 ft (assist by L. Ball)
8:23.0,D. Carroll makes 2-pt shot from 5 ft,2,9-9,,
8:08.0,,,9-9,,Turnover by B. Lopez (bad pass; steal by D. Russell)
8:00.0,D. Carroll misses 3-pt shot from 25 ft,,9-9,,
7:57.0,,,9-9,,Defensive rebound by B. Ingram
7:47.0,,,9-11,2,B. Ingram makes 2-pt shot from 18 ft
7:18.0,Turnover by C. LeVert (bad pass; steal by K. Caldwell-Pope),,9-11,,
7:15.0,,,9-13,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
7:00.0,D. Russell misses 3-pt shot from 25 ft,,9-13,,
6:58.0,,,9-13,,Defensive rebound by L. Ball
6:53.0,,,9-13,,B. Lopez misses 3-pt shot from 26 ft
6:50.0,Defensive rebound by D. Russell,,9-13,,
6:38.0,R. Hollis-Jefferson makes 2-pt shot from 13 ft (assist by D. Russell),2,11-13,,
6:25.0,,,11-15,2,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball)
6:25.0,Brooklyn full timeout,,11-15,,
6:25.0,A. Crabbe enters the game for D. Carroll,,11-15,,
6:25.0,T. Zeller enters the game for T. Mozgov,,11-15,,
6:09.0,Turnover by T. Zeller (lost ball; steal by L. Ball),,11-15,,
6:03.0,,,11-15,,K. Caldwell-Pope misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by Team,,11-15,,
5:48.0,A. Crabbe misses 2-pt shot from 6 ft,,11-15,,
5:43.0,,,11-15,,Defensive rebound by B. Lopez
5:36.0,,,11-15,,B. Lopez misses 2-pt shot from 7 ft (block by T. Zeller)
5:36.0,,,11-15,,Offensive rebound by Team
5:36.0,J. Harris enters the game for C. LeVert,,11-15,,
5:32.0,Jump ball: B. Lopez vs. T. Zeller (K. Kuzma gains possession),,,,Jump ball: B. Lopez vs. T. Zeller (K. Kuzma gains possession)
5:30.0,,,11-17,2,K. Kuzma makes 2-pt shot from 1 ft
5:18.0,D. Russell misses 2-pt shot from 2 ft,,11-17,,
5:18.0,,,11-17,,Defensive rebound by K. Caldwell-Pope
5:11.0,,,11-19,2,K. Caldwell-Pope makes 2-pt shot from 2 ft
5:01.0,T. Zeller makes 2-pt shot from 2 ft (assist by D. Russell),2,13-19,,
4:43.0,,,13-19,,B. Lopez misses 2-pt shot from 9 ft
4:43.0,Defensive rebound by A. Crabbe,,13-19,,
4:33.0,A. Crabbe makes 3-pt shot from 25 ft (assist by T. Zeller),3,16-19,,
4:33.0,,,16-19,,LA Lakers full timeout
4:33.0,,,16-19,,J. Randle enters the game for K. Kuzma
4:33.0,,,16-19,,J. Clarkson enters the game for B. Lopez
4:33.0,S. Dinwiddie enters the game for D. Russell,,16-19,,
4:13.0,,,16-21,2,J. Clarkson makes 2-pt shot from 2 ft
4:13.0,,,16-21,,Shooting foul by S. Dinwiddie (drawn by J. Clarkson)
4:13.0,,,16-21,,J. Hart enters the game for L. Ball
4:13.0,,,16-22,1,J. Clarkson makes free throw 1 of 1
4:03.0,Shooting foul by J. Hart (drawn by A. Crabbe),,16-22,,
4:03.0,A. Crabbe makes free throw 1 of 3,1,17-22,,
4:03.0,A. Crabbe misses free throw 2 of 3,,17-22,,
4:03.0,Offensive rebound by Team,,17-22,,
4:03.0,A. Crabbe makes free throw 3 of 3,1,18-22,,
3:45.0,,,18-24,2,J. Clarkson makes 2-pt shot from 18 ft (assist by J. Randle)
3:36.0,T. Zeller makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson),2,20-24,,
3:36.0,Shooting foul by B. Ingram (drawn by T. Zeller),,20-24,,
3:36.0,T. Zeller misses free throw 1 of 1,,20-24,,
3:34.0,,,20-24,,Defensive rebound by J. Randle
3:21.0,,,20-24,,J. Randle misses 2-pt shot from 18 ft
3:17.0,Defensive rebound by S. Dinwiddie,,20-24,,
3:12.0,Turnover by R. Hollis-Jefferson (lost ball; steal by B. Ingram),,20-24,,
3:08.0,,,20-24,,Shooting foul by T. Zeller (drawn by B. Ingram)
3:08.0,,,20-24,,B. Ingram misses free throw 1 of 2
3:08.0,,,20-24,,Offensive rebound by Team
3:08.0,D. Carroll enters the game for R. Hollis-Jefferson,,20-24,,
3:08.0,,,20-25,1,B. Ingram makes free throw 2 of 2
2:57.0,S. Dinwiddie misses 2-pt shot from 3 ft (block by J. Hart),,20-25,,
2:54.0,,,20-25,,Defensive rebound by J. Clarkson
2:47.0,,,20-25,,B. Ingram misses 2-pt shot from 2 ft (block by T. Zeller)
2:43.0,Defensive rebound by D. Carroll,,20-25,,
2:41.0,D. Carroll misses 2-pt shot from 3 ft (block by B. Ingram),,20-25,,
2:34.0,Offensive rebound by S. Dinwiddie,,20-25,,
2:33.0,A. Crabbe misses 3-pt shot from 26 ft,,20-25,,
2:31.0,,,20-25,,Defensive rebound by B. Ingram
2:29.0,,,20-25,,B. Ingram misses 2-pt shot from 2 ft
2:27.0,,,20-25,,Offensive rebound by B. Ingram
2:27.0,Personal foul by A. Crabbe (drawn by B. Ingram),,20-25,,
2:27.0,,,20-25,,C. Brewer enters the game for B. Ingram
2:19.0,,,20-25,,J. Hart misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by Team,,20-25,,
2:05.0,Shooting foul by J. Randle (drawn by S. Dinwiddie),,20-25,,
2:05.0,S. Dinwiddie makes free throw 1 of 2,1,21-25,,
2:05.0,S. Dinwiddie misses free throw 2 of 2,,21-25,,
2:03.0,,,21-25,,Defensive rebound by C. Brewer
1:42.0,,,21-25,,J. Clarkson misses 2-pt shot from 20 ft
1:37.0,Defensive rebound by S. Dinwiddie,,21-25,,
1:29.0,Turnover by A. Crabbe (bad pass; steal by J. Clarkson),,21-25,,
1:28.0,,,21-27,2,J. Clarkson makes 2-pt shot from 1 ft
1:28.0,,,21-27,,Shooting foul by S. Dinwiddie (drawn by J. Clarkson)
1:28.0,,,21-28,1,J. Clarkson makes free throw 1 of 1
1:12.0,T. Zeller makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,23-28,,
0:59.0,,,23-28,,Turnover by K. Caldwell-Pope (lost ball; steal by S. Dinwiddie)
0:56.0,J. Harris makes 2-pt shot from 1 ft (assist by D. Carroll),2,25-28,,
0:48.0,,,25-28,,Turnover by C. Brewer (out of bounds lost ball)
0:48.0,,,25-28,,Loose ball foul by K. Caldwell-Pope (drawn by D. Carroll)
0:37.0,A. Crabbe misses 3-pt shot from 25 ft,,25-28,,
0:35.0,,,25-28,,Defensive rebound by K. Caldwell-Pope
0:29.0,,,25-28,,J. Clarkson misses 2-pt shot from 2 ft (block by D. Carroll)
0:25.0,Defensive rebound by J. Harris,,25-28,,
0:21.0,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,28-28,,
0:03.0,,,28-30,2,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson)
0:00.0,,,28-30,,Personal foul by C. Brewer (drawn by D. Carroll)
0:00.0,D. Carroll misses free throw 1 of 2,,28-30,,
0:00.0,Offensive rebound by Team,,28-30,,
0:00.0,D. Carroll makes free throw 2 of 2,1,29-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,C. LeVert misses 3-pt shot from 25 ft,,29-30,,
