time,Cleveland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. T. Thompson (M. Hezonja gains possession),,,,Jump ball: B. Biyombo vs. T. Thompson (M. Hezonja gains possession)
11:35.0,,,0-0,,E. Fournier misses 3-pt shot from 22 ft
11:32.0,Defensive rebound by I. Thomas,,0-0,,
11:27.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,3-0,,
11:17.0,,,3-0,,E. Payton misses 2-pt shot from 6 ft
11:13.0,Defensive rebound by L. James,,3-0,,
11:07.0,J. Smith makes 3-pt shot from 23 ft (assist by I. Thomas),3,6-0,,
10:56.0,,,6-0,,Turnover by E. Payton (bad pass)
10:38.0,T. Thompson misses 2-pt shot from 2 ft (block by J. Simmons),,6-0,,
10:37.0,Offensive rebound by T. Thompson,,6-0,,
10:35.0,T. Thompson misses 2-pt shot from 6 ft,,6-0,,
10:35.0,,,6-0,,Defensive rebound by B. Biyombo
10:24.0,,,6-0,,Turnover by E. Payton (traveling)
10:08.0,I. Thomas misses 3-pt shot from 25 ft,,6-0,,
10:06.0,,,6-0,,Defensive rebound by E. Fournier
9:55.0,,,6-0,,B. Biyombo misses 2-pt shot from 2 ft
9:52.0,Defensive rebound by T. Thompson,,6-0,,
9:50.0,Shooting foul by E. Fournier (drawn by L. James),,6-0,,
9:50.0,L. James makes free throw 1 of 2,1,7-0,,
9:50.0,L. James makes free throw 2 of 2,1,8-0,,
9:40.0,,,8-0,,B. Biyombo misses 2-pt shot from 3 ft (block by J. Crowder)
9:40.0,,,8-0,,Offensive rebound by Team
9:33.0,,,8-2,2,E. Fournier makes 2-pt shot from 16 ft (assist by E. Payton)
9:11.0,J. Crowder misses 3-pt shot from 23 ft,,8-2,,
9:09.0,,,8-2,,Defensive rebound by M. Hezonja
9:05.0,,,8-4,2,M. Hezonja makes 2-pt shot from 10 ft
8:48.0,Shooting foul by B. Biyombo (drawn by I. Thomas),,8-4,,
8:48.0,I. Thomas makes free throw 1 of 2,1,9-4,,
8:48.0,I. Thomas makes free throw 2 of 2,1,10-4,,
8:36.0,,,10-4,,Turnover by J. Simmons (bad pass)
8:25.0,J. Smith makes 3-pt shot from 26 ft (assist by L. James),3,13-4,,
8:05.0,,,13-4,,E. Fournier misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by L. James,,13-4,,
7:54.0,L. James makes 2-pt shot from 3 ft,2,15-4,,
7:53.0,,,15-4,,Orlando full timeout
7:37.0,,,15-6,2,E. Payton makes 2-pt shot from 2 ft
7:16.0,L. James makes 2-pt shot from 17 ft,2,17-6,,
7:04.0,,,17-8,2,J. Simmons makes 2-pt shot from 12 ft
6:42.0,L. James makes 2-pt shot from 19 ft,2,19-8,,
6:28.0,,,19-10,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
6:13.0,I. Thomas makes 2-pt shot from 18 ft,2,21-10,,
5:58.0,,,21-12,2,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja)
5:38.0,L. James makes 2-pt shot from 18 ft,2,23-12,,
5:26.0,,,23-15,3,J. Simmons makes 3-pt shot from 23 ft (assist by B. Biyombo)
5:12.0,Shooting foul by M. Hezonja (drawn by I. Thomas),,23-15,,
5:12.0,I. Thomas makes free throw 1 of 2,1,24-15,,
5:12.0,I. Thomas makes free throw 2 of 2,1,25-15,,
5:02.0,,,25-15,,M. Hezonja misses 3-pt shot from 24 ft
5:01.0,,,25-15,,Offensive rebound by Team
5:01.0,Loose ball foul by L. James (drawn by B. Biyombo),,25-15,,
5:01.0,D. Wade enters the game for L. James,,25-15,,
4:58.0,,,25-15,,E. Fournier misses 2-pt shot from 12 ft
4:53.0,Defensive rebound by T. Thompson,,25-15,,
4:49.0,J. Smith makes 3-pt shot from 24 ft (assist by I. Thomas),3,28-15,,
4:43.0,Personal foul by J. Smith (drawn by E. Payton),,28-15,,
4:43.0,,,28-15,,W. Iwundu enters the game for M. Hezonja
4:32.0,,,28-17,2,E. Payton makes 2-pt shot from 3 ft
4:12.0,I. Thomas misses 2-pt shot from 3 ft,,28-17,,
4:07.0,Offensive rebound by T. Thompson,,28-17,,
4:07.0,T. Thompson misses 2-pt shot at rim,,28-17,,
4:06.0,Offensive rebound by T. Thompson,,28-17,,
4:05.0,T. Thompson makes 2-pt shot from 2 ft,2,30-17,,
4:00.0,,,30-17,,J. Simmons misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by T. Thompson,,30-17,,
3:48.0,I. Thomas makes 2-pt shot from 3 ft (assist by J. Smith),2,32-17,,
3:47.0,,,32-17,,Orlando full timeout
3:47.0,,,32-17,,D. Augustin enters the game for E. Payton
3:47.0,,,32-17,,S. Mack enters the game for B. Biyombo
3:47.0,,,32-17,,M. Speights enters the game for J. Simmons
3:34.0,,,32-19,2,E. Fournier makes 2-pt shot from 3 ft (assist by D. Augustin)
3:20.0,T. Thompson makes 2-pt shot from 1 ft (assist by I. Thomas),2,34-19,,
3:08.0,,,34-21,2,M. Speights makes 2-pt shot from 17 ft (assist by D. Augustin)
2:55.0,D. Wade misses 3-pt shot from 23 ft,,34-21,,
2:52.0,,,34-21,,Defensive rebound by E. Fournier
2:39.0,,,34-23,2,E. Fournier makes 2-pt shot from 1 ft (assist by S. Mack)
2:30.0,Shooting foul by W. Iwundu (drawn by D. Wade),,34-23,,
2:30.0,D. Wade makes free throw 1 of 2,1,35-23,,
2:30.0,J. Green enters the game for J. Smith,,35-23,,
2:30.0,K. Korver enters the game for J. Crowder,,35-23,,
2:30.0,D. Wade misses free throw 2 of 2,,35-23,,
2:28.0,,,35-23,,Defensive rebound by M. Speights
2:22.0,Personal foul by J. Green (drawn by D. Augustin),,35-23,,
2:18.0,,,35-23,,Turnover by M. Speights (bad pass)
2:07.0,T. Thompson makes 2-pt shot at rim (assist by I. Thomas),2,37-23,,
1:51.0,,,37-26,3,M. Speights makes 3-pt shot from 25 ft (assist by E. Fournier)
1:40.0,I. Thomas makes 3-pt shot from 24 ft,3,40-26,,
1:24.0,,,40-28,2,D. Augustin makes 2-pt shot from 2 ft
1:10.0,K. Korver makes 2-pt shot from 2 ft (assist by D. Wade),2,42-28,,
0:55.0,,,42-28,,M. Speights misses 3-pt shot from 23 ft
0:53.0,,,42-28,,Offensive rebound by S. Mack
0:52.0,,,42-30,2,S. Mack makes 2-pt shot from 7 ft
0:41.0,Shooting foul by W. Iwundu (drawn by D. Wade),,42-30,,
0:41.0,D. Wade misses free throw 1 of 2,,42-30,,
0:41.0,Offensive rebound by Team,,42-30,,
0:41.0,D. Rose enters the game for I. Thomas,,42-30,,
0:41.0,L. James enters the game for T. Thompson,,42-30,,
0:41.0,D. Wade makes free throw 2 of 2,1,43-30,,
0:32.0,,,43-30,,D. Augustin misses 2-pt shot from 2 ft
0:30.0,Defensive rebound by J. Green,,43-30,,
0:24.0,Turnover by K. Korver (bad pass),,43-30,,
0:00.0,,,43-30,,Shooting foul by J. Green (drawn by E. Fournier)
0:00.0,,,43-30,,E. Fournier misses free throw 1 of 3
0:00.0,,,43-30,,Offensive rebound by Team
0:00.0,,,43-31,1,E. Fournier makes free throw 2 of 3
0:00.0,,,43-31,,E. Fournier misses free throw 3 of 3
0:00.0,,,43-31,,Offensive rebound by W. Iwundu
0:00.0,,,43-31,,W. Iwundu misses 2-pt shot at rim
0:00.0,,,43-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by D. Wade (bad pass; steal by S. Mack),,43-31,,
11:35.0,,,43-31,,A. Afflalo misses 2-pt shot from 16 ft
11:31.0,Defensive rebound by J. Green,,43-31,,
11:23.0,Turnover by K. Korver (bad pass),,43-31,,
