time,Utah,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. D. Favors (R. Rubio gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Favors (R. Rubio gains possession)
11:32.0,R. Rubio misses 3-pt shot from 26 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by W. Cauley-Stein
11:13.0,,,0-0,,Z. Randolph misses 2-pt shot from 15 ft
11:07.0,Defensive rebound by R. Rubio,,0-0,,
10:47.0,D. Favors misses 2-pt shot from 16 ft,,0-0,,
10:43.0,,,0-0,,Defensive rebound by G. Hill
10:39.0,Personal foul by J. Jerebko (drawn by W. Cauley-Stein),,0-0,,
10:27.0,,,0-2,2,D. Fox makes 2-pt shot from 14 ft
10:13.0,Turnover by R. Rubio (lost ball; steal by Z. Randolph),,0-2,,
10:11.0,Personal foul by J. Ingles (drawn by Z. Randolph),,0-2,,
9:55.0,,,0-2,,B. Bogdanovic misses 2-pt shot from 16 ft
9:51.0,,,0-2,,Offensive rebound by W. Cauley-Stein
9:48.0,Personal foul by J. Ingles (drawn by G. Hill),,0-2,,
9:42.0,,,0-2,,Turnover by D. Fox (lost ball; steal by R. Rubio)
9:38.0,D. Mitchell makes 2-pt shot at rim (assist by R. Rubio),2,2-2,,
9:19.0,,,2-2,,Turnover by Z. Randolph (lost ball; steal by D. Mitchell)
9:16.0,Turnover by D. Mitchell (bad pass; steal by G. Hill),,2-2,,
8:59.0,,,2-4,2,G. Hill makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
8:47.0,D. Favors makes 2-pt shot at rim (assist by R. Rubio),2,4-4,,
8:35.0,,,4-7,3,Z. Randolph makes 3-pt shot from 25 ft (assist by D. Fox)
8:18.0,J. Jerebko misses 3-pt shot from 24 ft,,4-7,,
8:13.0,Offensive rebound by D. Favors,,4-7,,
8:12.0,J. Ingles misses 3-pt shot from 24 ft,,4-7,,
8:08.0,,,4-7,,Defensive rebound by W. Cauley-Stein
8:00.0,,,4-7,,Z. Randolph misses 3-pt shot from 26 ft
8:00.0,Defensive rebound by J. Ingles,,4-7,,
7:48.0,,,4-7,,Personal foul by B. Bogdanovic (drawn by R. Rubio)
7:48.0,J. Johnson enters the game for J. Jerebko,,4-7,,
7:33.0,D. Mitchell misses 3-pt shot from 24 ft,,4-7,,
7:29.0,,,4-7,,Defensive rebound by Z. Randolph
7:19.0,,,4-9,2,W. Cauley-Stein makes 2-pt shot from 11 ft
7:09.0,D. Mitchell misses 3-pt shot from 25 ft,,4-9,,
7:06.0,,,4-9,,Defensive rebound by G. Hill
7:00.0,,,4-9,,G. Hill misses 2-pt shot from 15 ft
6:55.0,Defensive rebound by D. Favors,,4-9,,
