time,Utah,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Favors (C. Anthony gains possession),,,,Jump ball: S. Adams vs. D. Favors (C. Anthony gains possession)
11:42.0,,,0-0,,Turnover by P. George (bad pass; steal by R. Hood)
11:30.0,Turnover by R. Rubio (bad pass; steal by A. Roberson),,0-0,,
11:27.0,,,0-2,2,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams)
11:07.0,Turnover by R. Rubio (bad pass; steal by R. Westbrook),,0-2,,
11:03.0,,,0-2,,P. George misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by J. Johnson,,0-2,,
10:54.0,,,0-2,,Personal foul by S. Adams (drawn by R. Rubio)
10:42.0,R. Hood misses 3-pt shot from 22 ft,,0-2,,
10:39.0,,,0-2,,Defensive rebound by R. Westbrook
10:22.0,,,0-4,2,R. Westbrook makes 2-pt shot from 17 ft
10:03.0,D. Favors misses 2-pt shot from 14 ft,,0-4,,
10:00.0,,,0-4,,Defensive rebound by C. Anthony
9:54.0,,,0-6,2,S. Adams makes 2-pt shot from 1 ft (assist by P. George)
9:54.0,,,0-6,,Shooting foul by D. Favors (drawn by S. Adams)
9:54.0,,,0-7,1,S. Adams makes free throw 1 of 1
9:39.0,R. Hood makes 2-pt shot from 6 ft,2,2-7,,
9:17.0,,,2-9,2,R. Westbrook makes 2-pt shot from 11 ft (assist by C. Anthony)
8:55.0,R. Rubio misses 3-pt shot from 24 ft,,2-9,,
8:52.0,,,2-9,,Defensive rebound by R. Westbrook
8:48.0,,,2-9,,Turnover by P. George (bad pass)
8:25.0,R. Hood misses 3-pt shot from 24 ft,,2-9,,
8:21.0,,,2-9,,Defensive rebound by S. Adams
8:17.0,,,2-11,2,R. Westbrook makes 2-pt shot from 18 ft
8:15.0,Utah full timeout,,2-11,,
8:02.0,Turnover by R. Hood (bad pass),,2-11,,
7:46.0,,,2-11,,P. George misses 2-pt shot from 11 ft
7:43.0,Defensive rebound by J. Ingles,,2-11,,
7:24.0,J. Johnson misses 2-pt shot from 19 ft,,2-11,,
7:22.0,,,2-11,,Defensive rebound by C. Anthony
7:16.0,,,2-11,,S. Adams misses 2-pt shot from 6 ft
7:15.0,Defensive rebound by D. Favors,,2-11,,
6:59.0,Turnover by R. Rubio (bad pass; steal by R. Westbrook),,2-11,,
6:50.0,,,2-11,,C. Anthony misses 3-pt shot from 22 ft
6:47.0,,,2-11,,Offensive rebound by S. Adams
6:43.0,,,2-13,2,A. Roberson makes 2-pt shot at rim (assist by S. Adams)
6:32.0,J. Ingles misses 3-pt shot from 24 ft,,2-13,,
6:27.0,,,2-13,,Defensive rebound by C. Anthony
6:22.0,,,2-15,2,R. Westbrook makes 2-pt shot from 20 ft
5:55.0,Turnover by J. Johnson (bad pass; steal by R. Westbrook),,2-15,,
5:51.0,,,2-15,,Shooting foul by J. Ingles (drawn by R. Westbrook)
5:51.0,,,2-16,1,R. Westbrook makes free throw 1 of 2
5:51.0,A. Burks enters the game for R. Rubio,,2-16,,
5:51.0,J. Jerebko enters the game for J. Johnson,,2-16,,
5:51.0,,,2-17,1,R. Westbrook makes free throw 2 of 2
5:43.0,Shooting foul by R. Westbrook (drawn by D. Favors),,2-17,,
