time,Minnesota,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Towns,,,,Jump ball: D. Jordan vs. K. Towns
11:44.0,Turnover by J. Teague (bad pass; steal by D. Gallinari),,0-0,,
11:22.0,,,0-0,,C. Williams misses 2-pt shot from 2 ft
11:18.0,Defensive rebound by K. Towns,,0-0,,
11:05.0,A. Wiggins makes 2-pt shot from 7 ft (assist by J. Butler),2,2-0,,
10:48.0,,,2-0,,D. Gallinari misses 2-pt shot from 23 ft
10:44.0,Defensive rebound by T. Gibson,,2-0,,
10:37.0,Turnover by A. Wiggins (traveling),,2-0,,
10:21.0,,,2-0,,D. Gallinari misses 2-pt shot from 1 ft (block by T. Gibson)
10:16.0,Defensive rebound by T. Gibson,,2-0,,
10:07.0,J. Teague misses 3-pt shot from 32 ft,,2-0,,
10:06.0,Offensive rebound by Team,,2-0,,
9:50.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler),2,4-0,,
9:29.0,,,4-3,3,C. Williams makes 3-pt shot from 24 ft (assist by W. Johnson)
9:17.0,A. Wiggins misses 2-pt shot from 18 ft,,4-3,,
9:14.0,,,4-3,,Defensive rebound by D. Gallinari
9:08.0,,,4-3,,A. Rivers misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by T. Gibson,,4-3,,
8:56.0,K. Towns misses 2-pt shot from 14 ft,,4-3,,
8:52.0,,,4-3,,Defensive rebound by D. Jordan
8:44.0,,,4-3,,C. Williams misses 2-pt shot from 5 ft (block by K. Towns)
8:41.0,Defensive rebound by J. Teague,,4-3,,
8:36.0,A. Wiggins misses 3-pt shot from 27 ft,,4-3,,
8:33.0,Offensive rebound by T. Gibson,,4-3,,
8:32.0,T. Gibson makes 2-pt shot from 1 ft,2,6-3,,
8:15.0,,,6-3,,W. Johnson misses 2-pt shot from 6 ft (block by T. Gibson)
8:12.0,Defensive rebound by T. Gibson,,6-3,,
8:02.0,Turnover by K. Towns (turnover),,6-3,,
7:45.0,,,6-5,2,D. Jordan makes 2-pt shot from 6 ft
7:32.0,Turnover by K. Towns (lost ball; steal by A. Rivers),,6-5,,
7:28.0,,,6-5,,Turnover by D. Gallinari (lost ball; steal by K. Towns)
7:23.0,J. Teague makes 3-pt shot from 22 ft (assist by A. Wiggins),3,9-5,,
7:10.0,,,9-5,,Offensive foul by D. Jordan (drawn by K. Towns)
7:10.0,,,9-5,,Turnover by D. Jordan (offensive foul)
6:55.0,A. Wiggins makes 2-pt shot from 13 ft,2,11-5,,
6:32.0,,,11-7,2,A. Rivers makes 2-pt shot from 1 ft
6:19.0,Offensive foul by A. Wiggins (drawn by D. Jordan),,11-7,,
6:19.0,Turnover by A. Wiggins (offensive foul),,11-7,,
6:19.0,,,11-7,,LA Clippers full timeout
6:19.0,,,11-7,,L. Williams enters the game for C. Williams
6:05.0,,,11-9,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
5:48.0,T. Gibson makes 2-pt shot at rim (assist by K. Towns),2,13-9,,
5:36.0,,,13-9,,Shooting foul by J. Teague (drawn by W. Johnson)
5:36.0,,,13-9,,W. Johnson misses free throw 1 of 2
5:36.0,,,13-9,,Offensive rebound by Team
5:36.0,,,13-10,1,W. Johnson makes free throw 2 of 2
5:15.0,T. Gibson makes 2-pt shot from 1 ft,2,15-10,,
5:05.0,,,15-13,3,D. Gallinari makes 3-pt shot from 25 ft (assist by L. Williams)
4:42.0,K. Towns makes 2-pt shot from 6 ft (assist by A. Wiggins),2,17-13,,
4:23.0,,,17-13,,D. Gallinari misses 3-pt shot from 22 ft
4:20.0,,,17-13,,Offensive rebound by D. Jordan
4:17.0,,,17-13,,Turnover by D. Gallinari (bad pass)
4:17.0,,,17-13,,J. Wilson enters the game for D. Gallinari
4:17.0,G. Dieng enters the game for K. Towns,,17-13,,
3:53.0,G. Dieng makes 2-pt shot from 18 ft (assist by J. Butler),2,19-13,,
3:38.0,,,19-13,,A. Rivers misses 2-pt shot at rim
3:36.0,Defensive rebound by J. Butler,,19-13,,
3:33.0,Turnover by G. Dieng (step out of bounds),,19-13,,
3:33.0,J. Crawford enters the game for J. Butler,,19-13,,
3:25.0,,,19-15,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams)
3:25.0,,,19-15,,Shooting foul by T. Gibson (drawn by D. Jordan)
3:25.0,,,19-15,,J. Evans enters the game for A. Rivers
3:25.0,,,19-16,1,D. Jordan makes free throw 1 of 1
3:14.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague),2,21-16,,
2:57.0,,,21-16,,L. Williams misses 2-pt shot from 9 ft
2:49.0,,,21-16,,Offensive rebound by L. Williams
2:48.0,,,21-16,,L. Williams misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by T. Gibson,,21-16,,
2:45.0,J. Teague misses 2-pt shot from 9 ft,,21-16,,
2:45.0,,,21-16,,Defensive rebound by D. Jordan
2:30.0,,,21-16,,L. Williams misses 3-pt shot from 24 ft
2:28.0,,,21-16,,Offensive rebound by W. Johnson
2:28.0,,,21-18,2,W. Johnson makes 2-pt shot at rim
2:18.0,J. Teague makes 2-pt shot from 13 ft (assist by G. Dieng),2,23-18,,
2:18.0,Shooting foul by J. Evans (drawn by J. Teague),,23-18,,
2:18.0,Minnesota full timeout,,23-18,,
2:18.0,,,23-18,,M. Harrell enters the game for D. Jordan
2:18.0,,,23-18,,S. Thornwell enters the game for W. Johnson
2:18.0,J. Teague makes free throw 1 of 1,1,24-18,,
2:03.0,,,24-18,,J. Wilson misses 3-pt shot from 26 ft (block by T. Gibson)
1:59.0,,,24-18,,Offensive rebound by J. Wilson
1:57.0,,,24-20,2,M. Harrell makes 2-pt shot at rim (assist by J. Wilson)
1:41.0,Shooting foul by S. Thornwell (drawn by A. Wiggins),,24-20,,
1:41.0,A. Wiggins misses free throw 1 of 2,,24-20,,
1:41.0,Offensive rebound by Team,,24-20,,
1:41.0,T. Jones enters the game for J. Teague,,24-20,,
