time,Toronto,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: H. Whiteside vs. J. Valanciunas (K. Lowry gains possession)
11:44.0,K. Lowry makes 3-pt shot from 23 ft (assist by O. Anunoby),3,3-0,,
11:28.0,,,3-0,,J. Richardson misses 2-pt shot from 20 ft
11:25.0,,,3-0,,Offensive rebound by H. Whiteside
11:08.0,,,3-0,,J. Johnson misses 2-pt shot from 1 ft (block by J. Valanciunas)
11:05.0,Defensive rebound by K. Lowry,,3-0,,
11:02.0,K. Lowry misses 3-pt shot from 25 ft,,3-0,,
10:58.0,Offensive rebound by K. Lowry,,3-0,,
10:56.0,K. Lowry makes 2-pt shot from 19 ft,2,5-0,,
10:44.0,,,5-0,,J. Johnson misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by J. Valanciunas,,5-0,,
10:34.0,Shooting foul by J. Johnson (drawn by D. DeRozan),,5-0,,
10:34.0,D. DeRozan makes free throw 1 of 2,1,6-0,,
10:34.0,D. DeRozan misses free throw 2 of 2,,6-0,,
10:31.0,,,6-0,,Defensive rebound by H. Whiteside
10:26.0,,,6-0,,J. Johnson misses 2-pt shot from 2 ft
10:25.0,,,6-0,,Offensive rebound by H. Whiteside
10:25.0,,,6-0,,H. Whiteside misses 2-pt shot from 1 ft (block by J. Valanciunas)
10:24.0,,,6-0,,Offensive rebound by H. Whiteside
10:23.0,,,6-0,,H. Whiteside misses 2-pt shot from 1 ft
10:20.0,,,6-0,,Offensive rebound by J. Johnson
10:13.0,,,6-0,,Turnover by T. Johnson (bad pass; steal by O. Anunoby)
10:02.0,J. Valanciunas misses 3-pt shot from 25 ft,,6-0,,
9:53.0,,,6-0,,Defensive rebound by T. Johnson
9:51.0,,,6-2,2,T. Johnson makes 2-pt shot from 1 ft
9:45.0,K. Lowry misses 3-pt shot from 25 ft,,6-2,,
9:45.0,,,6-2,,Defensive rebound by J. Richardson
9:27.0,,,6-4,2,H. Whiteside makes 2-pt shot from 9 ft
9:06.0,J. Valanciunas makes 2-pt shot from 1 ft,2,8-4,,
8:51.0,,,8-4,,T. Johnson misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by Team,,8-4,,
8:43.0,,,8-4,,Personal foul by R. McGruder (drawn by D. DeRozan)
8:29.0,S. Ibaka misses 2-pt shot from 12 ft,,8-4,,
8:23.0,,,8-4,,Defensive rebound by H. Whiteside
8:17.0,,,8-7,3,T. Johnson makes 3-pt shot from 26 ft (assist by J. Johnson)
8:01.0,K. Lowry misses 2-pt shot from 1 ft,,8-7,,
7:59.0,,,8-7,,Defensive rebound by H. Whiteside
7:54.0,,,8-9,2,H. Whiteside makes 2-pt shot from 2 ft
7:45.0,Shooting foul by H. Whiteside (drawn by J. Valanciunas),,8-9,,
7:45.0,J. Valanciunas makes free throw 1 of 2,1,9-9,,
7:45.0,J. Valanciunas makes free throw 2 of 2,1,10-9,,
7:27.0,,,10-11,2,J. Johnson makes 2-pt shot from 1 ft (assist by T. Johnson)
7:11.0,O. Anunoby makes 3-pt shot from 23 ft,3,13-11,,
6:58.0,,,13-11,,H. Whiteside misses 2-pt shot from 6 ft
