time,Oklahoma City,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. S. Adams (M. Brogdon gains possession),,,,Jump ball: T. Maker vs. S. Adams (M. Brogdon gains possession)
11:46.0,Personal foul by R. Westbrook (drawn by G. Antetokounmpo),,0-0,,
11:31.0,,,0-2,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
11:06.0,Turnover by S. Adams (lost ball; steal by K. Middleton),,0-2,,
11:03.0,,,0-2,,T. Snell misses 2-pt shot from 1 ft
10:59.0,,,0-2,,Offensive rebound by K. Middleton
10:59.0,,,0-2,,K. Middleton misses 2-pt shot at rim
10:59.0,Defensive rebound by S. Adams,,0-2,,
10:59.0,,,0-2,,Personal foul by M. Brogdon (drawn by R. Westbrook)
10:49.0,R. Westbrook makes 2-pt shot from 13 ft,2,2-2,,
10:35.0,,,2-4,2,T. Maker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
10:20.0,R. Westbrook misses 2-pt shot from 14 ft,,2-4,,
10:18.0,,,2-4,,Defensive rebound by M. Brogdon
10:13.0,,,2-4,,Shooting foul by S. Adams (drawn by G. Antetokounmpo)
10:13.0,,,2-5,1,G. Antetokounmpo makes free throw 1 of 2
10:13.0,,,2-6,1,G. Antetokounmpo makes free throw 2 of 2
9:56.0,P. George makes 2-pt shot from 16 ft,2,4-6,,
9:50.0,Personal foul by A. Roberson (drawn by G. Antetokounmpo),,4-6,,
9:44.0,,,4-6,,Turnover by K. Middleton (lost ball; steal by P. George)
9:40.0,P. George misses 2-pt shot from 1 ft,,4-6,,
9:37.0,,,4-6,,Defensive rebound by K. Middleton
9:34.0,,,4-8,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
9:12.0,A. Roberson misses 3-pt shot from 29 ft,,4-8,,
9:08.0,Offensive rebound by S. Adams,,4-8,,
9:06.0,S. Adams makes 2-pt shot from 1 ft,2,6-8,,
8:51.0,,,6-8,,K. Middleton misses 2-pt shot from 17 ft
8:48.0,Defensive rebound by P. George,,6-8,,
8:43.0,P. George misses 2-pt shot from 19 ft,,6-8,,
8:38.0,,,6-8,,Defensive rebound by G. Antetokounmpo
8:27.0,,,6-8,,M. Brogdon misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by C. Anthony,,6-8,,
8:13.0,C. Anthony misses 3-pt shot from 26 ft,,6-8,,
8:09.0,Offensive rebound by A. Roberson,,6-8,,
8:03.0,C. Anthony misses 2-pt shot from 17 ft,,6-8,,
8:01.0,Offensive rebound by S. Adams,,6-8,,
8:00.0,S. Adams makes 2-pt shot from 1 ft,2,8-8,,
7:34.0,,,8-8,,G. Antetokounmpo misses 3-pt shot from 26 ft
7:34.0,,,8-8,,Turnover by Team (shot clock)
7:33.0,,,8-8,,Offensive rebound by Team
7:21.0,Turnover by P. George (offensive foul),,8-8,,
7:11.0,,,8-8,,Offensive charge foul by G. Antetokounmpo (drawn by A. Roberson)
7:11.0,,,8-8,,Turnover by G. Antetokounmpo (offensive foul)
7:05.0,Shooting foul by M. Brogdon (drawn by R. Westbrook),,8-8,,
7:05.0,R. Westbrook misses free throw 1 of 2,,8-8,,
7:05.0,Offensive rebound by Team,,8-8,,
7:05.0,,,8-8,,M. Dellavedova enters the game for M. Brogdon
7:05.0,R. Westbrook makes free throw 2 of 2,1,9-8,,
6:44.0,,,9-8,,G. Antetokounmpo misses 2-pt shot from 14 ft
6:41.0,Defensive rebound by C. Anthony,,9-8,,
6:29.0,C. Anthony makes 2-pt shot from 19 ft,2,11-8,,
6:10.0,,,11-8,,T. Maker misses 2-pt shot from 3 ft
6:07.0,Defensive rebound by C. Anthony,,11-8,,
6:04.0,S. Adams misses 2-pt shot from 2 ft,,11-8,,
6:01.0,,,11-8,,Defensive rebound by G. Antetokounmpo
5:58.0,,,11-8,,K. Middleton misses 3-pt shot from 26 ft
5:54.0,Defensive rebound by C. Anthony,,11-8,,
5:48.0,R. Westbrook makes 2-pt shot from 18 ft,2,13-8,,
5:47.0,,,13-8,,Milwaukee full timeout
5:47.0,,,13-8,,M. Teletovic enters the game for T. Maker
5:47.0,,,13-8,,J. Henson enters the game for G. Antetokounmpo
5:47.0,J. Grant enters the game for C. Anthony,,13-8,,
5:24.0,A. Abrines enters the game for A. Roberson,,13-8,,
5:15.0,S. Adams makes 2-pt shot at rim,2,20-12,,
4:55.0,,,20-12,,Turnover by M. Dellavedova (lost ball; steal by S. Adams)
4:48.0,P. George makes 3-pt shot from 27 ft (assist by R. Westbrook),3,16-8,,
4:32.0,,,16-8,,M. Teletovic misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by S. Adams,,16-8,,
4:16.0,P. George makes 2-pt shot from 19 ft,2,18-8,,
4:01.0,,,18-8,,K. Middleton misses 2-pt shot from 19 ft
3:58.0,Defensive rebound by S. Adams,,18-8,,
3:54.0,R. Westbrook misses 3-pt shot from 28 ft,,18-8,,
3:51.0,,,18-8,,Defensive rebound by K. Middleton
3:46.0,,,18-8,,K. Middleton misses 2-pt shot at rim
3:43.0,Defensive rebound by R. Westbrook,,18-8,,
3:27.0,A. Abrines misses 2-pt shot from 1 ft,,18-8,,
3:22.0,,,18-8,,Defensive rebound by T. Snell
3:20.0,,,18-10,2,M. Dellavedova makes 2-pt shot from 19 ft (assist by T. Snell)
2:57.0,P. George misses 2-pt shot from 14 ft,,18-10,,
2:54.0,,,18-10,,Defensive rebound by T. Snell
2:50.0,,,18-12,2,T. Snell makes 2-pt shot from 1 ft
2:50.0,Oklahoma City full timeout,,18-12,,
2:50.0,,,18-12,,G. Antetokounmpo enters the game for T. Snell
2:50.0,,,18-12,,R. Vaughn enters the game for K. Middleton
2:50.0,P. Patterson enters the game for R. Westbrook,,18-12,,
2:50.0,R. Felton enters the game for S. Adams,,18-12,,
2:43.0,Technical foul by Team,,18-12,,
2:43.0,,,20-13,1,M. Dellavedova makes technical free throw
2:27.0,R. Felton misses 2-pt shot from 17 ft,,20-13,,
2:25.0,Offensive rebound by J. Grant,,20-13,,
2:25.0,Shooting foul by M. Teletovic (drawn by J. Grant),,20-13,,
2:25.0,J. Grant makes free throw 1 of 2,1,21-13,,
2:25.0,J. Grant makes free throw 2 of 2,1,22-13,,
1:59.0,,,22-13,,R. Vaughn misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by Team,,22-13,,
1:59.0,C. Anthony enters the game for P. George,,22-13,,
1:45.0,J. Grant misses 3-pt shot from 26 ft,,22-13,,
1:41.0,,,22-13,,Defensive rebound by G. Antetokounmpo
1:32.0,,,22-15,2,G. Antetokounmpo makes 2-pt shot from 16 ft
1:18.0,C. Anthony makes 2-pt shot from 1 ft,2,24-15,,
1:18.0,Shooting foul by G. Antetokounmpo (drawn by C. Anthony),,24-15,,
1:18.0,C. Anthony makes free throw 1 of 1,1,25-15,,
1:10.0,,,25-15,,Turnover by M. Dellavedova (bad pass)
1:01.0,,,25-15,,Personal foul by M. Teletovic (drawn by C. Anthony)
1:01.0,C. Anthony misses free throw 1 of 2,,25-15,,
1:01.0,Offensive rebound by Team,,25-15,,
1:01.0,C. Anthony makes free throw 2 of 2,1,26-15,,
