time,Chicago,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. R. Lopez (B. Portis gains possession),,,,Jump ball: W. Cauley-Stein vs. R. Lopez (B. Portis gains possession)
11:39.0,J. Holiday makes 3-pt shot from 23 ft (assist by Z. LaVine),3,3-0,,
11:19.0,,,3-0,,W. Cauley-Stein misses 2-pt shot from 8 ft
11:16.0,Defensive rebound by J. Holiday,,3-0,,
11:14.0,Shooting foul by W. Cauley-Stein (drawn by Z. LaVine),,3-0,,
11:14.0,Z. LaVine makes free throw 1 of 2,1,4-0,,
11:14.0,Z. LaVine makes free throw 2 of 2,1,5-0,,
10:55.0,,,5-0,,D. Fox misses 3-pt shot from 24 ft
10:53.0,,,5-0,,Offensive rebound by D. Fox
10:49.0,,,5-0,,J. Jackson misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by B. Portis,,5-0,,
10:38.0,B. Portis misses 3-pt shot from 24 ft,,5-0,,
10:35.0,,,5-0,,Defensive rebound by B. Bogdanovic
10:17.0,,,5-0,,W. Cauley-Stein misses 2-pt shot from 1 ft
10:15.0,Defensive rebound by B. Portis,,5-0,,
10:12.0,B. Portis misses 2-pt shot from 1 ft,,5-0,,
10:07.0,,,5-0,,Defensive rebound by W. Cauley-Stein
9:57.0,,,5-0,,J. Jackson misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by B. Portis,,5-0,,
9:45.0,J. Holiday makes 3-pt shot from 25 ft (assist by B. Portis),3,8-0,,
9:21.0,,,8-0,,Turnover by Z. Randolph (bad pass)
9:02.0,R. Lopez misses 2-pt shot from 7 ft,,8-0,,
8:58.0,,,8-0,,Defensive rebound by J. Jackson
8:56.0,Personal foul by R. Lopez (drawn by D. Fox),,8-0,,
8:37.0,,,8-0,,Z. Randolph misses 2-pt shot from 13 ft
8:34.0,Defensive rebound by J. Grant,,8-0,,
8:27.0,B. Portis misses 3-pt shot from 25 ft,,8-0,,
8:23.0,,,8-0,,Defensive rebound by W. Cauley-Stein
8:13.0,,,8-0,,Turnover by D. Fox (traveling)
8:05.0,J. Holiday misses 3-pt shot from 25 ft,,8-0,,
8:00.0,,,8-0,,Defensive rebound by W. Cauley-Stein
8:00.0,,,8-0,,Sacramento full timeout
7:49.0,,,8-0,,D. Fox misses 2-pt shot from 16 ft
7:46.0,Defensive rebound by J. Holiday,,8-0,,
7:41.0,J. Holiday misses 3-pt shot from 25 ft,,8-0,,
7:39.0,,,8-0,,Defensive rebound by Z. Randolph
7:29.0,,,8-0,,B. Bogdanovic misses 3-pt shot from 23 ft
7:26.0,Defensive rebound by B. Portis,,8-0,,
7:19.0,R. Lopez misses 2-pt shot from 8 ft,,8-0,,
7:17.0,,,8-0,,Defensive rebound by Z. Randolph
7:13.0,,,8-0,,Turnover by D. Fox (bad pass; steal by B. Portis)
7:09.0,Shooting foul by W. Cauley-Stein (drawn by Z. LaVine),,8-0,,
7:09.0,Z. LaVine makes free throw 1 of 2,1,9-0,,
7:09.0,,,9-0,,V. Carter enters the game for W. Cauley-Stein
7:09.0,Z. LaVine makes free throw 2 of 2,1,10-0,,
6:47.0,,,10-0,,B. Bogdanovic misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by B. Portis,,10-0,,
6:37.0,Turnover by Z. LaVine (lost ball; steal by Z. Randolph),,10-0,,
6:31.0,,,10-0,,V. Carter misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by B. Portis,,10-0,,
6:23.0,J. Grant misses 3-pt shot from 25 ft,,10-0,,
6:19.0,,,10-0,,Defensive rebound by Z. Randolph
6:04.0,,,10-2,2,J. Jackson makes 2-pt shot at rim (assist by Z. Randolph)
5:39.0,Z. LaVine makes 3-pt shot from 24 ft,3,13-2,,
5:18.0,,,13-4,2,Z. Randolph makes 2-pt shot from 2 ft
5:05.0,Shooting foul by V. Carter (drawn by B. Portis),,13-4,,
5:05.0,B. Portis misses free throw 1 of 2,,13-4,,
5:05.0,Offensive rebound by Team,,13-4,,
5:05.0,D. Valentine enters the game for Z. LaVine,,13-4,,
5:05.0,B. Portis misses free throw 2 of 2,,13-4,,
5:02.0,,,13-4,,Defensive rebound by Z. Randolph
4:44.0,,,13-4,,V. Carter misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by D. Valentine,,13-4,,
4:31.0,B. Portis makes 2-pt shot from 7 ft,2,15-4,,
4:11.0,,,15-6,2,J. Jackson makes 2-pt shot from 5 ft (assist by D. Fox)
4:00.0,J. Holiday makes 3-pt shot from 24 ft (assist by B. Portis),3,18-6,,
3:41.0,,,18-6,,Z. Randolph misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by D. Valentine,,18-6,,
3:34.0,D. Valentine makes 2-pt shot from 20 ft,2,20-6,,
3:21.0,,,20-6,,D. Fox misses 2-pt shot from 21 ft
3:21.0,Defensive rebound by Team,,20-6,,
3:21.0,,,20-6,,B. Hield enters the game for B. Bogdanovic
3:13.0,J. Grant misses 2-pt shot from 7 ft,,20-6,,
3:07.0,Offensive rebound by R. Lopez,,20-6,,
3:07.0,R. Lopez makes 2-pt shot at rim,2,22-6,,
2:46.0,,,22-9,3,B. Hield makes 3-pt shot from 23 ft
