time,New York,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. E. Kanter (M. Beasley gains possession),,,,Jump ball: M. Turner vs. E. Kanter (M. Beasley gains possession)
11:38.0,C. Lee misses 3-pt shot from 26 ft,,0-0,,
11:33.0,Offensive rebound by J. Jack,,0-0,,
11:29.0,M. Beasley makes 2-pt shot from 4 ft (assist by C. Lee),2,2-0,,
11:18.0,,,2-2,2,B. Bogdanovic makes 2-pt shot at rim (assist by T. Young)
11:18.0,,,2-2,,Shooting foul by C. Lee (drawn by B. Bogdanovic)
11:18.0,,,2-2,,B. Bogdanovic misses free throw 1 of 1
11:16.0,Defensive rebound by E. Kanter,,2-2,,
11:05.0,E. Kanter makes 2-pt shot from 7 ft (assist by C. Lee),2,4-2,,
10:50.0,,,4-2,,M. Turner misses 2-pt shot from 19 ft
10:48.0,Defensive rebound by E. Kanter,,4-2,,
10:37.0,Shooting foul by M. Turner (drawn by E. Kanter),,4-2,,
10:37.0,E. Kanter misses free throw 1 of 2,,4-2,,
10:37.0,Offensive rebound by Team,,4-2,,
10:37.0,E. Kanter makes free throw 2 of 2,1,5-2,,
10:32.0,Personal foul by M. Beasley (drawn by T. Young),,5-2,,
10:25.0,,,5-2,,M. Turner misses 2-pt shot from 21 ft
10:22.0,Defensive rebound by M. Beasley,,5-2,,
10:09.0,Shooting foul by C. Joseph (drawn by J. Jack),,5-2,,
10:09.0,J. Jack makes free throw 1 of 2,1,6-2,,
10:09.0,J. Jack makes free throw 2 of 2,1,7-2,,
10:00.0,,,7-4,2,C. Joseph makes 2-pt shot from 18 ft
9:42.0,C. Lee misses 2-pt shot from 14 ft,,7-4,,
9:39.0,,,7-4,,Defensive rebound by M. Turner
9:31.0,,,7-6,2,B. Bogdanovic makes 2-pt shot at rim (assist by C. Joseph)
9:13.0,T. Hardaway misses 3-pt shot from 30 ft,,7-6,,
9:12.0,Offensive rebound by Team,,7-6,,
9:12.0,,,7-6,,Loose ball foul by C. Joseph (drawn by E. Kanter)
9:12.0,,,7-6,,J. Young enters the game for C. Joseph
9:10.0,,,7-6,,Personal foul by J. Young (drawn by J. Jack)
8:59.0,M. Beasley misses 2-pt shot from 2 ft,,7-6,,
8:56.0,,,7-6,,Defensive rebound by T. Young
8:55.0,,,7-6,,T. Young misses 2-pt shot from 1 ft
8:52.0,Defensive rebound by E. Kanter,,7-6,,
8:47.0,T. Hardaway misses 3-pt shot from 26 ft,,7-6,,
8:43.0,Offensive rebound by M. Beasley,,7-6,,
8:43.0,M. Beasley misses 2-pt shot at rim,,7-6,,
8:42.0,Offensive rebound by M. Beasley,,7-6,,
8:41.0,M. Beasley misses 2-pt shot from 4 ft,,7-6,,
8:38.0,,,7-6,,Defensive rebound by T. Young
8:32.0,,,7-8,2,B. Bogdanovic makes 2-pt shot at rim (assist by V. Oladipo)
8:20.0,,,7-8,,Personal foul by B. Bogdanovic (drawn by E. Kanter)
8:20.0,E. Kanter makes free throw 1 of 2,1,8-8,,
8:20.0,E. Kanter makes free throw 2 of 2,1,9-8,,
8:09.0,,,9-8,,V. Oladipo misses 2-pt shot from 19 ft
8:05.0,Defensive rebound by J. Jack,,9-8,,
8:01.0,T. Hardaway makes 2-pt shot from 10 ft,2,11-8,,
7:56.0,Personal take foul by T. Hardaway (drawn by V. Oladipo),,11-8,,
7:56.0,F. Ntilikina enters the game for J. Jack,,11-8,,
7:45.0,,,11-8,,V. Oladipo misses 2-pt shot from 7 ft
7:42.0,,,11-8,,Offensive rebound by T. Young
7:41.0,C. Lee makes technical free throw,1,12-8,,
7:37.0,,,12-8,,B. Bogdanovic misses 3-pt shot from 28 ft
7:35.0,Defensive rebound by M. Beasley,,12-8,,
7:25.0,M. Beasley makes 2-pt shot at rim (assist by T. Hardaway),2,14-8,,
7:07.0,,,14-11,3,V. Oladipo makes 3-pt shot from 26 ft (assist by B. Bogdanovic)
6:54.0,C. Lee misses 2-pt shot from 20 ft,,14-11,,
6:51.0,Offensive rebound by M. Beasley,,14-11,,
6:51.0,M. Beasley makes 2-pt shot at rim,2,16-11,,
6:46.0,,,16-13,2,V. Oladipo makes 2-pt shot from 1 ft
6:38.0,New York full timeout,,16-13,,
6:38.0,E. Mudiay enters the game for C. Lee,,16-13,,
6:32.0,T. Hardaway misses 2-pt shot from 19 ft,,16-13,,
6:28.0,,,16-13,,Defensive rebound by M. Turner
6:17.0,,,16-13,,Shooting foul by T. Hardaway (drawn by T. Young)
6:17.0,,,16-13,,T. Young misses free throw 1 of 2
6:17.0,,,16-13,,Offensive rebound by Team
6:17.0,,,16-14,1,T. Young makes free throw 2 of 2
6:00.0,E. Kanter makes 2-pt shot from 7 ft,2,18-14,,
5:44.0,,,18-14,,Shooting foul by M. Beasley (drawn by T. Young)
5:44.0,,,18-15,1,T. Young makes free throw 1 of 2
5:44.0,L. Thomas enters the game for M. Beasley,,18-15,,
5:44.0,,,18-15,,T. Young misses free throw 2 of 2
5:42.0,Defensive rebound by T. Hardaway,,18-15,,
5:30.0,E. Kanter misses 2-pt shot from 1 ft,,18-15,,
5:27.0,,,18-15,,Defensive rebound by M. Turner
5:16.0,,,18-17,2,J. Young makes 2-pt shot at rim
5:02.0,E. Mudiay makes 2-pt shot from 19 ft,2,20-17,,
4:50.0,,,20-17,,V. Oladipo misses 2-pt shot from 20 ft
4:46.0,,,20-17,,Offensive rebound by T. Young
4:46.0,,,20-19,2,T. Young makes 2-pt shot at rim
4:29.0,T. Hardaway misses 3-pt shot from 25 ft,,20-19,,
4:27.0,,,20-19,,Defensive rebound by V. Oladipo
4:22.0,,,20-19,,B. Bogdanovic misses 3-pt shot from 23 ft
4:19.0,Defensive rebound by E. Kanter,,20-19,,
4:13.0,T. Hardaway makes 3-pt shot from 22 ft (assist by E. Mudiay),3,23-19,,
3:51.0,,,23-21,2,J. Young makes 2-pt shot from 18 ft
3:39.0,E. Kanter makes 2-pt shot from 5 ft,2,25-21,,
3:31.0,,,25-21,,Indiana full timeout
3:31.0,,,25-21,,L. Stephenson enters the game for T. Young
3:31.0,,,25-21,,D. Sabonis enters the game for B. Bogdanovic
3:31.0,C. Lee enters the game for T. Hardaway,,25-21,,
3:22.0,,,25-21,,V. Oladipo misses 2-pt shot from 20 ft
3:19.0,,,25-21,,Offensive rebound by D. Sabonis
3:17.0,,,25-23,2,D. Sabonis makes 2-pt shot from 1 ft
3:01.0,C. Lee makes 3-pt shot from 23 ft (assist by E. Mudiay),3,28-23,,
2:50.0,Personal foul by F. Ntilikina (drawn by V. Oladipo),,28-23,,
2:50.0,,,28-24,1,V. Oladipo makes free throw 1 of 2
2:50.0,,,28-25,1,V. Oladipo makes free throw 2 of 2
2:35.0,F. Ntilikina makes 2-pt shot from 2 ft (assist by E. Mudiay),2,30-25,,
2:17.0,,,30-25,,J. Young misses 3-pt shot from 25 ft
2:16.0,,,30-25,,Offensive rebound by M. Turner
2:15.0,,,30-27,2,M. Turner makes 2-pt shot at rim
1:57.0,E. Kanter makes 2-pt shot from 2 ft,2,32-27,,
1:45.0,,,32-27,,M. Turner misses 3-pt shot from 27 ft
1:43.0,Defensive rebound by E. Kanter,,32-27,,
1:33.0,E. Kanter misses 2-pt shot from 13 ft,,32-27,,
1:30.0,,,32-27,,Defensive rebound by D. Sabonis
1:23.0,,,32-30,3,L. Stephenson makes 3-pt shot from 24 ft (assist by D. Sabonis)
1:09.0,L. Thomas misses 3-pt shot from 25 ft,,32-30,,
1:05.0,Offensive rebound by E. Kanter,,32-30,,
0:57.0,C. Lee misses 3-pt shot from 25 ft,,32-30,,
0:54.0,,,32-30,,Defensive rebound by V. Oladipo
0:46.0,,,32-32,2,M. Turner makes 2-pt shot at rim (assist by V. Oladipo)
0:33.0,E. Mudiay makes 2-pt shot from 15 ft,2,34-32,,
0:29.0,Personal foul by C. Lee (drawn by V. Oladipo),,34-32,,
0:29.0,,,34-33,1,V. Oladipo makes free throw 1 of 2
0:29.0,,,34-33,,T. Young enters the game for M. Turner
0:29.0,,,34-34,1,V. Oladipo makes free throw 2 of 2
0:06.0,L. Thomas makes 3-pt shot from 23 ft (assist by C. Lee),3,37-34,,
0:03.0,,,37-34,,V. Oladipo misses 3-pt shot from 28 ft
0:00.0,,,37-34,,Offensive rebound by T. Young
0:00.0,,,37-34,,T. Young misses 2-pt shot at rim
0:00.0,,,37-34,,Offensive rebound by T. Young
0:00.0,,,37-36,2,T. Young makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,37-36,,D. Sabonis misses 2-pt shot from 5 ft
11:45.0,Defensive rebound by K. O'Quinn,,37-36,,
11:35.0,K. O'Quinn makes 2-pt shot from 8 ft (assist by F. Ntilikina),2,39-36,,
11:24.0,Personal foul by L. Thomas (drawn by B. Bogdanovic),,39-36,,
11:17.0,,,39-36,,J. Young misses 2-pt shot from 20 ft
11:14.0,Defensive rebound by K. O'Quinn,,39-36,,
11:07.0,F. Ntilikina misses 2-pt shot from 15 ft,,39-36,,
11:05.0,,,39-36,,Defensive rebound by J. Young
10:58.0,,,39-39,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by L. Stephenson)
10:36.0,L. Thomas misses 3-pt shot from 25 ft,,39-39,,
10:34.0,,,39-39,,Defensive rebound by L. Stephenson
10:23.0,,,39-39,,Turnover by B. Bogdanovic (bad pass; steal by L. Kornet)
10:19.0,E. Mudiay makes 2-pt shot at rim (assist by L. Kornet),2,41-39,,
9:53.0,,,41-39,,C. Joseph enters the game for L. Stephenson
9:51.0,,,41-39,,Turnover by C. Joseph (bad pass; steal by L. Thomas)
9:47.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by E. Mudiay),2,43-39,,
9:41.0,,,43-39,,Indiana full timeout
9:29.0,,,43-41,2,A. Jefferson makes 2-pt shot from 1 ft
9:06.0,L. Kornet misses 3-pt shot from 27 ft,,43-41,,
9:03.0,,,43-41,,Defensive rebound by A. Jefferson
8:53.0,,,43-43,2,J. Young makes 2-pt shot from 16 ft (assist by A. Jefferson)
8:36.0,E. Mudiay misses 2-pt shot from 5 ft (block by A. Jefferson),,43-43,,
8:33.0,,,43-43,,Defensive rebound by D. Sabonis
8:24.0,,,43-43,,A. Jefferson misses 2-pt shot from 6 ft (block by K. O'Quinn)
8:21.0,,,43-43,,Offensive rebound by A. Jefferson
8:21.0,,,43-45,2,A. Jefferson makes 2-pt shot from 4 ft
8:04.0,E. Mudiay misses 2-pt shot from 12 ft,,43-45,,
8:02.0,,,43-45,,Defensive rebound by C. Joseph
7:51.0,,,43-48,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by C. Joseph)
7:50.0,New York full timeout,,43-48,,
7:50.0,T. Hardaway enters the game for E. Mudiay,,43-48,,
7:50.0,M. Beasley enters the game for L. Kornet,,43-48,,
7:50.0,C. Lee enters the game for F. Ntilikina,,43-48,,
7:50.0,T. Burke enters the game for L. Thomas,,43-48,,
7:32.0,M. Beasley makes 2-pt shot from 1 ft (assist by T. Hardaway),2,45-48,,
7:16.0,,,45-48,,Turnover by B. Bogdanovic (traveling)
6:56.0,Turnover by C. Lee (step out of bounds),,45-48,,
6:43.0,,,45-48,,C. Joseph misses 2-pt shot from 17 ft
6:41.0,Defensive rebound by T. Burke,,45-48,,
6:32.0,M. Beasley misses 2-pt shot from 3 ft,,45-48,,
6:30.0,,,45-48,,Defensive rebound by D. Sabonis
6:24.0,,,45-51,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by C. Joseph)
6:08.0,,,45-51,,V. Oladipo enters the game for J. Young
6:08.0,,,45-51,,T. Young enters the game for A. Jefferson
5:56.0,M. Beasley misses 2-pt shot from 11 ft (block by T. Young),,45-51,,
5:56.0,Offensive rebound by Team,,45-51,,
5:55.0,Turnover by Team (shot clock),,45-51,,
5:45.0,,,45-53,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sabonis)
5:45.0,Violation by K. O'Quinn (def goaltending),,45-53,,
5:35.0,C. Lee misses 3-pt shot from 26 ft,,45-53,,
5:31.0,,,45-53,,Defensive rebound by D. Sabonis
5:27.0,,,45-53,,V. Oladipo misses 3-pt shot from 27 ft
5:24.0,Defensive rebound by T. Burke,,45-53,,
5:19.0,,,45-53,,Violation by C. Joseph (kicked ball)
5:19.0,E. Kanter enters the game for K. O'Quinn,,45-53,,
5:13.0,E. Kanter makes 2-pt shot at rim (assist by M. Beasley),2,47-53,,
4:56.0,,,47-53,,Turnover by B. Bogdanovic (bad pass; steal by T. Burke)
4:51.0,Shooting foul by C. Joseph (drawn by C. Lee),,47-53,,
4:51.0,C. Lee makes free throw 1 of 3,1,48-53,,
4:51.0,C. Lee makes free throw 2 of 3,1,49-53,,
4:51.0,,,49-53,,J. Young enters the game for C. Joseph
4:51.0,,,49-53,,L. Stephenson enters the game for B. Bogdanovic
4:51.0,C. Lee makes free throw 3 of 3,1,50-53,,
4:38.0,,,50-53,,D. Sabonis misses 2-pt shot at rim
4:35.0,Defensive rebound by M. Beasley,,50-53,,
4:32.0,T. Hardaway makes 3-pt shot from 27 ft (assist by C. Lee),3,53-53,,
4:12.0,,,53-53,,Shooting foul by M. Beasley (drawn by D. Sabonis)
4:12.0,,,53-54,1,D. Sabonis makes free throw 1 of 2
4:12.0,L. Kornet enters the game for M. Beasley,,53-54,,
4:12.0,,,53-55,1,D. Sabonis makes free throw 2 of 2
3:58.0,C. Lee makes 2-pt shot from 9 ft (assist by T. Burke),2,55-55,,
3:44.0,,,55-58,3,L. Stephenson makes 3-pt shot from 23 ft (assist by V. Oladipo)
3:25.0,Turnover by T. Burke (bad pass; steal by V. Oladipo),,55-58,,
3:19.0,,,55-60,2,T. Young makes 2-pt shot from 2 ft (assist by V. Oladipo)
3:05.0,T. Hardaway misses 3-pt shot from 25 ft,,55-60,,
2:56.0,,,55-60,,Defensive rebound by J. Young
2:47.0,,,55-60,,D. Sabonis misses 2-pt shot from 11 ft
2:43.0,Defensive rebound by E. Kanter,,55-60,,
2:24.0,E. Kanter misses 2-pt shot from 5 ft,,55-60,,
2:21.0,,,55-60,,Defensive rebound by L. Stephenson
2:09.0,,,55-60,,D. Sabonis misses 2-pt shot from 1 ft
2:07.0,Defensive rebound by E. Kanter,,55-60,,
2:00.0,C. Lee makes 3-pt shot from 25 ft (assist by T. Hardaway),3,58-60,,
1:42.0,,,58-62,2,V. Oladipo makes 2-pt shot from 18 ft
1:33.0,Turnover by T. Hardaway (lost ball; steal by V. Oladipo),,58-62,,
1:28.0,,,58-62,,J. Young misses 2-pt shot from 17 ft
1:26.0,Defensive rebound by Team,,58-62,,
1:26.0,,,58-62,,M. Turner enters the game for D. Sabonis
1:13.0,C. Lee makes 2-pt shot from 13 ft (assist by E. Kanter),2,60-62,,
0:57.0,,,60-64,2,L. Stephenson makes 2-pt shot from 19 ft
0:44.0,Turnover by T. Hardaway (bad pass; steal by V. Oladipo),,60-64,,
0:41.0,,,60-66,2,V. Oladipo makes 2-pt shot at rim (assist by T. Young)
0:31.0,T. Burke makes 2-pt shot from 15 ft,2,62-66,,
