time,Sacramento,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Chriss vs. W. Cauley-Stein (D. Fox gains possession),,,,Jump ball: M. Chriss vs. W. Cauley-Stein (D. Fox gains possession)
11:41.0,Turnover by V. Carter (bad pass),,0-0,,
11:27.0,,,0-2,2,J. Jackson makes 2-pt shot at rim
11:12.0,V. Carter misses 3-pt shot from 26 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by M. Chriss
10:53.0,,,0-2,,M. Chriss misses 2-pt shot from 2 ft
10:51.0,Defensive rebound by J. Jackson,,0-2,,
10:44.0,B. Bogdanovic makes 2-pt shot from 10 ft,2,2-2,,
10:27.0,,,2-2,,D. Bender misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by Team,,2-2,,
10:04.0,B. Bogdanovic makes 2-pt shot from 4 ft,2,4-2,,
9:48.0,,,4-2,,T. Ulis misses 2-pt shot from 21 ft
9:44.0,Defensive rebound by W. Cauley-Stein,,4-2,,
9:42.0,B. Bogdanovic misses 3-pt shot from 24 ft,,4-2,,
9:38.0,,,4-2,,Defensive rebound by D. Bender
9:31.0,,,4-2,,J. Jackson misses 2-pt shot at rim
9:26.0,,,4-2,,Offensive rebound by D. Bender
9:26.0,,,4-4,2,D. Bender makes 2-pt shot at rim
9:09.0,V. Carter makes 2-pt shot from 1 ft,2,6-4,,
8:49.0,,,6-4,,T. Daniels misses 2-pt shot at rim
8:46.0,Defensive rebound by D. Fox,,6-4,,
8:40.0,D. Fox misses 2-pt shot from 11 ft,,6-4,,
8:37.0,,,6-4,,Defensive rebound by T. Ulis
8:34.0,,,6-4,,J. Jackson misses 2-pt shot at rim (block by J. Jackson)
8:34.0,Defensive rebound by Team,,6-4,,
8:23.0,,,6-4,,Violation by M. Chriss (kicked ball)
8:13.0,Turnover by B. Bogdanovic (lost ball; steal by J. Jackson),,6-4,,
8:08.0,,,6-4,,J. Jackson misses 2-pt shot at rim
8:06.0,Defensive rebound by D. Fox,,6-4,,
8:02.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Fox),2,8-4,,
7:41.0,,,8-4,,M. Chriss misses 3-pt shot from 26 ft
7:40.0,Defensive rebound by D. Fox,,8-4,,
7:34.0,D. Fox misses 3-pt shot from 24 ft,,8-4,,
7:30.0,,,8-4,,Defensive rebound by J. Jackson
7:20.0,,,8-4,,M. Chriss misses 2-pt shot from 5 ft
7:18.0,Defensive rebound by D. Fox,,8-4,,
7:17.0,J. Jackson misses 2-pt shot from 3 ft,,8-4,,
7:16.0,Offensive rebound by J. Jackson,,8-4,,
7:14.0,J. Jackson makes 2-pt shot at rim,2,10-4,,
7:12.0,,,10-4,,Phoenix full timeout
7:12.0,,,10-4,,A. Len enters the game for M. Chriss
7:12.0,N. Hayes enters the game for J. Jackson,,10-4,,
7:12.0,B. Hield enters the game for W. Cauley-Stein,,10-4,,
6:48.0,,,10-6,2,T. Ulis makes 2-pt shot from 15 ft
6:28.0,B. Bogdanovic misses 2-pt shot at rim (block by D. Bender),,10-6,,
6:20.0,,,10-6,,Defensive rebound by T. Ulis
6:19.0,,,10-8,2,J. Jackson makes 2-pt shot at rim (assist by T. Ulis)
6:15.0,B. Bogdanovic makes 2-pt shot at rim (assist by D. Fox),2,12-8,,
6:08.0,Personal foul by B. Bogdanovic (drawn by A. Len),,12-8,,
5:58.0,,,12-10,2,J. Jackson makes 2-pt shot from 18 ft
5:39.0,N. Hayes misses 3-pt shot from 24 ft,,12-10,,
5:37.0,Offensive rebound by V. Carter,,12-10,,
5:35.0,B. Hield misses 3-pt shot from 24 ft,,12-10,,
5:32.0,,,12-10,,Defensive rebound by J. Jackson
5:24.0,,,12-10,,Shooting foul by V. Carter (drawn by D. Bender)
5:24.0,,,12-10,,D. Bender misses free throw 1 of 2
5:24.0,,,12-10,,Offensive rebound by Team
5:24.0,B. Caboclo enters the game for V. Carter,,12-10,,
5:24.0,,,12-11,1,D. Bender makes free throw 2 of 2
5:07.0,B. Hield makes 2-pt shot from 12 ft,2,14-11,,
4:42.0,,,14-11,,A. Len misses 2-pt shot from 1 ft (block by D. Fox)
4:42.0,,,14-11,,Offensive rebound by Team
4:42.0,Personal foul by B. Hield (drawn by J. Jackson),,14-11,,
4:42.0,,,14-11,,D. House enters the game for T. Daniels
4:30.0,,,14-14,3,D. House makes 3-pt shot from 25 ft (assist by T. Ulis)
4:13.0,N. Hayes misses 2-pt shot from 2 ft,,14-14,,
4:09.0,,,14-14,,Defensive rebound by T. Ulis
4:01.0,,,14-14,,D. Bender misses 3-pt shot from 22 ft
4:01.0,,,14-14,,Offensive rebound by Team
4:01.0,Loose ball foul by D. Fox (drawn by A. Len),,14-14,,
4:01.0,F. Mason enters the game for D. Fox,,14-14,,
3:56.0,,,14-14,,J. Jackson misses 2-pt shot from 19 ft
3:53.0,Defensive rebound by F. Mason,,14-14,,
3:34.0,B. Hield misses 2-pt shot from 10 ft,,14-14,,
3:29.0,,,14-14,,Defensive rebound by A. Len
3:20.0,,,14-16,2,J. Jackson makes 2-pt shot from 1 ft
3:16.0,F. Mason misses 2-pt shot at rim,,14-16,,
3:11.0,,,14-16,,Defensive rebound by D. House
3:09.0,,,14-18,2,D. House makes 2-pt shot at rim (assist by T. Ulis)
2:59.0,Sacramento full timeout,,14-18,,
2:59.0,,,14-18,,S. Harrison enters the game for J. Jackson
2:59.0,,,14-18,,A. Peters enters the game for D. Bender
2:59.0,W. Cauley-Stein enters the game for B. Bogdanovic,,14-18,,
2:50.0,Turnover by B. Hield (lost ball; steal by S. Harrison),,14-18,,
2:46.0,,,14-20,2,S. Harrison makes 2-pt shot at rim (assist by D. House)
2:21.0,N. Hayes makes 2-pt shot from 14 ft,2,16-20,,
2:05.0,,,16-20,,Shooting foul by F. Mason (drawn by A. Peters)
2:05.0,,,16-20,,A. Peters misses free throw 1 of 2
2:05.0,,,16-20,,Offensive rebound by Team
2:05.0,,,16-20,,A. Peters misses free throw 2 of 2
2:02.0,Defensive rebound by B. Caboclo,,16-20,,
1:45.0,B. Hield misses 2-pt shot from 17 ft,,16-20,,
1:42.0,,,16-20,,Defensive rebound by D. House
1:34.0,,,16-20,,T. Ulis misses 2-pt shot from 12 ft
1:31.0,Defensive rebound by W. Cauley-Stein,,16-20,,
1:17.0,B. Hield makes 2-pt shot from 15 ft,2,18-20,,
0:55.0,,,18-20,,D. House misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by Team,,18-20,,
0:47.0,Shooting foul by T. Ulis (drawn by F. Mason),,18-20,,
0:47.0,F. Mason makes free throw 1 of 2,1,19-20,,
0:47.0,J. Jackson enters the game for B. Caboclo,,19-20,,
0:47.0,F. Mason makes free throw 2 of 2,1,20-20,,
0:36.0,,,20-22,2,T. Ulis makes 2-pt shot at rim
0:27.0,W. Cauley-Stein makes 2-pt shot at rim (assist by F. Mason),2,22-22,,
0:04.0,,,22-22,,T. Ulis misses 2-pt shot from 11 ft
0:01.0,Defensive rebound by W. Cauley-Stein,,22-22,,
0:00.0,F. Mason misses 3-pt shot from 38 ft,,22-22,,
0:00.0,Offensive rebound by Team,,22-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by J. Jackson (drawn by J. Jackson),,22-22,,
11:42.0,,,22-24,2,J. Jackson makes 2-pt shot at rim
11:14.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,22-24,,
11:11.0,,,22-24,,Defensive rebound by A. Len
10:59.0,,,22-24,,J. Jackson misses 2-pt shot from 21 ft
10:56.0,Defensive rebound by B. Hield,,22-24,,
10:48.0,B. Hield misses 2-pt shot from 18 ft,,22-24,,
10:45.0,,,22-24,,Defensive rebound by D. House
10:33.0,,,22-26,2,A. Len makes 2-pt shot at rim (assist by J. Jackson)
10:12.0,F. Mason misses 2-pt shot from 1 ft,,22-26,,
10:09.0,,,22-26,,Defensive rebound by A. Len
10:00.0,,,22-28,2,S. Harrison makes 2-pt shot at rim
9:45.0,Sacramento full timeout,,22-28,,
9:45.0,B. Bogdanovic enters the game for B. Hield,,22-28,,
9:37.0,,,22-28,,Shooting block foul by D. House (drawn by J. Jackson)
9:37.0,J. Jackson makes free throw 1 of 2,1,23-28,,
9:37.0,J. Jackson makes free throw 2 of 2,1,24-28,,
9:24.0,,,24-30,2,A. Len makes 2-pt shot at rim (assist by J. Jackson)
9:04.0,N. Hayes misses 3-pt shot from 24 ft,,24-30,,
9:02.0,,,24-30,,Defensive rebound by A. Len
8:43.0,,,24-30,,Offensive foul by D. House (drawn by W. Cauley-Stein)
8:43.0,,,24-30,,Turnover by D. House (offensive foul)
8:43.0,,,24-30,,M. Chriss enters the game for A. Peters
8:43.0,V. Carter enters the game for F. Mason,,24-30,,
8:43.0,D. Fox enters the game for N. Hayes,,24-30,,
8:31.0,B. Bogdanovic misses 2-pt shot from 12 ft,,24-30,,
8:28.0,,,24-30,,Defensive rebound by A. Len
8:08.0,,,24-30,,J. Jackson misses 2-pt shot from 17 ft
8:04.0,Defensive rebound by V. Carter,,24-30,,
7:54.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,24-30,,
7:52.0,,,24-30,,Defensive rebound by M. Chriss
7:43.0,,,24-32,2,A. Len makes 2-pt shot at rim (assist by D. House)
7:29.0,J. Jackson makes 2-pt shot from 14 ft,2,26-32,,
7:07.0,,,26-34,2,S. Harrison makes 2-pt shot at rim
6:53.0,D. Fox misses 2-pt shot from 1 ft,,26-34,,
6:50.0,,,26-34,,Defensive rebound by M. Chriss
6:41.0,,,26-37,3,A. Len makes 3-pt shot from 25 ft (assist by D. House)
6:28.0,Shooting foul by S. Harrison (drawn by D. Fox),,26-37,,
6:28.0,D. Fox makes free throw 1 of 2,1,27-37,,
6:28.0,,,27-37,,A. Williams enters the game for A. Len
6:28.0,,,27-37,,T. Daniels enters the game for D. House
6:28.0,D. Fox makes free throw 2 of 2,1,28-37,,
6:15.0,Personal block foul by V. Carter (drawn by M. Chriss),,28-37,,
6:08.0,Personal foul by W. Cauley-Stein (drawn by J. Jackson),,28-37,,
6:00.0,,,28-37,,Offensive foul by A. Williams (drawn by V. Carter)
6:00.0,,,28-37,,Turnover by A. Williams (offensive foul)
5:44.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by V. Carter),3,31-37,,
5:23.0,,,31-37,,Turnover by J. Jackson (lost ball; steal by J. Jackson)
5:14.0,B. Bogdanovic makes 3-pt shot from 22 ft (assist by J. Jackson),3,34-37,,
5:14.0,Shooting foul by A. Williams (drawn by B. Bogdanovic),,34-37,,
5:14.0,,,34-37,,T. Ulis enters the game for T. Daniels
5:14.0,B. Bogdanovic makes free throw 1 of 1,1,35-37,,
5:08.0,,,35-37,,Phoenix full timeout
5:08.0,,,35-37,,D. Reed enters the game for S. Harrison
5:08.0,N. Hayes enters the game for W. Cauley-Stein,,35-37,,
4:49.0,,,35-37,,T. Ulis misses 3-pt shot from 22 ft
4:46.0,Defensive rebound by J. Jackson,,35-37,,
4:34.0,J. Jackson misses 2-pt shot at rim (block by J. Jackson),,35-37,,
4:31.0,,,35-37,,Defensive rebound by A. Williams
4:28.0,,,35-37,,M. Chriss misses 2-pt shot at rim
4:26.0,Defensive rebound by N. Hayes,,35-37,,
4:16.0,Turnover by J. Jackson (bad pass; steal by D. Reed),,35-37,,
