time,Miami,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:59.0,Jump ball: H. Whiteside vs.,,,,Jump ball: H. Whiteside vs.
11:49.0,,,0-2,2,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons)
11:22.0,G. Dragic misses 2-pt shot from 7 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by J. Embiid
11:12.0,,,0-4,2,B. Simmons makes 2-pt shot from 5 ft
10:58.0,T. Johnson misses 2-pt shot from 15 ft,,0-4,,
10:58.0,,,0-4,,Defensive rebound by D. Saric
10:42.0,,,0-6,2,D. Saric makes 2-pt shot from 10 ft
10:30.0,,,0-6,,Violation by R. Covington (kicked ball)
10:24.0,G. Dragic makes 2-pt shot from 11 ft (assist by J. Richardson),2,2-6,,
10:14.0,,,2-6,,J. Embiid misses 3-pt shot from 26 ft
10:10.0,,,2-6,,Offensive rebound by B. Simmons
10:05.0,Personal foul by H. Whiteside (drawn by B. Simmons),,2-6,,
9:52.0,,,2-6,,J. Embiid misses 2-pt shot from 7 ft
9:51.0,Defensive rebound by H. Whiteside,,2-6,,
9:28.0,G. Dragic makes 2-pt shot at rim (assist by J. Richardson),2,4-6,,
9:18.0,,,4-6,,B. Simmons misses 2-pt shot from 11 ft
9:16.0,Defensive rebound by H. Whiteside,,4-6,,
9:07.0,G. Dragic misses 2-pt shot from 17 ft,,4-6,,
9:05.0,,,4-6,,Defensive rebound by J. Embiid
8:58.0,,,4-6,,B. Simmons misses 2-pt shot from 2 ft
8:56.0,Defensive rebound by H. Whiteside,,4-6,,
8:52.0,T. Johnson misses 3-pt shot from 22 ft,,4-6,,
8:49.0,,,4-6,,Defensive rebound by J. Embiid
8:33.0,,,4-6,,J. Redick misses 2-pt shot from 21 ft
8:30.0,Defensive rebound by J. Johnson,,4-6,,
8:26.0,Shooting foul by D. Saric (drawn by J. Johnson),,4-6,,
8:26.0,J. Johnson makes free throw 1 of 2,1,5-6,,
8:26.0,J. Johnson makes free throw 2 of 2,1,6-6,,
