time,Toronto,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. J. Valanciunas (D. Nowitzki gains possession),,,,Jump ball: M. Kleber vs. J. Valanciunas (D. Nowitzki gains possession)
11:47.0,,,0-0,,D. Smith misses 2-pt shot from 20 ft
11:46.0,Defensive rebound by S. Ibaka,,0-0,,
11:28.0,Turnover by K. Lowry (bad pass; steal by M. Kleber),,0-0,,
11:10.0,,,0-0,,H. Barnes misses 2-pt shot from 2 ft
11:08.0,,,0-0,,Offensive rebound by H. Barnes
11:06.0,,,0-0,,Turnover by H. Barnes (lost ball; steal by K. Lowry)
10:59.0,J. Valanciunas misses 2-pt shot from 10 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by D. Nowitzki
10:51.0,,,0-0,,H. Barnes misses 3-pt shot from 22 ft
10:48.0,Defensive rebound by J. Valanciunas,,0-0,,
10:37.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,2-0,,
10:17.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by W. Matthews)
10:02.0,K. Lowry misses 2-pt shot from 5 ft,,2-2,,
9:58.0,,,2-2,,Defensive rebound by D. Nowitzki
9:50.0,,,2-4,2,D. Nowitzki makes 2-pt shot at rim (assist by M. Kleber)
9:39.0,,,2-4,,Personal foul by W. Matthews (drawn by D. DeRozan)
9:31.0,D. DeRozan misses 2-pt shot from 23 ft,,2-4,,
9:28.0,,,2-4,,Defensive rebound by D. Smith
9:18.0,Personal foul by K. Lowry (drawn by D. Smith),,2-4,,
9:07.0,,,2-4,,M. Kleber misses 2-pt shot from 5 ft
9:05.0,Defensive rebound by S. Ibaka,,2-4,,
8:56.0,J. Valanciunas misses 2-pt shot from 4 ft (block by D. Nowitzki),,2-4,,
8:54.0,,,2-4,,Defensive rebound by M. Kleber
8:47.0,Personal foul by J. Valanciunas (drawn by D. Nowitzki),,2-4,,
8:39.0,,,2-4,,Turnover by D. Smith (bad pass; steal by J. Valanciunas)
8:21.0,J. Valanciunas misses 2-pt shot at rim (block by M. Kleber),,2-4,,
8:21.0,,,2-4,,Defensive rebound by Team
7:57.0,,,2-6,2,H. Barnes makes 2-pt shot from 8 ft
7:41.0,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan),2,4-6,,
7:26.0,,,4-6,,Shooting foul by O. Anunoby (drawn by H. Barnes)
7:26.0,,,4-6,,H. Barnes misses free throw 1 of 2
7:26.0,,,4-6,,Offensive rebound by Team
7:26.0,,,4-6,,S. Mejri enters the game for D. Nowitzki
7:26.0,,,4-7,1,H. Barnes makes free throw 2 of 2
7:11.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan),2,6-7,,
7:01.0,,,6-10,3,M. Kleber makes 3-pt shot from 25 ft (assist by D. Smith)
6:53.0,K. Lowry makes 3-pt shot from 24 ft,3,9-10,,
6:43.0,,,9-12,2,S. Mejri makes 2-pt shot from 1 ft (assist by D. Smith)
6:32.0,Turnover by S. Ibaka (traveling),,9-12,,
6:32.0,,,9-12,,Dallas full timeout
6:19.0,Personal foul by O. Anunoby (drawn by D. Smith),,9-12,,
6:09.0,,,9-14,2,M. Kleber makes 2-pt shot from 7 ft (assist by D. Smith)
5:59.0,Shooting foul by D. Smith (drawn by K. Lowry),,9-14,,
5:59.0,K. Lowry makes free throw 1 of 2,1,10-14,,
5:59.0,C. Miles enters the game for O. Anunoby,,10-14,,
5:59.0,K. Lowry makes free throw 2 of 2,1,11-14,,
5:46.0,,,11-14,,D. Smith misses 2-pt shot from 6 ft
5:44.0,,,11-14,,Offensive rebound by D. Smith
5:37.0,,,11-16,2,H. Barnes makes 2-pt shot from 8 ft
5:22.0,J. Valanciunas misses 2-pt shot from 6 ft,,11-16,,
5:20.0,Offensive rebound by S. Ibaka,,11-16,,
5:20.0,S. Ibaka makes 2-pt shot at rim,2,13-16,,
5:20.0,Shooting foul by S. Mejri (drawn by S. Ibaka),,13-16,,
5:20.0,S. Ibaka makes free throw 1 of 1,1,14-16,,
5:11.0,,,14-16,,S. Mejri misses 2-pt shot from 2 ft (block by S. Ibaka)
5:08.0,Jump ball: S. Mejri vs. J. Valanciunas (D. Smith gains possession),,,,Jump ball: S. Mejri vs. J. Valanciunas (D. Smith gains possession)
5:08.0,,,14-16,,Offensive rebound by Team
5:07.0,,,14-16,,D. Smith misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by S. Ibaka,,14-16,,
4:54.0,J. Valanciunas misses 2-pt shot from 1 ft,,14-16,,
4:54.0,Offensive rebound by J. Valanciunas,,14-16,,
4:54.0,Shooting foul by S. Mejri (drawn by J. Valanciunas),,14-16,,
4:54.0,J. Valanciunas makes free throw 1 of 2,1,15-16,,
4:54.0,J. Valanciunas misses free throw 2 of 2,,15-16,,
4:50.0,,,15-16,,Defensive rebound by D. Smith
4:39.0,,,15-18,2,D. Smith makes 2-pt shot from 1 ft
4:23.0,S. Ibaka misses 2-pt shot from 19 ft,,15-18,,
4:20.0,,,15-18,,Defensive rebound by S. Mejri
4:14.0,,,15-21,3,M. Kleber makes 3-pt shot from 26 ft (assist by W. Matthews)
4:07.0,Toronto full timeout,,15-21,,
4:07.0,,,15-21,,Y. Ferrell enters the game for D. Smith
4:07.0,J. Poeltl enters the game for S. Ibaka,,15-21,,
4:07.0,P. Siakam enters the game for J. Valanciunas,,15-21,,
3:54.0,K. Lowry misses 2-pt shot from 8 ft (block by M. Kleber),,15-21,,
3:52.0,Offensive rebound by P. Siakam,,15-21,,
3:52.0,P. Siakam misses 2-pt shot from 1 ft,,15-21,,
3:51.0,,,15-21,,Defensive rebound by Team
3:34.0,,,15-23,2,H. Barnes makes 2-pt shot from 3 ft
3:24.0,,,15-23,,Personal foul by Y. Ferrell (drawn by K. Lowry)
3:24.0,K. Lowry makes free throw 1 of 2,1,16-23,,
3:24.0,K. Lowry misses free throw 2 of 2,,16-23,,
3:21.0,,,16-23,,Defensive rebound by S. Mejri
3:09.0,,,16-23,,Y. Ferrell misses 2-pt shot from 19 ft
3:06.0,Defensive rebound by C. Miles,,16-23,,
3:03.0,P. Siakam makes 2-pt shot at rim (assist by K. Lowry),2,18-23,,
2:39.0,,,18-25,2,S. Mejri makes 2-pt shot from 2 ft (assist by H. Barnes)
2:31.0,C. Miles makes 3-pt shot from 24 ft (assist by D. DeRozan),3,21-25,,
2:12.0,,,21-27,2,H. Barnes makes 2-pt shot from 19 ft
1:53.0,J. Poeltl makes 2-pt shot at rim (assist by D. DeRozan),2,23-27,,
1:39.0,,,23-29,2,H. Barnes makes 2-pt shot from 20 ft
1:32.0,C. Miles misses 3-pt shot from 26 ft,,23-29,,
1:29.0,,,23-29,,Defensive rebound by M. Kleber
1:23.0,,,23-29,,W. Matthews misses 2-pt shot from 17 ft
1:21.0,Defensive rebound by K. Lowry,,23-29,,
1:11.0,J. Poeltl misses 2-pt shot from 5 ft,,23-29,,
1:09.0,Offensive rebound by P. Siakam,,23-29,,
1:08.0,P. Siakam misses 2-pt shot from 1 ft,,23-29,,
1:08.0,,,23-29,,Defensive rebound by Y. Ferrell
0:58.0,,,23-29,,Y. Ferrell misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by J. Poeltl,,23-29,,
0:44.0,D. DeRozan misses 2-pt shot from 1 ft (block by M. Kleber),,23-29,,
0:44.0,,,23-29,,Defensive rebound by Y. Ferrell
0:27.0,,,23-29,,Turnover by S. Mejri (lost ball; steal by J. Poeltl)
0:08.0,Offensive charge foul by J. Poeltl (drawn by M. Kleber),,23-29,,
0:08.0,Turnover by J. Poeltl (offensive foul),,23-29,,
0:08.0,,,23-29,,D. Nowitzki enters the game for M. Kleber
0:08.0,,,23-29,,D. Smith enters the game for S. Mejri
0:08.0,D. Wright enters the game for C. Miles,,23-29,,
0:08.0,N. Powell enters the game for K. Lowry,,23-29,,
0:08.0,F. VanVleet enters the game for D. DeRozan,,23-29,,
0:02.0,,,23-31,2,D. Smith makes 2-pt shot at rim
0:00.0,D. Wright misses 3-pt shot from 45 ft,,23-31,,
