time,Oklahoma City,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. S. Adams (A. Roberson gains possession),,,,Jump ball: J. Nurkic vs. S. Adams (A. Roberson gains possession)
11:42.0,Turnover by P. George (lost ball; steal by M. Harkless),,0-0,,
11:36.0,,,0-2,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
11:24.0,P. George makes 2-pt shot from 17 ft (assist by R. Westbrook),2,2-2,,
11:04.0,,,2-2,,M. Harkless misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by A. Roberson,,2-2,,
10:47.0,A. Roberson misses 2-pt shot from 2 ft,,2-2,,
10:45.0,,,2-2,,Defensive rebound by J. Nurkic
10:39.0,,,2-2,,Turnover by D. Lillard (bad pass; steal by S. Adams)
10:30.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,4-2,,
10:12.0,,,4-4,2,C. McCollum makes 2-pt shot from 14 ft (assist by D. Lillard)
9:52.0,C. Anthony makes 3-pt shot from 22 ft (assist by P. George),3,7-4,,
9:38.0,,,7-6,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
9:27.0,R. Westbrook misses 2-pt shot from 16 ft,,7-6,,
9:24.0,,,7-6,,Defensive rebound by D. Lillard
9:16.0,,,7-9,3,C. McCollum makes 3-pt shot from 27 ft (assist by J. Nurkic)
8:58.0,,,7-9,,Personal foul by D. Lillard (drawn by C. Anthony)
8:49.0,C. Anthony makes 2-pt shot from 16 ft,2,9-9,,
8:34.0,,,9-11,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
8:17.0,C. Anthony makes 2-pt shot from 20 ft (assist by R. Westbrook),2,11-11,,
7:54.0,,,11-13,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
7:36.0,C. Anthony makes 2-pt shot from 15 ft,2,13-13,,
7:17.0,,,13-15,2,D. Lillard makes 2-pt shot at rim
7:17.0,Oklahoma City full timeout,,13-15,,
7:03.0,C. Anthony misses 2-pt shot from 16 ft,,13-15,,
7:02.0,Offensive rebound by C. Anthony,,13-15,,
6:55.0,C. Anthony misses 2-pt shot from 20 ft,,13-15,,
6:53.0,,,13-15,,Defensive rebound by M. Harkless
6:48.0,,,13-18,3,D. Lillard makes 3-pt shot from 27 ft
6:34.0,P. George misses 2-pt shot from 4 ft,,13-18,,
6:32.0,,,13-18,,Defensive rebound by J. Nurkic
6:14.0,,,13-18,,C. McCollum misses 2-pt shot from 7 ft
6:11.0,Defensive rebound by P. George,,13-18,,
6:00.0,R. Westbrook misses 2-pt shot from 16 ft,,13-18,,
5:58.0,,,13-18,,Defensive rebound by J. Nurkic
5:46.0,Personal foul by A. Roberson (drawn by J. Nurkic),,13-18,,
5:46.0,J. Grant enters the game for C. Anthony,,13-18,,
5:46.0,,,13-18,,E. Turner enters the game for M. Harkless
5:46.0,,,13-18,,P. Connaughton enters the game for C. McCollum
5:33.0,,,13-18,,Turnover by D. Lillard (bad pass; steal by P. George)
5:29.0,Shooting foul by P. Connaughton (drawn by R. Westbrook),,13-18,,
5:29.0,R. Westbrook makes free throw 1 of 2,1,14-18,,
5:29.0,A. Abrines enters the game for A. Roberson,,14-18,,
5:29.0,R. Westbrook makes free throw 2 of 2,1,15-18,,
5:18.0,,,15-18,,J. Nurkic misses 2-pt shot from 21 ft
5:16.0,Defensive rebound by R. Westbrook,,15-18,,
5:13.0,R. Westbrook misses 2-pt shot from 2 ft,,15-18,,
5:11.0,,,15-18,,Defensive rebound by E. Turner
5:07.0,Personal foul by J. Grant (drawn by J. Nurkic),,15-18,,
5:07.0,Technical foul by R. Westbrook,,15-18,,
5:07.0,,,15-19,1,D. Lillard makes technical free throw
4:57.0,,,15-21,2,J. Nurkic makes 2-pt shot from 10 ft (assist by D. Lillard)
4:37.0,Turnover by S. Adams (turnover),,15-21,,
4:20.0,,,15-23,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
4:04.0,Turnover by S. Adams (lost ball; steal by J. Nurkic),,15-23,,
4:00.0,,,15-23,,D. Lillard misses 3-pt shot from 28 ft
3:57.0,Defensive rebound by S. Adams,,15-23,,
3:48.0,J. Grant misses 3-pt shot from 22 ft,,15-23,,
3:48.0,,,15-23,,Defensive rebound by Team
3:48.0,Loose ball foul by S. Adams (drawn by J. Nurkic),,15-23,,
3:48.0,,,15-23,,C. Swanigan enters the game for N. Vonleh
3:48.0,,,15-23,,E. Davis enters the game for J. Nurkic
3:48.0,P. Patterson enters the game for S. Adams,,15-23,,
3:28.0,,,15-23,,E. Turner misses 2-pt shot from 15 ft
3:24.0,Defensive rebound by P. George,,15-23,,
3:21.0,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George),2,17-23,,
3:20.0,,,17-23,,Portland full timeout
3:20.0,R. Felton enters the game for R. Westbrook,,17-23,,
3:07.0,Violation by P. Patterson (kicked ball),,17-23,,
3:07.0,,,17-23,,Offensive foul by C. Swanigan (drawn by J. Grant)
3:07.0,,,17-23,,Turnover by C. Swanigan (offensive foul)
2:56.0,R. Felton misses 2-pt shot from 7 ft,,17-23,,
2:53.0,,,17-23,,Defensive rebound by E. Davis
2:41.0,,,17-23,,Turnover by E. Davis (lost ball; steal by P. Patterson)
2:33.0,P. Patterson misses 3-pt shot from 25 ft,,17-23,,
2:31.0,,,17-23,,Defensive rebound by C. Swanigan
2:15.0,,,17-23,,C. Swanigan misses 2-pt shot from 22 ft
2:15.0,,,17-23,,Offensive rebound by Team
2:15.0,Loose ball foul by A. Abrines (drawn by E. Davis),,17-23,,
2:15.0,,,17-23,,C. McCollum enters the game for D. Lillard
2:07.0,,,17-23,,C. McCollum misses 2-pt shot from 21 ft
2:07.0,Defensive rebound by Team,,17-23,,
1:58.0,P. George makes 3-pt shot from 24 ft (assist by P. Patterson),3,20-23,,
1:40.0,,,20-25,2,E. Turner makes 2-pt shot from 12 ft
1:19.0,J. Grant misses 2-pt shot from 1 ft,,20-25,,
1:17.0,,,20-25,,Defensive rebound by C. Swanigan
0:59.0,,,20-28,3,C. McCollum makes 3-pt shot from 27 ft (assist by C. Swanigan)
0:51.0,,,20-28,,Personal foul by C. Swanigan (drawn by P. Patterson)
0:51.0,C. Anthony enters the game for P. George,,20-28,,
0:36.0,C. Anthony misses 2-pt shot from 20 ft,,20-28,,
0:33.0,Offensive rebound by J. Grant,,20-28,,
0:20.0,J. Grant misses 2-pt shot from 1 ft (block by E. Davis),,20-28,,
0:19.0,Offensive rebound by C. Anthony,,20-28,,
