time,Chicago,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Johnson vs. R. Lopez (L. Markkanen gains possession),,,,Jump ball: D. Johnson vs. R. Lopez (L. Markkanen gains possession)
11:42.0,Q. Pondexter misses 3-pt shot from 22 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by R. Westbrook
11:26.0,,,0-0,,P. George misses 2-pt shot from 13 ft
11:24.0,Defensive rebound by K. Dunn,,0-0,,
11:07.0,K. Dunn misses 2-pt shot from 18 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by C. Anthony
10:49.0,,,0-2,2,D. Johnson makes 2-pt shot at rim (assist by R. Westbrook)
10:32.0,R. Lopez misses 2-pt shot from 6 ft,,0-2,,
10:30.0,,,0-2,,Defensive rebound by R. Westbrook
10:23.0,,,0-2,,Turnover by R. Westbrook (out of bounds lost ball)
10:11.0,Turnover by J. Grant (bad pass; steal by R. Westbrook),,0-2,,
10:08.0,,,0-4,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:50.0,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Grant),3,3-4,,
9:32.0,,,3-4,,C. Anthony misses 2-pt shot from 16 ft
9:30.0,Defensive rebound by K. Dunn,,3-4,,
9:20.0,Turnover by K. Dunn (bad pass; steal by A. Roberson),,3-4,,
9:04.0,,,3-4,,R. Westbrook misses 2-pt shot from 16 ft
9:01.0,Defensive rebound by J. Grant,,3-4,,
8:42.0,R. Lopez misses 2-pt shot from 8 ft,,3-4,,
8:41.0,,,3-4,,Defensive rebound by C. Anthony
8:34.0,,,3-4,,Shooting foul by R. Lopez (drawn by C. Anthony)
8:34.0,,,3-5,1,C. Anthony makes free throw 1 of 2
8:34.0,,,3-6,1,C. Anthony makes free throw 2 of 2
8:27.0,,,3-6,,Personal foul by C. Anthony (drawn by L. Markkanen)
8:11.0,J. Grant misses 2-pt shot from 5 ft,,3-6,,
8:10.0,Offensive rebound by Team,,3-6,,
8:10.0,Turnover by Team (shot clock),,3-6,,
7:53.0,,,3-8,2,C. Anthony makes 2-pt shot from 15 ft
7:34.0,L. Markkanen misses 3-pt shot from 24 ft,,3-8,,
7:32.0,,,3-8,,Defensive rebound by A. Roberson
7:26.0,,,3-11,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
7:23.0,Chicago full timeout,,3-11,,
6:59.0,Turnover by Team (shot clock),,3-11,,
6:49.0,D. Valentine enters the game for J. Grant,,3-11,,
6:41.0,,,3-11,,D. Johnson misses 2-pt shot from 5 ft
6:39.0,Defensive rebound by D. Valentine,,3-11,,
6:35.0,K. Dunn misses 2-pt shot from 14 ft,,3-11,,
6:32.0,,,3-11,,Defensive rebound by P. George
6:27.0,,,3-11,,Shooting foul by R. Lopez (drawn by D. Johnson)
6:27.0,,,3-12,1,D. Johnson makes free throw 1 of 2
6:27.0,B. Portis enters the game for R. Lopez,,3-12,,
6:27.0,,,3-12,,D. Johnson misses free throw 2 of 2
6:24.0,Defensive rebound by L. Markkanen,,3-12,,
6:12.0,D. Valentine makes 2-pt shot from 1 ft,2,5-12,,
6:00.0,,,5-12,,Turnover by P. George (lost ball; steal by L. Markkanen)
5:56.0,Shooting foul by A. Roberson (drawn by Q. Pondexter),,5-12,,
5:56.0,Q. Pondexter makes free throw 1 of 2,1,6-12,,
5:56.0,,,6-12,,J. Grant enters the game for D. Johnson
5:56.0,Q. Pondexter misses free throw 2 of 2,,6-12,,
5:54.0,,,6-12,,Defensive rebound by C. Anthony
5:36.0,,,6-12,,C. Anthony misses 2-pt shot from 14 ft
5:34.0,Defensive rebound by Team,,6-12,,
5:13.0,L. Markkanen misses 2-pt shot from 1 ft,,6-12,,
5:11.0,,,6-12,,Defensive rebound by J. Grant
4:57.0,,,6-12,,R. Westbrook misses 2-pt shot at rim
4:55.0,Defensive rebound by B. Portis,,6-12,,
4:48.0,K. Dunn misses 2-pt shot from 13 ft,,6-12,,
4:46.0,,,6-12,,Defensive rebound by C. Anthony
4:28.0,,,6-14,2,C. Anthony makes 2-pt shot from 13 ft (assist by R. Westbrook)
4:05.0,B. Portis misses 2-pt shot from 10 ft (block by P. George),,6-14,,
4:03.0,,,6-14,,Defensive rebound by C. Anthony
3:49.0,,,6-16,2,P. George makes 2-pt shot at rim
3:33.0,Offensive charge foul by K. Dunn (drawn by J. Grant),,6-16,,
3:33.0,Turnover by K. Dunn (offensive foul),,6-16,,
3:33.0,,,6-16,,Oklahoma City full timeout
3:33.0,,,6-16,,A. Abrines enters the game for A. Roberson
3:33.0,A. Blakeney enters the game for Q. Pondexter,,6-16,,
3:33.0,P. Zipser enters the game for L. Markkanen,,6-16,,
3:19.0,Personal foul by D. Valentine (drawn by J. Grant),,6-16,,
3:19.0,,,6-16,,J. Huestis enters the game for C. Anthony
3:19.0,,,6-16,,P. Patterson enters the game for P. George
3:08.0,,,6-16,,R. Westbrook misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by K. Dunn,,6-16,,
2:50.0,K. Dunn misses 2-pt shot from 9 ft,,6-16,,
2:47.0,,,6-16,,Defensive rebound by A. Abrines
2:42.0,,,6-16,,R. Westbrook misses 2-pt shot from 3 ft
2:40.0,Defensive rebound by K. Dunn,,6-16,,
2:31.0,Turnover by A. Blakeney (bad pass; steal by J. Huestis),,6-16,,
2:14.0,,,6-16,,J. Huestis misses 2-pt shot at rim (block by B. Portis)
2:13.0,,,6-16,,Offensive rebound by J. Grant
2:13.0,,,6-16,,Shooting foul by D. Valentine (drawn by J. Grant)
2:13.0,,,6-17,1,J. Grant makes free throw 1 of 2
2:13.0,,,6-17,,R. Felton enters the game for R. Westbrook
2:13.0,J. Grant enters the game for K. Dunn,,6-17,,
2:13.0,,,6-18,1,J. Grant makes free throw 2 of 2
1:54.0,P. Zipser misses 2-pt shot from 2 ft,,6-18,,
1:52.0,,,6-18,,Defensive rebound by J. Grant
1:44.0,,,6-20,2,J. Huestis makes 2-pt shot at rim (assist by P. Patterson)
1:35.0,Turnover by J. Grant (bad pass),,6-20,,
1:21.0,,,6-22,2,R. Felton makes 2-pt shot at rim
1:06.0,Shooting foul by J. Huestis (drawn by A. Blakeney),,6-22,,
1:06.0,A. Blakeney misses free throw 1 of 2,,6-22,,
1:06.0,Offensive rebound by Team,,6-22,,
1:06.0,A. Blakeney makes free throw 2 of 2,1,7-22,,
0:46.0,,,7-25,3,P. Patterson makes 3-pt shot from 22 ft (assist by J. Grant)
0:30.0,B. Portis misses 2-pt shot from 6 ft (block by J. Grant),,7-25,,
0:30.0,Offensive rebound by Team,,7-25,,
0:22.0,B. Portis misses 2-pt shot from 14 ft,,7-25,,
0:22.0,Offensive rebound by Team,,7-25,,
0:22.0,Turnover by Team (shot clock),,7-25,,
0:02.0,,,7-25,,R. Felton misses 2-pt shot at rim
0:01.0,,,7-25,,Offensive rebound by R. Felton
0:01.0,,,7-25,,R. Felton misses 2-pt shot at rim
0:01.0,,,7-25,,Offensive rebound by J. Grant
0:01.0,,,7-27,2,J. Grant makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,7-27,,J. Grant misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by C. Felicio,,7-27,,
11:32.0,D. Valentine makes 2-pt shot from 5 ft,2,9-27,,
11:08.0,,,9-27,,P. George misses 2-pt shot from 13 ft
11:05.0,Defensive rebound by A. Blakeney,,9-27,,
10:59.0,Turnover by A. Blakeney (out of bounds lost ball),,9-27,,
10:48.0,,,9-29,2,P. George makes 2-pt shot from 16 ft (assist by R. Felton)
10:35.0,,,9-29,,Personal foul by P. Patterson (drawn by J. Grant)
10:29.0,D. Valentine makes 3-pt shot from 24 ft (assist by B. Portis),3,12-29,,
10:13.0,,,12-29,,A. Abrines misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by B. Portis,,12-29,,
9:50.0,B. Portis misses 3-pt shot from 26 ft,,12-29,,
9:48.0,,,12-29,,Defensive rebound by A. Abrines
9:42.0,,,12-29,,Turnover by R. Felton (bad pass)
9:32.0,Turnover by B. Portis (traveling),,12-29,,
9:21.0,,,12-29,,Shooting foul by B. Portis (drawn by P. George)
9:21.0,,,12-30,1,P. George makes free throw 1 of 2
9:21.0,,,12-30,,R. Westbrook enters the game for R. Felton
9:21.0,,,12-31,1,P. George makes free throw 2 of 2
9:11.0,B. Portis misses 2-pt shot from 18 ft,,12-31,,
9:08.0,,,12-31,,Defensive rebound by P. George
9:05.0,Personal block foul by C. Felicio (drawn by P. George),,12-31,,
8:55.0,,,12-31,,Shooting foul by A. Blakeney (drawn by P. George)
8:55.0,,,12-31,,P. George misses free throw 1 of 2
8:55.0,,,12-31,,Offensive rebound by Team
8:55.0,,,12-32,1,P. George makes free throw 2 of 2
8:41.0,C. Felicio makes 2-pt shot from 6 ft,2,14-32,,
8:23.0,,,14-32,,P. George misses 3-pt shot from 24 ft
8:23.0,,,14-32,,Offensive rebound by Team
8:23.0,Loose ball foul by A. Blakeney (drawn by A. Abrines),,14-32,,
8:23.0,L. Markkanen enters the game for B. Portis,,14-32,,
8:12.0,K. Dunn enters the game for A. Blakeney,,14-32,,
8:12.0,,,14-32,,Oklahoma City full timeout
8:06.0,,,14-32,,Turnover by P. George (bad pass; steal by C. Felicio)
8:02.0,D. Valentine makes 3-pt shot from 24 ft,3,17-32,,
7:52.0,,,17-34,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
7:35.0,Turnover by C. Felicio (bad pass; steal by R. Westbrook),,17-34,,
7:29.0,,,17-34,,A. Abrines misses 3-pt shot from 24 ft
7:25.0,,,17-34,,Offensive rebound by J. Grant
7:16.0,,,17-34,,Shooting foul by J. Grant (drawn by J. Grant)
7:16.0,,,17-35,1,J. Grant makes free throw 1 of 2
7:16.0,Q. Pondexter enters the game for C. Felicio,,17-35,,
7:16.0,R. Lopez enters the game for D. Valentine,,17-35,,
7:16.0,,,17-36,1,J. Grant makes free throw 2 of 2
7:07.0,L. Markkanen makes 2-pt shot from 4 ft,2,19-36,,
6:43.0,,,19-39,3,R. Westbrook makes 3-pt shot from 24 ft (assist by P. Patterson)
6:41.0,Chicago full timeout,,19-39,,
6:41.0,,,19-39,,C. Anthony enters the game for J. Grant
6:20.0,K. Dunn misses 2-pt shot from 6 ft,,19-39,,
6:14.0,Offensive rebound by R. Lopez,,19-39,,
6:14.0,R. Lopez makes 2-pt shot at rim,2,21-39,,
5:58.0,,,21-41,2,R. Westbrook makes 2-pt shot at rim
5:50.0,J. Grant makes 2-pt shot from 14 ft (assist by K. Dunn),2,23-41,,
5:29.0,,,23-41,,Shooting foul by K. Dunn (drawn by R. Westbrook)
5:29.0,,,23-42,1,R. Westbrook makes free throw 1 of 2
5:29.0,D. Valentine enters the game for J. Grant,,23-42,,
5:29.0,B. Portis enters the game for R. Lopez,,23-42,,
5:29.0,,,23-43,1,R. Westbrook makes free throw 2 of 2
5:20.0,D. Valentine misses 3-pt shot from 25 ft,,23-43,,
5:15.0,Offensive rebound by B. Portis,,23-43,,
5:15.0,Turnover by B. Portis (bad pass; steal by R. Westbrook),,23-43,,
5:15.0,,,23-43,,J. Grant enters the game for P. Patterson
5:08.0,,,23-45,2,R. Westbrook makes 2-pt shot at rim
4:44.0,L. Markkanen misses 3-pt shot from 23 ft,,23-45,,
4:44.0,Offensive rebound by B. Portis,,23-45,,
4:44.0,Turnover by Team (shot clock),,23-45,,
4:23.0,,,23-45,,C. Anthony misses 2-pt shot from 13 ft (block by L. Markkanen)
4:19.0,Defensive rebound by B. Portis,,23-45,,
4:11.0,L. Markkanen misses 2-pt shot from 13 ft,,23-45,,
4:09.0,,,23-45,,Defensive rebound by J. Grant
3:56.0,,,23-45,,Shooting foul by L. Markkanen (drawn by C. Anthony)
3:56.0,,,23-46,1,C. Anthony makes free throw 1 of 2
3:56.0,R. Lopez enters the game for B. Portis,,23-46,,
3:56.0,,,23-46,,C. Anthony misses free throw 2 of 2
3:54.0,Defensive rebound by L. Markkanen,,23-46,,
3:45.0,,,23-46,,Personal foul by R. Westbrook (drawn by L. Markkanen)
3:43.0,Turnover by Q. Pondexter (bad pass; steal by R. Westbrook),,23-46,,
3:42.0,,,23-48,2,R. Westbrook makes 2-pt shot at rim
3:42.0,,,23-48,,Shooting foul by K. Dunn (drawn by R. Westbrook)
3:42.0,J. Grant enters the game for K. Dunn,,23-48,,
3:42.0,,,23-49,1,R. Westbrook makes free throw 1 of 1
3:39.0,Chicago full timeout,,23-49,,
3:39.0,A. Blakeney enters the game for Q. Pondexter,,23-49,,
3:23.0,A. Blakeney makes 3-pt shot from 27 ft,3,26-49,,
3:00.0,,,26-49,,J. Grant misses 2-pt shot at rim
2:52.0,Defensive rebound by R. Lopez,,26-49,,
2:38.0,A. Blakeney misses 3-pt shot from 25 ft,,26-49,,
2:29.0,,,26-49,,Defensive rebound by P. George
2:27.0,,,26-49,,C. Anthony misses 2-pt shot from 18 ft
2:16.0,Defensive rebound by A. Blakeney,,26-49,,
2:12.0,A. Blakeney misses 2-pt shot from 1 ft,,26-49,,
2:08.0,,,26-49,,Defensive rebound by R. Westbrook
2:08.0,,,26-49,,Shooting foul by L. Markkanen (drawn by R. Westbrook)
2:08.0,,,26-50,1,R. Westbrook makes free throw 1 of 2
2:08.0,,,26-50,,A. Roberson enters the game for A. Abrines
2:08.0,,,26-51,1,R. Westbrook makes free throw 2 of 2
1:49.0,R. Lopez makes 2-pt shot at rim (assist by J. Grant),2,28-51,,
1:33.0,,,28-51,,J. Grant misses 3-pt shot from 23 ft
1:29.0,,,28-51,,Offensive rebound by A. Roberson
1:28.0,,,28-53,2,J. Grant makes 2-pt shot at rim (assist by A. Roberson)
1:05.0,R. Lopez misses 2-pt shot from 19 ft,,28-53,,
1:02.0,,,28-53,,Defensive rebound by C. Anthony
0:59.0,,,28-53,,P. George misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by Team,,28-53,,
0:52.0,,,28-53,,Personal foul by P. George (drawn by J. Grant)
0:46.0,Shooting foul by J. Grant (drawn by R. Lopez),,28-53,,
0:46.0,R. Lopez makes free throw 1 of 2,1,29-53,,
0:46.0,B. Portis enters the game for L. Markkanen,,29-53,,
0:46.0,R. Lopez makes free throw 2 of 2,1,30-53,,
0:39.0,,,30-53,,Turnover by R. Westbrook (lost ball; steal by J. Grant)
0:35.0,Shooting foul by P. George (drawn by J. Grant),,30-53,,
