time,Sacramento,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. S. Labissiere (C. Anthony gains possession),,,,Jump ball: S. Adams vs. S. Labissiere (C. Anthony gains possession)
11:44.0,Personal foul by D. Fox (drawn by R. Westbrook),,0-0,,
11:33.0,,,0-0,,Turnover by R. Westbrook (bad pass; steal by W. Cauley-Stein)
11:25.0,S. Labissiere misses 2-pt shot from 19 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by R. Westbrook
11:18.0,,,0-0,,Turnover by P. George (bad pass; steal by G. Temple)
11:15.0,G. Temple makes 2-pt shot from 2 ft (assist by D. Fox),2,2-0,,
10:59.0,,,2-2,2,P. George makes 2-pt shot from 1 ft
10:59.0,,,2-2,,Shooting foul by G. Temple (drawn by P. George)
10:59.0,,,2-3,1,P. George makes free throw 1 of 1
10:46.0,W. Cauley-Stein makes 2-pt shot at rim (assist by G. Temple),2,4-3,,
10:21.0,,,4-5,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
10:12.0,,,4-5,,Personal foul by R. Westbrook (drawn by D. Fox)
10:05.0,D. Fox makes 3-pt shot from 22 ft (assist by W. Cauley-Stein),3,7-5,,
9:57.0,,,7-5,,Shooting foul by S. Labissiere (drawn by R. Westbrook)
9:57.0,,,7-5,,R. Westbrook misses free throw 1 of 2
9:57.0,,,7-5,,Offensive rebound by Team
9:57.0,,,7-5,,R. Westbrook misses free throw 2 of 2
9:54.0,Defensive rebound by G. Temple,,7-5,,
9:46.0,B. Bogdanovic misses 2-pt shot from 6 ft,,7-5,,
9:42.0,Offensive rebound by B. Bogdanovic,,7-5,,
9:31.0,D. Fox makes 2-pt shot at rim (assist by S. Labissiere),2,9-5,,
9:16.0,,,9-5,,P. George misses 2-pt shot from 15 ft
9:14.0,,,9-5,,Offensive rebound by S. Adams
9:14.0,,,9-5,,Turnover by S. Adams (step out of bounds)
8:59.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,9-5,,
8:57.0,,,9-5,,Defensive rebound by R. Westbrook
8:54.0,,,9-7,2,R. Westbrook makes 2-pt shot from 12 ft
8:40.0,Shooting foul by C. Anthony (drawn by S. Labissiere),,9-7,,
8:40.0,S. Labissiere misses free throw 1 of 2,,9-7,,
8:40.0,Offensive rebound by Team,,9-7,,
8:40.0,S. Labissiere makes free throw 2 of 2,1,10-7,,
8:26.0,,,10-7,,C. Anthony misses 3-pt shot from 25 ft
8:25.0,,,10-7,,Offensive rebound by Team
8:25.0,Loose ball foul by W. Cauley-Stein (drawn by S. Adams),,10-7,,
8:20.0,,,10-9,2,R. Westbrook makes 2-pt shot from 1 ft
8:10.0,G. Temple makes 2-pt shot from 14 ft,2,12-9,,
7:44.0,,,12-9,,C. Anthony misses 2-pt shot from 14 ft
7:41.0,,,12-9,,Offensive rebound by Team
7:41.0,,,12-9,,Oklahoma City full timeout
7:41.0,K. Koufos enters the game for W. Cauley-Stein,,12-9,,
7:40.0,,,12-9,,S. Adams misses 2-pt shot at rim
7:39.0,,,12-9,,Offensive rebound by S. Adams
7:39.0,,,12-9,,S. Adams misses 2-pt shot at rim
7:38.0,,,12-9,,Offensive rebound by R. Westbrook
7:35.0,,,12-11,2,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams)
7:08.0,S. Labissiere misses 3-pt shot from 25 ft,,12-11,,
7:07.0,,,12-11,,Defensive rebound by R. Westbrook
6:59.0,,,12-11,,Turnover by R. Westbrook (bad pass)
6:47.0,B. Bogdanovic misses 3-pt shot from 24 ft,,12-11,,
6:47.0,,,12-11,,Defensive rebound by R. Westbrook
6:36.0,,,12-13,2,R. Westbrook makes 2-pt shot from 16 ft
6:20.0,K. Koufos misses 2-pt shot from 1 ft (block by T. Ferguson),,12-13,,
6:19.0,Offensive rebound by Team,,12-13,,
6:12.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Fox),2,14-13,,
5:54.0,,,14-13,,P. George misses 2-pt shot at rim
5:51.0,,,14-13,,Offensive rebound by S. Adams
5:51.0,,,14-15,2,S. Adams makes 2-pt shot at rim
5:47.0,S. Labissiere misses 2-pt shot from 5 ft,,14-15,,
5:45.0,,,14-15,,Defensive rebound by C. Anthony
5:35.0,,,14-15,,C. Anthony misses 2-pt shot from 17 ft
5:31.0,Defensive rebound by S. Labissiere,,14-15,,
5:13.0,S. Labissiere makes 2-pt shot from 1 ft (assist by G. Temple),2,16-15,,
4:51.0,,,16-15,,P. George misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by S. Labissiere,,16-15,,
4:47.0,Turnover by S. Labissiere (bad pass; steal by P. George),,16-15,,
4:47.0,,,16-15,,P. George misses 2-pt shot from 2 ft
4:46.0,,,16-15,,Offensive rebound by C. Anthony
4:46.0,,,16-17,2,C. Anthony makes 2-pt shot at rim
4:23.0,K. Koufos makes 2-pt shot from 2 ft,2,18-17,,
4:11.0,,,18-17,,Shooting foul by S. Labissiere (drawn by S. Adams)
4:11.0,,,18-17,,S. Adams misses free throw 1 of 2
4:11.0,,,18-17,,Offensive rebound by Team
4:11.0,G. Hill enters the game for D. Fox,,18-17,,
4:11.0,B. Hield enters the game for G. Temple,,18-17,,
4:11.0,,,18-17,,S. Adams misses free throw 2 of 2
4:09.0,Defensive rebound by G. Hill,,18-17,,
4:08.0,Sacramento full timeout,,18-17,,
3:52.0,S. Labissiere misses 2-pt shot from 11 ft,,18-17,,
3:50.0,,,18-17,,Defensive rebound by R. Westbrook
3:43.0,,,18-17,,Turnover by R. Westbrook (lost ball; steal by G. Hill)
3:36.0,B. Hield misses 3-pt shot from 25 ft,,18-17,,
3:31.0,Offensive rebound by S. Labissiere,,18-17,,
3:17.0,S. Labissiere makes 2-pt shot at rim (assist by B. Bogdanovic),2,20-17,,
2:56.0,,,20-17,,Turnover by R. Westbrook (bad pass)
2:56.0,,,20-17,,J. Huestis enters the game for C. Anthony
2:56.0,,,20-17,,J. Grant enters the game for P. George
2:56.0,W. Cauley-Stein enters the game for S. Labissiere,,20-17,,
2:37.0,Turnover by W. Cauley-Stein (bad pass),,20-17,,
2:25.0,,,20-17,,R. Westbrook misses 2-pt shot from 19 ft
2:23.0,Defensive rebound by G. Hill,,20-17,,
2:17.0,G. Hill makes 2-pt shot from 6 ft,2,22-17,,
2:07.0,,,22-17,,Turnover by R. Westbrook (bad pass; steal by W. Cauley-Stein)
1:56.0,Turnover by W. Cauley-Stein (bad pass; steal by R. Westbrook),,22-17,,
1:52.0,,,22-17,,Shooting foul by G. Hill (drawn by S. Adams)
1:52.0,,,22-17,,S. Adams misses free throw 1 of 2
1:52.0,,,22-17,,Offensive rebound by Team
1:52.0,,,22-17,,R. Felton enters the game for R. Westbrook
1:52.0,J. Jackson enters the game for B. Bogdanovic,,22-17,,
1:52.0,,,22-17,,A. Abrines enters the game for T. Ferguson
1:52.0,,,22-18,1,S. Adams makes free throw 2 of 2
1:35.0,Turnover by W. Cauley-Stein (bad pass; steal by A. Abrines),,22-18,,
1:19.0,,,22-20,2,J. Grant makes 2-pt shot from 21 ft (assist by S. Adams)
1:19.0,,,22-20,,Loose ball foul by S. Adams (drawn by W. Cauley-Stein)
1:19.0,,,22-20,,P. Patterson enters the game for S. Adams
1:04.0,B. Hield makes 2-pt shot from 18 ft (assist by J. Jackson),2,24-20,,
0:47.0,,,24-20,,Turnover by R. Felton (lost ball; steal by J. Jackson)
0:37.0,K. Koufos misses 2-pt shot from 3 ft,,24-20,,
0:35.0,,,24-20,,Defensive rebound by J. Grant
0:29.0,,,24-20,,R. Felton misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by B. Hield,,24-20,,
