time,Washington,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. M. Gortat (T. Satoransky gains possession),,,,Jump ball: B. Biyombo vs. M. Gortat (T. Satoransky gains possession)
11:46.0,M. Morris makes 2-pt shot from 10 ft (assist by T. Satoransky),2,2-0,,
11:26.0,,,2-2,2,E. Fournier makes 2-pt shot from 20 ft (assist by B. Biyombo)
11:05.0,O. Porter makes 2-pt shot from 18 ft,2,4-2,,
10:47.0,,,4-4,2,E. Fournier makes 2-pt shot at rim (assist by E. Payton)
10:40.0,O. Porter misses 3-pt shot from 25 ft,,4-4,,
10:35.0,,,4-4,,Defensive rebound by B. Biyombo
10:30.0,,,4-4,,E. Payton misses 2-pt shot from 1 ft
10:26.0,Defensive rebound by B. Beal,,4-4,,
10:24.0,O. Porter makes 2-pt shot from 1 ft (assist by T. Satoransky),2,6-4,,
10:09.0,,,6-4,,M. Speights misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by M. Gortat,,6-4,,
9:59.0,T. Satoransky makes 2-pt shot from 1 ft (assist by M. Morris),2,8-4,,
9:51.0,,,8-4,,E. Fournier misses 2-pt shot at rim (block by M. Gortat)
9:51.0,Defensive rebound by T. Satoransky,,8-4,,
9:41.0,O. Porter makes 3-pt shot from 25 ft (assist by M. Morris),3,11-4,,
9:41.0,,,11-4,,Orlando full timeout
9:18.0,,,11-6,2,J. Simmons makes 2-pt shot from 8 ft
9:14.0,Turnover by B. Beal (lost ball; steal by E. Payton),,11-6,,
9:08.0,,,11-6,,Turnover by J. Simmons (bad pass; steal by O. Porter)
9:00.0,O. Porter misses 3-pt shot from 25 ft,,11-6,,
8:56.0,,,11-6,,Defensive rebound by E. Payton
8:45.0,,,11-6,,Turnover by E. Payton (lost ball; steal by M. Morris)
8:42.0,Offensive charge foul by O. Porter (drawn by M. Speights),,11-6,,
8:42.0,Turnover by O. Porter (offensive foul),,11-6,,
8:33.0,,,11-6,,E. Fournier misses 2-pt shot from 1 ft
8:30.0,Defensive rebound by M. Morris,,11-6,,
8:08.0,T. Satoransky misses 2-pt shot from 9 ft,,11-6,,
8:01.0,Offensive rebound by M. Gortat,,11-6,,
7:59.0,B. Beal misses 2-pt shot from 15 ft,,11-6,,
7:59.0,,,11-6,,Defensive rebound by E. Payton
7:50.0,,,11-8,2,E. Payton makes 2-pt shot from 1 ft
7:26.0,M. Morris misses 3-pt shot from 25 ft,,11-8,,
7:22.0,Offensive rebound by O. Porter,,11-8,,
7:14.0,T. Satoransky makes 2-pt shot from 2 ft (assist by B. Beal),2,13-8,,
6:57.0,,,13-8,,E. Fournier misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by M. Gortat,,13-8,,
6:42.0,Shooting foul by E. Fournier (drawn by O. Porter),,13-8,,
6:42.0,O. Porter makes free throw 1 of 2,1,14-8,,
6:42.0,,,14-8,,M. Hezonja enters the game for M. Speights
6:42.0,O. Porter misses free throw 2 of 2,,14-8,,
6:39.0,,,14-8,,Defensive rebound by M. Hezonja
