time,Atlanta,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. D. Dedmon (A. Horford gains possession),,,,Jump ball: A. Baynes vs. D. Dedmon (A. Horford gains possession)
11:37.0,,,0-0,,T. Rozier misses 2-pt shot from 15 ft
11:34.0,Defensive rebound by D. Lee,,0-0,,
11:27.0,D. Lee misses 2-pt shot from 4 ft (block by T. Rozier),,0-0,,
11:26.0,Offensive rebound by D. Lee,,0-0,,
11:26.0,D. Lee misses 2-pt shot from 4 ft (block by A. Baynes),,0-0,,
11:26.0,Offensive rebound by D. Dedmon,,0-0,,
11:26.0,D. Dedmon misses 2-pt shot from 7 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by A. Baynes
11:13.0,Personal foul by D. Lee (drawn by J. Tatum),,0-0,,
11:01.0,,,0-0,,A. Baynes misses 2-pt shot from 10 ft
10:59.0,Defensive rebound by D. Dedmon,,0-0,,
10:44.0,Turnover by T. Waller-Prince (bad pass; steal by J. Tatum),,0-0,,
10:33.0,,,0-0,,A. Horford misses 2-pt shot from 7 ft
10:28.0,,,0-0,,Offensive rebound by J. Tatum
10:28.0,,,0-2,2,J. Tatum makes 2-pt shot at rim
10:17.0,D. Dedmon misses 2-pt shot from 7 ft (block by A. Horford),,0-2,,
10:17.0,Offensive rebound by Team,,0-2,,
10:10.0,D. Bembry makes 3-pt shot from 24 ft (assist by D. Lee),3,3-2,,
9:53.0,,,3-4,2,J. Tatum makes 2-pt shot from 19 ft (assist by T. Rozier)
9:35.0,D. Dedmon misses 2-pt shot from 5 ft,,3-4,,
9:34.0,,,3-4,,Defensive rebound by A. Horford
9:28.0,,,3-6,2,J. Brown makes 2-pt shot from 20 ft (assist by A. Horford)
9:06.0,J. Collins misses 3-pt shot from 22 ft,,3-6,,
9:04.0,,,3-6,,Defensive rebound by J. Brown
8:58.0,,,3-6,,J. Brown misses 3-pt shot from 27 ft
8:56.0,Defensive rebound by D. Lee,,3-6,,
8:47.0,D. Dedmon misses 3-pt shot from 26 ft,,3-6,,
8:44.0,,,3-6,,Defensive rebound by T. Rozier
8:26.0,,,3-6,,A. Baynes misses 3-pt shot from 22 ft
8:24.0,Defensive rebound by J. Collins,,3-6,,
8:09.0,D. Lee misses 2-pt shot from 14 ft,,3-6,,
8:05.0,,,3-6,,Defensive rebound by A. Horford
7:59.0,,,3-6,,A. Baynes misses 2-pt shot from 1 ft (block by D. Bembry)
7:55.0,Defensive rebound by T. Waller-Prince,,3-6,,
7:49.0,,,3-6,,Personal foul by T. Rozier (drawn by J. Collins)
7:42.0,T. Waller-Prince makes 2-pt shot from 7 ft,2,5-6,,
7:21.0,,,5-6,,A. Horford misses 2-pt shot from 10 ft
7:18.0,,,5-6,,Offensive rebound by A. Baynes
7:17.0,,,5-8,2,J. Tatum makes 2-pt shot from 2 ft (assist by A. Baynes)
7:17.0,,,5-8,,Shooting foul by D. Dedmon (drawn by J. Tatum)
7:17.0,I. Taylor enters the game for D. Bembry,,5-8,,
7:17.0,,,5-9,1,J. Tatum makes free throw 1 of 1
7:07.0,Turnover by T. Waller-Prince (bad pass; steal by J. Tatum),,5-9,,
7:03.0,,,5-11,2,T. Rozier makes 2-pt shot at rim (assist by J. Tatum)
7:03.0,Atlanta full timeout,,5-11,,
6:50.0,D. Lee misses 3-pt shot from 24 ft,,5-11,,
6:48.0,,,5-11,,Defensive rebound by J. Tatum
6:38.0,,,5-11,,A. Horford misses 2-pt shot from 19 ft
6:38.0,Defensive rebound by Team,,5-11,,
6:22.0,Turnover by T. Waller-Prince (lost ball; steal by A. Horford),,5-11,,
6:15.0,,,5-13,2,J. Brown makes 2-pt shot from 1 ft (assist by J. Tatum)
6:15.0,,,5-13,,Shooting foul by D. Dedmon (drawn by J. Brown)
6:15.0,M. Muscala enters the game for D. Dedmon,,5-13,,
6:15.0,,,5-14,1,J. Brown makes free throw 1 of 1
5:57.0,Shooting foul by A. Baynes (drawn by I. Taylor),,5-14,,
5:57.0,I. Taylor misses free throw 1 of 2,,5-14,,
5:57.0,Offensive rebound by Team,,5-14,,
5:57.0,I. Taylor makes free throw 2 of 2,1,6-14,,
5:44.0,,,6-14,,T. Rozier misses 2-pt shot from 17 ft
5:40.0,Defensive rebound by J. Collins,,6-14,,
5:29.0,D. Lee makes 2-pt shot from 1 ft (assist by I. Taylor),2,8-14,,
5:09.0,,,8-17,3,A. Horford makes 3-pt shot from 27 ft (assist by T. Rozier)
5:01.0,,,8-17,,Personal foul by A. Baynes (drawn by J. Collins)
5:01.0,,,8-17,,G. Monroe enters the game for J. Tatum
5:01.0,,,8-17,,S. Ojeleye enters the game for A. Baynes
5:01.0,M. Plumlee enters the game for D. Lee,,8-17,,
5:01.0,T. Dorsey enters the game for J. Collins,,8-17,,
4:45.0,T. Waller-Prince misses 2-pt shot from 9 ft,,8-17,,
4:41.0,,,8-17,,Defensive rebound by T. Rozier
4:38.0,Personal foul by T. Waller-Prince (drawn by A. Horford),,8-17,,
4:28.0,,,8-20,3,T. Rozier makes 3-pt shot from 25 ft (assist by G. Monroe)
4:08.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by M. Muscala),3,11-20,,
3:49.0,,,11-20,,Turnover by T. Rozier (bad pass; steal by T. Waller-Prince)
3:45.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,13-20,,
3:22.0,,,13-22,2,G. Monroe makes 2-pt shot from 1 ft (assist by T. Rozier)
3:07.0,M. Muscala misses 3-pt shot from 24 ft,,13-22,,
3:05.0,,,13-22,,Defensive rebound by T. Rozier
2:55.0,,,13-22,,J. Brown misses 2-pt shot from 10 ft
2:54.0,,,13-22,,Offensive rebound by A. Horford
2:54.0,,,13-24,2,A. Horford makes 2-pt shot at rim
2:33.0,M. Plumlee makes 2-pt shot from 1 ft (assist by I. Taylor),2,15-24,,
2:08.0,,,15-27,3,S. Ojeleye makes 3-pt shot from 22 ft (assist by T. Rozier)
1:46.0,T. Waller-Prince makes 3-pt shot from 25 ft,3,18-27,,
1:45.0,,,18-27,,Boston full timeout
1:45.0,,,18-27,,S. Larkin enters the game for T. Rozier
1:45.0,,,18-27,,J. Bird enters the game for A. Horford
1:45.0,A. Cleveland enters the game for M. Plumlee,,18-27,,
1:31.0,,,18-27,,Shooting foul by A. Cleveland (drawn by J. Brown)
1:31.0,,,18-27,,J. Brown misses free throw 1 of 2
1:31.0,,,18-27,,Offensive rebound by Team
1:31.0,,,18-27,,J. Brown misses free throw 2 of 2
1:28.0,Defensive rebound by I. Taylor,,18-27,,
1:16.0,T. Dorsey misses 3-pt shot from 25 ft,,18-27,,
1:14.0,Offensive rebound by Team,,18-27,,
1:14.0,,,18-27,,Loose ball foul by J. Bird (drawn by M. Muscala)
1:04.0,M. Muscala makes 2-pt shot at rim,2,20-27,,
0:46.0,,,20-29,2,G. Monroe makes 2-pt shot from 1 ft (assist by S. Larkin)
0:33.0,I. Taylor makes 2-pt shot from 1 ft,2,22-29,,
0:19.0,,,22-31,2,J. Brown makes 2-pt shot from 1 ft (assist by G. Monroe)
