time,Miami,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. H. Whiteside (J. Richardson gains possession),,,,Jump ball: C. Capela vs. H. Whiteside (J. Richardson gains possession)
11:45.0,H. Whiteside makes 2-pt shot from 2 ft,2,2-0,,
11:27.0,,,2-3,3,C. Paul makes 3-pt shot from 25 ft (assist by J. Harden)
11:10.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,4-3,,
10:57.0,,,4-5,2,J. Harden makes 2-pt shot from 8 ft (assist by C. Paul)
10:34.0,J. Johnson makes 2-pt shot from 1 ft (assist by H. Whiteside),2,6-5,,
10:18.0,,,6-5,,Turnover by J. Harden (bad pass; steal by H. Whiteside)
10:17.0,D. Jones makes 2-pt shot from 2 ft (assist by W. Ellington),2,8-5,,
10:17.0,Shooting foul by J. Harden (drawn by D. Jones),,8-5,,
10:17.0,D. Jones misses free throw 1 of 1,,8-5,,
10:14.0,,,8-5,,Defensive rebound by T. Ariza
10:00.0,,,8-5,,C. Capela misses 2-pt shot from 7 ft
9:57.0,,,8-5,,Offensive rebound by C. Capela
9:56.0,,,8-5,,C. Capela misses 2-pt shot from 2 ft (block by D. Jones)
9:56.0,Defensive rebound by W. Ellington,,8-5,,
9:39.0,H. Whiteside makes 2-pt shot from 19 ft (assist by J. Richardson),2,10-5,,
9:17.0,,,10-5,,Turnover by J. Harden (bad pass; steal by H. Whiteside)
8:59.0,H. Whiteside makes 2-pt shot from 2 ft (assist by W. Ellington),2,12-5,,
8:37.0,,,12-7,2,C. Capela makes 2-pt shot from 3 ft (assist by R. Anderson)
8:21.0,W. Ellington misses 3-pt shot from 24 ft,,12-7,,
8:19.0,,,12-7,,Defensive rebound by Team
8:19.0,Loose ball foul by J. Richardson (drawn by C. Capela),,12-7,,
8:03.0,,,12-7,,Turnover by C. Paul (bad pass; steal by H. Whiteside)
7:59.0,Turnover by J. Johnson (bad pass; steal by T. Ariza),,12-7,,
7:55.0,,,12-7,,Turnover by T. Ariza (out of bounds lost ball)
7:42.0,H. Whiteside makes 2-pt shot from 3 ft,2,14-7,,
7:33.0,,,14-7,,Shooting foul by D. Jones (drawn by J. Harden)
7:33.0,,,14-8,1,J. Harden makes free throw 1 of 3
7:33.0,,,14-8,,J. Harden misses free throw 2 of 3
7:33.0,,,14-8,,Offensive rebound by Team
7:33.0,,,14-9,1,J. Harden makes free throw 3 of 3
