time,Phoenix,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. G. Monroe (K. Middleton gains possession),,,,Jump ball: J. Henson vs. G. Monroe (K. Middleton gains possession)
11:45.0,,,0-0,,Turnover by E. Bledsoe (bad pass; steal by T. Warren)
11:22.0,G. Monroe makes 2-pt shot at rim (assist by D. Booker),2,2-0,,
11:07.0,,,2-0,,Shooting foul by D. Booker (drawn by J. Henson)
11:07.0,,,2-1,1,J. Henson makes free throw 1 of 2
11:07.0,,,2-2,1,J. Henson makes free throw 2 of 2
10:49.0,D. Booker makes 3-pt shot from 23 ft,3,5-2,,
10:21.0,,,5-2,,E. Bledsoe misses 2-pt shot from 19 ft
10:18.0,Defensive rebound by D. Booker,,5-2,,
10:07.0,T. Warren misses 3-pt shot from 22 ft,,5-2,,
10:03.0,,,5-2,,Defensive rebound by M. Brogdon
9:59.0,,,5-2,,Turnover by M. Brogdon (bad pass; steal by G. Monroe)
9:56.0,T. Warren makes 2-pt shot at rim (assist by G. Monroe),2,7-2,,
9:26.0,,,7-2,,J. Henson misses 2-pt shot from 20 ft
9:26.0,Defensive rebound by G. Monroe,,7-2,,
9:11.0,D. Bender makes 3-pt shot from 26 ft (assist by G. Monroe),3,10-2,,
9:09.0,,,10-2,,Milwaukee full timeout
8:55.0,,,10-2,,K. Middleton misses 2-pt shot from 17 ft (block by T. Warren)
8:49.0,,,10-2,,Offensive rebound by J. Henson
8:45.0,,,10-5,3,K. Middleton makes 3-pt shot from 25 ft (assist by S. Brown)
8:24.0,D. Bender misses 2-pt shot from 2 ft,,10-5,,
8:22.0,Offensive rebound by G. Monroe,,10-5,,
8:20.0,G. Monroe makes 2-pt shot from 2 ft,2,12-5,,
8:06.0,,,12-5,,M. Brogdon misses 2-pt shot from 11 ft (block by T. Warren)
8:04.0,Defensive rebound by G. Monroe,,12-5,,
8:00.0,T. Warren makes 2-pt shot at rim (assist by D. Booker),2,14-5,,
7:41.0,,,14-5,,K. Middleton misses 3-pt shot from 27 ft
7:38.0,,,14-5,,Offensive rebound by S. Brown
7:35.0,,,14-5,,Shooting foul by G. Monroe (drawn by M. Brogdon)
7:35.0,,,14-5,,M. Brogdon misses free throw 1 of 2
7:35.0,,,14-5,,Offensive rebound by Team
7:35.0,,,14-6,1,M. Brogdon makes free throw 2 of 2
7:14.0,G. Monroe misses 2-pt shot from 4 ft (block by J. Henson),,14-6,,
7:14.0,Offensive rebound by Team,,14-6,,
7:12.0,T. Warren makes 2-pt shot at rim (assist by T. Ulis),2,16-6,,
6:52.0,,,16-8,2,K. Middleton makes 2-pt shot from 2 ft (assist by M. Brogdon)
6:39.0,Turnover by T. Ulis (bad pass; steal by S. Brown),,16-8,,
6:33.0,,,16-10,2,S. Brown makes 2-pt shot from 1 ft
6:21.0,Offensive charge foul by G. Monroe (drawn by M. Brogdon),,16-10,,
6:21.0,Turnover by G. Monroe (offensive foul),,16-10,,
6:21.0,,,16-10,,T. Snell enters the game for S. Brown
6:06.0,,,16-10,,E. Bledsoe misses 2-pt shot from 1 ft
6:02.0,,,16-10,,Offensive rebound by J. Henson
6:02.0,,,16-12,2,J. Henson makes 2-pt shot at rim
5:55.0,D. Booker misses 2-pt shot from 20 ft,,16-12,,
5:52.0,,,16-12,,Defensive rebound by K. Middleton
5:47.0,,,16-12,,K. Middleton misses 2-pt shot from 2 ft
5:44.0,Defensive rebound by G. Monroe,,16-12,,
5:42.0,Turnover by T. Ulis (lost ball; steal by M. Brogdon),,16-12,,
5:40.0,,,16-14,2,J. Henson makes 2-pt shot at rim (assist by M. Brogdon)
5:40.0,Phoenix full timeout,,16-14,,
5:40.0,I. Canaan enters the game for T. Ulis,,16-14,,
5:40.0,A. Len enters the game for G. Monroe,,16-14,,
5:25.0,Turnover by D. Bender (bad pass; steal by T. Snell),,16-14,,
5:16.0,,,16-16,2,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:51.0,Turnover by D. Booker (lost ball; steal by J. Henson),,16-16,,
4:47.0,,,16-18,2,M. Brogdon makes 2-pt shot at rim (assist by J. Henson)
4:29.0,I. Canaan makes 2-pt shot at rim (assist by A. Len),2,18-18,,
4:15.0,,,18-20,2,E. Bledsoe makes 2-pt shot from 9 ft (assist by K. Middleton)
3:55.0,Turnover by T. Warren (bad pass; steal by E. Bledsoe),,18-20,,
3:52.0,,,18-20,,Turnover by E. Bledsoe (bad pass)
3:52.0,,,18-20,,M. Dellavedova enters the game for E. Bledsoe
3:52.0,,,18-20,,T. Maker enters the game for J. Henson
