time,Denver,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Jokic (P. Millsap gains possession),,,,Jump ball: M. Gortat vs. N. Jokic (P. Millsap gains possession)
11:38.0,J. Murray misses 3-pt shot from 27 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by B. Beal
11:18.0,,,0-2,2,M. Gortat makes 2-pt shot from 12 ft (assist by B. Beal)
11:00.0,W. Barton misses 2-pt shot from 9 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by M. Gortat
10:44.0,,,0-2,,M. Morris misses 2-pt shot from 19 ft
10:40.0,Defensive rebound by W. Chandler,,0-2,,
10:28.0,P. Millsap misses 2-pt shot from 12 ft,,0-2,,
10:28.0,,,0-2,,Defensive rebound by Team
10:11.0,,,0-2,,M. Morris misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by W. Barton,,0-2,,
10:04.0,W. Barton misses 2-pt shot from 16 ft,,0-2,,
10:01.0,,,0-2,,Defensive rebound by O. Porter
9:45.0,,,0-2,,Turnover by M. Gortat (bad pass; steal by W. Barton)
9:38.0,W. Barton makes 3-pt shot from 25 ft,3,3-2,,
9:21.0,,,3-4,2,B. Beal makes 2-pt shot from 19 ft (assist by M. Morris)
9:09.0,N. Jokic misses 2-pt shot from 2 ft,,3-4,,
9:07.0,,,3-4,,Defensive rebound by O. Porter
9:02.0,Personal foul by J. Murray (drawn by O. Porter),,3-4,,
8:48.0,,,3-7,3,O. Porter makes 3-pt shot from 26 ft (assist by T. Satoransky)
8:29.0,J. Murray makes 3-pt shot from 25 ft (assist by P. Millsap),3,6-7,,
8:14.0,,,6-7,,Shooting foul by P. Millsap (drawn by M. Gortat)
8:14.0,,,6-8,1,M. Gortat makes free throw 1 of 2
8:14.0,,,6-9,1,M. Gortat makes free throw 2 of 2
8:01.0,W. Chandler makes 3-pt shot from 27 ft (assist by P. Millsap),3,9-9,,
7:36.0,,,9-9,,Turnover by T. Satoransky (lost ball; steal by J. Murray)
7:27.0,W. Barton misses 3-pt shot from 27 ft,,9-9,,
7:21.0,,,9-9,,Defensive rebound by M. Morris
7:09.0,,,9-11,2,M. Gortat makes 2-pt shot from 8 ft
6:38.0,Shooting foul by M. Gortat (drawn by N. Jokic),,9-11,,
6:38.0,,,9-11,,Washington full timeout
6:38.0,N. Jokic makes free throw 1 of 2,1,10-11,,
6:38.0,N. Jokic makes free throw 2 of 2,1,11-11,,
6:27.0,,,11-11,,T. Satoransky misses 2-pt shot from 4 ft
6:25.0,Defensive rebound by P. Millsap,,11-11,,
6:15.0,N. Jokic misses 2-pt shot from 7 ft,,11-11,,
6:13.0,,,11-11,,Defensive rebound by M. Gortat
6:09.0,,,11-11,,T. Satoransky misses 2-pt shot from 4 ft (block by W. Barton)
6:06.0,,,11-11,,Offensive rebound by M. Gortat
6:05.0,,,11-11,,O. Porter misses 2-pt shot from 2 ft (block by W. Barton)
6:02.0,,,11-11,,Offensive rebound by O. Porter
6:02.0,,,11-11,,Turnover by T. Satoransky (out of bounds lost ball)
5:49.0,J. Murray makes 3-pt shot from 26 ft (assist by P. Millsap),3,14-11,,
5:35.0,,,14-11,,M. Morris misses 2-pt shot from 15 ft
5:32.0,Defensive rebound by N. Jokic,,14-11,,
