time,Utah,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. R. Gobert (R. Rubio gains possession),,,,Jump ball: L. Aldridge vs. R. Gobert (R. Rubio gains possession)
11:38.0,R. Gobert misses 2-pt shot from 3 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by L. Aldridge
11:19.0,,,0-0,,L. Aldridge misses 2-pt shot from 14 ft
11:15.0,Defensive rebound by D. Favors,,0-0,,
11:08.0,R. Rubio misses 2-pt shot from 13 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by P. Mills
10:52.0,,,0-0,,K. Anderson misses 2-pt shot from 1 ft (block by D. Favors)
10:50.0,Defensive rebound by R. Gobert,,0-0,,
10:44.0,D. Mitchell misses 3-pt shot from 24 ft,,0-0,,
10:42.0,Offensive rebound by R. Gobert,,0-0,,
10:41.0,D. Mitchell misses 2-pt shot at rim,,0-0,,
10:38.0,,,0-0,,Defensive rebound by Team
10:31.0,,,0-2,2,L. Aldridge makes 2-pt shot from 20 ft
10:09.0,D. Favors misses 3-pt shot from 23 ft,,0-2,,
10:06.0,,,0-2,,Defensive rebound by P. Mills
9:54.0,,,0-4,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
9:37.0,Turnover by J. Ingles (lost ball; steal by D. Murray),,0-4,,
9:33.0,,,0-4,,D. Murray misses 2-pt shot from 3 ft (block by R. Rubio)
9:33.0,Defensive rebound by Team,,0-4,,
9:19.0,D. Mitchell misses 2-pt shot from 18 ft,,0-4,,
9:16.0,,,0-4,,Defensive rebound by D. Green
9:08.0,Violation by R. Rubio (kicked ball),,0-4,,
9:03.0,,,0-7,3,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge)
9:02.0,Utah full timeout,,0-7,,
8:41.0,D. Mitchell makes 2-pt shot from 8 ft,2,2-7,,
8:25.0,,,2-9,2,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Anderson)
8:10.0,R. Rubio makes 2-pt shot at rim,2,4-9,,
7:57.0,,,4-9,,Turnover by P. Mills (lost ball; steal by J. Ingles)
7:33.0,D. Mitchell makes 2-pt shot at rim (assist by R. Rubio),2,6-9,,
7:21.0,,,6-11,2,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Murray)
7:08.0,R. Rubio misses 2-pt shot from 2 ft (block by L. Aldridge),,6-11,,
7:07.0,,,6-11,,Defensive rebound by K. Anderson
7:07.0,Personal foul by J. Ingles (drawn by P. Mills),,6-11,,
6:50.0,,,6-11,,Shooting foul by D. Mitchell (drawn by L. Aldridge)
6:50.0,,,6-11,,L. Aldridge misses free throw 1 of 2
6:50.0,,,6-11,,Offensive rebound by Team
6:50.0,,,6-12,1,L. Aldridge makes free throw 2 of 2
