time,New York,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. E. Kanter (T. Burke gains possession),,,,Jump ball: D. Howard vs. E. Kanter (T. Burke gains possession)
11:41.0,T. Hardaway makes 2-pt shot from 12 ft,2,2-0,,
11:19.0,,,2-2,2,D. Howard makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist)
11:06.0,Turnover by T. Hardaway (bad pass; steal by M. Williams),,2-2,,
10:59.0,,,2-2,,Turnover by M. Williams (bad pass)
10:47.0,E. Kanter misses 2-pt shot from 1 ft (block by N. Batum),,2-2,,
10:47.0,,,2-2,,Defensive rebound by Team
10:36.0,,,2-2,,K. Walker misses 3-pt shot from 29 ft
10:34.0,Defensive rebound by Team,,2-2,,
10:20.0,M. Beasley misses 3-pt shot from 24 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by Team
10:09.0,,,2-2,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
10:06.0,Defensive rebound by E. Kanter,,2-2,,
9:58.0,M. Beasley makes 2-pt shot from 13 ft,2,4-2,,
9:41.0,,,4-2,,Turnover by D. Howard (traveling)
9:29.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Hardaway),,4-2,,
9:29.0,T. Hardaway makes free throw 1 of 2,1,5-2,,
9:29.0,T. Hardaway makes free throw 2 of 2,1,6-2,,
9:18.0,Personal foul by M. Beasley (drawn by M. Kidd-Gilchrist),,6-2,,
9:09.0,,,6-4,2,N. Batum makes 2-pt shot from 16 ft
9:09.0,,,6-4,,Shooting foul by L. Thomas (drawn by N. Batum)
9:09.0,,,6-4,,N. Batum misses free throw 1 of 1
9:06.0,Defensive rebound by E. Kanter,,6-4,,
8:54.0,T. Burke misses 2-pt shot from 20 ft,,6-4,,
8:49.0,,,6-4,,Defensive rebound by D. Howard
8:33.0,,,6-6,2,K. Walker makes 2-pt shot from 1 ft
8:10.0,E. Kanter misses 2-pt shot from 10 ft,,6-6,,
8:04.0,Offensive rebound by L. Thomas,,6-6,,
8:04.0,L. Thomas misses 2-pt shot at rim,,6-6,,
8:03.0,,,6-6,,Defensive rebound by N. Batum
7:59.0,,,6-6,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
7:56.0,,,6-6,,Offensive rebound by D. Howard
7:56.0,,,6-6,,D. Howard misses 2-pt shot at rim
7:55.0,Defensive rebound by M. Beasley,,6-6,,
7:49.0,,,6-6,,Personal foul by M. Williams (drawn by T. Hardaway)
7:44.0,M. Beasley makes 3-pt shot from 24 ft (assist by T. Burke),3,9-6,,
7:26.0,,,9-8,2,M. Williams makes 2-pt shot from 9 ft (assist by N. Batum)
7:11.0,T. Burke makes 3-pt shot from 25 ft (assist by M. Beasley),3,12-8,,
6:58.0,,,12-10,2,K. Walker makes 2-pt shot from 1 ft
6:58.0,,,12-10,,Shooting foul by E. Kanter (drawn by K. Walker)
6:58.0,,,12-10,,Charlotte full timeout
6:58.0,,,12-11,1,K. Walker makes free throw 1 of 1
6:44.0,,,12-11,,Violation by M. Williams (kicked ball)
6:37.0,T. Burke makes 2-pt shot from 11 ft,2,14-11,,
6:23.0,,,14-13,2,K. Walker makes 2-pt shot from 20 ft
6:07.0,M. Beasley misses 3-pt shot from 23 ft,,14-13,,
6:00.0,Offensive rebound by E. Kanter,,14-13,,
6:00.0,E. Kanter makes 2-pt shot at rim,2,16-13,,
5:49.0,,,16-15,2,M. Williams makes 2-pt shot from 8 ft (assist by N. Batum)
5:49.0,,,16-15,,Shooting foul by T. Hardaway (drawn by M. Williams)
5:49.0,F. Ntilikina enters the game for L. Thomas,,16-15,,
5:49.0,,,16-16,1,M. Williams makes free throw 1 of 1
5:35.0,M. Beasley misses 2-pt shot from 18 ft,,16-16,,
5:35.0,Offensive rebound by E. Kanter,,16-16,,
5:35.0,E. Kanter misses 2-pt shot from 2 ft,,16-16,,
5:35.0,,,16-16,,Defensive rebound by M. Kidd-Gilchrist
5:16.0,,,16-16,,Turnover by D. Howard (traveling)
5:02.0,F. Ntilikina makes 2-pt shot from 19 ft (assist by T. Hardaway),2,18-16,,
4:46.0,,,18-16,,N. Batum misses 2-pt shot from 14 ft
4:44.0,,,18-16,,Offensive rebound by M. Williams
4:44.0,,,18-16,,M. Williams misses 2-pt shot at rim
4:44.0,Defensive rebound by M. Beasley,,18-16,,
4:44.0,Turnover by M. Beasley (traveling),,18-16,,
4:39.0,,,18-16,,D. Howard misses 2-pt shot from 6 ft
4:37.0,Defensive rebound by E. Kanter,,18-16,,
4:34.0,M. Beasley misses 2-pt shot from 1 ft,,18-16,,
4:31.0,,,18-16,,Defensive rebound by D. Howard
4:16.0,,,18-18,2,M. Williams makes 2-pt shot from 2 ft
4:02.0,T. Burke misses 3-pt shot from 25 ft,,18-18,,
4:00.0,,,18-18,,Defensive rebound by D. Howard
3:57.0,,,18-18,,M. Williams misses 3-pt shot from 25 ft
3:55.0,,,18-18,,Offensive rebound by M. Kidd-Gilchrist
3:49.0,,,18-18,,Turnover by K. Walker (bad pass)
3:49.0,,,18-18,,F. Kaminsky enters the game for M. Williams
3:49.0,,,18-18,,J. Lamb enters the game for N. Batum
3:49.0,I. Hicks enters the game for M. Beasley,,18-18,,
3:35.0,T. Burke misses 2-pt shot from 17 ft,,18-18,,
3:32.0,,,18-18,,Defensive rebound by J. Lamb
3:26.0,Personal foul by F. Ntilikina (drawn by K. Walker),,18-18,,
3:26.0,,,18-19,1,K. Walker makes free throw 1 of 2
3:26.0,,,18-20,1,K. Walker makes free throw 2 of 2
3:16.0,T. Burke misses 2-pt shot from 10 ft,,18-20,,
3:12.0,Offensive rebound by I. Hicks,,18-20,,
2:59.0,T. Burke misses 2-pt shot from 6 ft,,18-20,,
2:56.0,,,18-20,,Defensive rebound by F. Kaminsky
2:52.0,,,18-22,2,M. Kidd-Gilchrist makes 2-pt shot from 8 ft
2:43.0,New York full timeout,,18-22,,
2:43.0,,,18-22,,D. Bacon enters the game for M. Kidd-Gilchrist
2:43.0,,,18-22,,M. Monk enters the game for K. Walker
2:36.0,T. Hardaway misses 2-pt shot from 17 ft,,18-22,,
2:33.0,Offensive rebound by T. Burke,,18-22,,
2:30.0,T. Hardaway makes 2-pt shot from 1 ft (assist by T. Burke),2,20-22,,
2:08.0,,,20-22,,F. Kaminsky misses 2-pt shot from 2 ft
2:08.0,,,20-22,,Offensive rebound by F. Kaminsky
2:08.0,,,20-22,,Shooting foul by I. Hicks (drawn by F. Kaminsky)
2:08.0,,,20-23,1,F. Kaminsky makes free throw 1 of 2
2:08.0,C. Lee enters the game for T. Burke,,20-23,,
2:08.0,,,20-24,1,F. Kaminsky makes free throw 2 of 2
1:52.0,T. Hardaway misses 3-pt shot from 24 ft,,20-24,,
1:49.0,,,20-24,,Defensive rebound by D. Howard
1:38.0,,,20-24,,Turnover by D. Howard (traveling)
1:38.0,,,20-24,,W. Hernangomez enters the game for D. Howard
1:38.0,L. Kornet enters the game for E. Kanter,,20-24,,
1:20.0,Offensive foul by I. Hicks (drawn by M. Monk),,20-24,,
1:20.0,Turnover by I. Hicks (offensive foul),,20-24,,
1:11.0,,,20-27,3,M. Monk makes 3-pt shot from 25 ft (assist by J. Lamb)
0:58.0,C. Lee makes 2-pt shot from 10 ft (assist by I. Hicks),2,22-27,,
0:49.0,,,22-27,,J. Lamb misses 2-pt shot from 16 ft
0:45.0,Defensive rebound by L. Kornet,,22-27,,
0:37.0,T. Hardaway misses 2-pt shot from 3 ft,,22-27,,
0:35.0,,,22-27,,Defensive rebound by W. Hernangomez
0:30.0,,,22-27,,D. Bacon misses 3-pt shot from 23 ft
0:27.0,Defensive rebound by I. Hicks,,22-27,,
0:05.0,F. Ntilikina misses 2-pt shot from 3 ft (block by W. Hernangomez),,22-27,,
0:05.0,Offensive rebound by C. Lee,,22-27,,
0:05.0,C. Lee misses 3-pt shot from 22 ft,,22-27,,
0:05.0,Offensive rebound by Team,,22-27,,
0:05.0,Turnover by Team (shot clock),,22-27,,
0:01.0,,,22-27,,M. Monk misses 3-pt shot from 25 ft
0:01.0,,,22-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,22-29,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by M. Monk)
11:28.0,C. Lee misses 2-pt shot from 16 ft,,22-29,,
11:25.0,,,22-29,,Defensive rebound by J. Lamb
11:17.0,,,22-32,3,M. Monk makes 3-pt shot from 23 ft (assist by J. Lamb)
11:02.0,F. Ntilikina makes 2-pt shot from 17 ft,2,24-32,,
10:40.0,,,24-32,,F. Kaminsky misses 3-pt shot from 25 ft
10:37.0,,,24-32,,Offensive rebound by W. Hernangomez
10:35.0,,,24-34,2,W. Hernangomez makes 2-pt shot from 2 ft
10:12.0,Turnover by L. Kornet (bad pass; steal by W. Hernangomez),,24-34,,
9:59.0,,,24-34,,W. Hernangomez misses 2-pt shot from 5 ft (block by L. Kornet)
9:56.0,Defensive rebound by F. Ntilikina,,24-34,,
9:53.0,F. Ntilikina makes 2-pt shot from 1 ft,2,26-34,,
9:35.0,,,26-36,2,J. Lamb makes 2-pt shot from 7 ft
9:19.0,F. Ntilikina misses 3-pt shot from 24 ft,,26-36,,
9:17.0,,,26-36,,Defensive rebound by D. Bacon
9:08.0,,,26-36,,M. Monk misses 3-pt shot from 30 ft
9:05.0,Defensive rebound by I. Hicks,,26-36,,
8:57.0,L. Kornet makes 3-pt shot from 26 ft (assist by F. Ntilikina),3,29-36,,
8:40.0,,,29-39,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by J. Lamb)
8:25.0,Shooting foul by W. Hernangomez (drawn by L. Kornet),,29-39,,
8:25.0,L. Kornet makes free throw 1 of 2,1,30-39,,
8:25.0,L. Kornet makes free throw 2 of 2,1,31-39,,
8:12.0,,,31-41,2,F. Kaminsky makes 2-pt shot from 2 ft
8:12.0,Violation by I. Hicks (def goaltending),,31-41,,
8:12.0,,,31-41,,Shooting foul by I. Hicks (drawn by F. Kaminsky)
8:12.0,M. Beasley enters the game for I. Hicks,,31-41,,
8:12.0,,,31-42,1,F. Kaminsky makes free throw 1 of 1
8:02.0,F. Ntilikina makes 2-pt shot from 1 ft,2,33-42,,
7:46.0,,,33-42,,M. Monk misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by T. Williams,,33-42,,
7:31.0,L. Kornet misses 2-pt shot from 7 ft,,33-42,,
7:28.0,,,33-42,,Defensive rebound by F. Kaminsky
7:22.0,,,33-42,,D. Bacon misses 2-pt shot from 8 ft
7:20.0,Defensive rebound by L. Kornet,,33-42,,
7:14.0,M. Beasley misses 2-pt shot from 21 ft,,33-42,,
7:11.0,,,33-42,,Defensive rebound by D. Bacon
7:07.0,,,33-45,3,J. Lamb makes 3-pt shot from 26 ft (assist by D. Bacon)
6:57.0,New York full timeout,,33-45,,
6:57.0,,,33-45,,K. Walker enters the game for M. Monk
6:45.0,M. Beasley misses 2-pt shot from 1 ft,,33-45,,
6:45.0,Offensive rebound by Team,,33-45,,
6:44.0,F. Ntilikina makes 2-pt shot from 14 ft (assist by T. Williams),2,35-45,,
6:30.0,,,35-47,2,D. Bacon makes 2-pt shot from 9 ft (assist by K. Walker)
6:08.0,F. Ntilikina makes 2-pt shot from 13 ft,2,37-47,,
5:54.0,,,37-47,,K. Walker misses 2-pt shot from 13 ft
5:46.0,,,37-47,,Offensive rebound by W. Hernangomez
5:46.0,,,37-49,2,W. Hernangomez makes 2-pt shot at rim
5:37.0,Offensive foul by F. Ntilikina (drawn by K. Walker),,37-49,,
5:37.0,Turnover by F. Ntilikina (offensive foul),,37-49,,
5:37.0,,,37-49,,D. Howard enters the game for J. Lamb
5:37.0,,,37-49,,N. Batum enters the game for W. Hernangomez
5:37.0,E. Kanter enters the game for L. Kornet,,37-49,,
5:18.0,,,37-49,,D. Howard misses 2-pt shot from 5 ft
5:15.0,Defensive rebound by E. Kanter,,37-49,,
4:56.0,Turnover by F. Ntilikina (bad pass; steal by F. Kaminsky),,37-49,,
4:45.0,,,37-51,2,D. Howard makes 2-pt shot from 3 ft
4:29.0,M. Beasley misses 3-pt shot from 22 ft,,37-51,,
4:23.0,,,37-51,,Defensive rebound by D. Howard
4:18.0,,,37-51,,Turnover by D. Bacon (traveling)
4:18.0,,,37-51,,M. Williams enters the game for F. Kaminsky
4:18.0,T. Hardaway enters the game for T. Williams,,37-51,,
4:18.0,L. Thomas enters the game for C. Lee,,37-51,,
