time,Indiana,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Sabonis (D. Bender gains possession),,,,Jump ball: T. Chandler vs. D. Sabonis (D. Bender gains possession)
11:33.0,,,0-0,,D. Bender misses 2-pt shot from 22 ft
11:30.0,Defensive rebound by D. Sabonis,,0-0,,
11:13.0,D. Sabonis makes 2-pt shot from 19 ft (assist by D. Collison),2,2-0,,
10:56.0,,,2-0,,T. Chandler misses 2-pt shot from 2 ft
10:55.0,Defensive rebound by D. Sabonis,,2-0,,
10:46.0,Shooting foul by D. Booker (drawn by V. Oladipo),,2-0,,
10:46.0,V. Oladipo makes free throw 1 of 2,1,3-0,,
10:46.0,V. Oladipo misses free throw 2 of 2,,3-0,,
10:44.0,,,3-0,,Defensive rebound by D. Bender
10:33.0,,,3-0,,Turnover by D. Booker (lost ball; steal by V. Oladipo)
10:29.0,V. Oladipo makes 2-pt shot at rim,2,5-0,,
10:22.0,,,5-3,3,J. Jackson makes 3-pt shot from 23 ft (assist by T. Ulis)
10:06.0,D. Collison misses 2-pt shot from 21 ft,,5-3,,
10:02.0,,,5-3,,Defensive rebound by D. Booker
10:00.0,,,5-5,2,J. Jackson makes 2-pt shot from 1 ft (assist by D. Booker)
10:00.0,,,5-5,,Shooting foul by V. Oladipo (drawn by J. Jackson)
10:00.0,,,5-6,1,J. Jackson makes free throw 1 of 1
9:38.0,V. Oladipo misses 3-pt shot from 25 ft,,5-6,,
9:33.0,Offensive rebound by D. Collison,,5-6,,
9:31.0,Turnover by D. Collison (bad pass; steal by T. Ulis),,5-6,,
9:27.0,,,5-6,,D. Bender misses 3-pt shot from 22 ft
9:22.0,,,5-6,,Offensive rebound by D. Bender
9:11.0,,,5-6,,D. Booker misses 3-pt shot from 27 ft
9:09.0,,,5-6,,Offensive rebound by T. Chandler
9:08.0,,,5-6,,Shooting foul by B. Bogdanovic (drawn by T. Chandler)
9:08.0,,,5-7,1,T. Chandler makes free throw 1 of 2
9:08.0,,,5-7,,T. Chandler misses free throw 2 of 2
9:06.0,Defensive rebound by T. Young,,5-7,,
8:55.0,B. Bogdanovic misses 2-pt shot from 12 ft,,5-7,,
8:52.0,Offensive rebound by D. Sabonis,,5-7,,
8:51.0,V. Oladipo makes 3-pt shot from 27 ft (assist by D. Sabonis),3,8-7,,
8:36.0,,,8-7,,Turnover by D. Bender (bad pass)
8:23.0,T. Young misses 2-pt shot from 1 ft,,8-7,,
8:21.0,,,8-7,,Defensive rebound by T. Chandler
8:15.0,,,8-7,,D. Booker misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by D. Sabonis,,8-7,,
8:03.0,T. Young makes 3-pt shot from 22 ft,3,11-7,,
7:40.0,,,11-7,,D. Booker misses 3-pt shot from 26 ft
7:37.0,,,11-7,,Offensive rebound by J. Jackson
7:36.0,,,11-9,2,J. Jackson makes 2-pt shot from 1 ft
7:25.0,D. Sabonis makes 2-pt shot from 2 ft,2,13-9,,
7:11.0,,,13-9,,Turnover by J. Jackson (bad pass; steal by V. Oladipo)
7:05.0,D. Sabonis misses 2-pt shot from 1 ft,,13-9,,
7:02.0,,,13-9,,Defensive rebound by T. Chandler
6:59.0,,,13-11,2,J. Jackson makes 2-pt shot from 1 ft (assist by D. Booker)
6:44.0,V. Oladipo makes 2-pt shot from 12 ft,2,15-11,,
