time,New York,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Nance vs. K. O'Quinn (L. Thomas gains possession),,,,Jump ball: L. Nance vs. K. O'Quinn (L. Thomas gains possession)
11:43.0,M. Beasley makes 2-pt shot from 1 ft (assist by T. Burke),2,2-0,,
11:28.0,,,2-2,2,G. Hill makes 2-pt shot at rim (assist by L. James)
11:12.0,M. Beasley makes 2-pt shot from 10 ft,2,4-2,,
11:05.0,,,4-4,2,G. Hill makes 2-pt shot from 1 ft (assist by L. James)
10:54.0,K. O'Quinn misses 2-pt shot from 1 ft (block by G. Hill),,4-4,,
10:51.0,,,4-4,,Defensive rebound by L. Nance
10:45.0,,,4-4,,Turnover by L. James (bad pass; steal by T. Burke)
10:38.0,Turnover by F. Ntilikina (lost ball; steal by G. Hill),,4-4,,
10:38.0,Personal foul by K. O'Quinn (drawn by L. James),,4-4,,
10:22.0,,,4-6,2,L. James makes 2-pt shot from 20 ft
10:03.0,Turnover by L. Thomas (lost ball; steal by G. Hill),,4-6,,
9:58.0,,,4-8,2,J. Green makes 2-pt shot at rim (assist by C. Osman)
9:58.0,New York full timeout,,4-8,,
9:48.0,F. Ntilikina misses 3-pt shot from 27 ft,,4-8,,
9:44.0,,,4-8,,Defensive rebound by L. Nance
9:41.0,,,4-8,,Turnover by L. James (bad pass; steal by F. Ntilikina)
9:34.0,T. Burke misses 2-pt shot from 18 ft,,4-8,,
9:31.0,,,4-8,,Defensive rebound by G. Hill
9:12.0,,,4-8,,J. Green misses 2-pt shot from 12 ft
9:03.0,,,4-8,,Offensive rebound by L. Nance
9:03.0,,,4-8,,L. Nance misses 2-pt shot at rim
9:02.0,Defensive rebound by K. O'Quinn,,4-8,,
9:01.0,T. Burke misses 3-pt shot from 26 ft,,4-8,,
8:57.0,,,4-8,,Defensive rebound by C. Osman
8:45.0,,,4-8,,L. James misses 2-pt shot from 17 ft
8:43.0,Defensive rebound by T. Burke,,4-8,,
8:29.0,Shooting foul by C. Osman (drawn by M. Beasley),,4-8,,
8:29.0,M. Beasley makes free throw 1 of 2,1,5-8,,
8:29.0,M. Beasley makes free throw 2 of 2,1,6-8,,
8:13.0,,,6-10,2,L. James makes 2-pt shot from 1 ft (assist by L. Nance)
8:01.0,L. Thomas misses 2-pt shot from 14 ft,,6-10,,
7:59.0,,,6-10,,Defensive rebound by L. James
7:57.0,,,6-10,,L. James misses 3-pt shot from 26 ft
7:53.0,,,6-10,,Offensive rebound by J. Green
7:51.0,,,6-10,,J. Green misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by F. Ntilikina,,6-10,,
7:35.0,Turnover by T. Burke (bad pass),,6-10,,
