time,Cleveland,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. K. Love (B. Simmons gains possession),,,,Jump ball: J. Embiid vs. K. Love (B. Simmons gains possession)
11:38.0,,,0-2,2,J. Redick makes 2-pt shot from 7 ft
11:21.0,K. Love misses 2-pt shot from 20 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by B. Simmons
11:11.0,,,0-4,2,J. Embiid makes 2-pt shot from 12 ft
10:57.0,K. Love misses 3-pt shot from 25 ft,,0-4,,
10:54.0,,,0-4,,Defensive rebound by D. Saric
10:44.0,,,0-4,,J. Embiid misses 2-pt shot from 8 ft
10:42.0,Defensive rebound by L. James,,0-4,,
10:40.0,L. James misses 2-pt shot from 6 ft (block by B. Simmons),,0-4,,
10:40.0,Offensive rebound by L. James,,0-4,,
10:36.0,L. James makes 2-pt shot from 1 ft,2,2-4,,
10:29.0,,,2-4,,J. Redick misses 2-pt shot at rim
10:29.0,Defensive rebound by L. James,,2-4,,
10:21.0,L. James makes 2-pt shot from 2 ft,2,4-4,,
10:04.0,,,4-4,,J. Redick misses 2-pt shot from 17 ft
10:04.0,,,4-4,,Offensive rebound by D. Saric
9:56.0,,,4-4,,D. Saric misses 3-pt shot from 22 ft
9:56.0,Defensive rebound by L. James,,4-4,,
9:42.0,,,4-4,,Personal foul by R. Covington (drawn by J. Smith)
9:36.0,L. James makes 2-pt shot at rim (assist by J. Calderon),2,6-4,,
9:23.0,,,6-4,,J. Embiid misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by L. James,,6-4,,
9:14.0,L. James makes 3-pt shot from 26 ft,3,9-4,,
9:00.0,,,9-6,2,B. Simmons makes 2-pt shot at rim (assist by J. Redick)
8:38.0,K. Love makes 2-pt shot at rim (assist by L. James),2,11-6,,
8:25.0,,,11-8,2,D. Saric makes 2-pt shot from 1 ft (assist by J. Redick)
8:13.0,J. Smith misses 3-pt shot from 26 ft,,11-8,,
8:10.0,,,11-8,,Defensive rebound by Team
7:58.0,,,11-8,,J. Redick misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by K. Love,,11-8,,
7:50.0,Shooting foul by B. Simmons (drawn by L. James),,11-8,,
7:50.0,L. James makes free throw 1 of 2,1,12-8,,
7:50.0,,,12-8,,T. McConnell enters the game for D. Saric
7:50.0,L. James misses free throw 2 of 2,,12-8,,
7:47.0,,,12-8,,Defensive rebound by B. Simmons
7:33.0,,,12-10,2,J. Embiid makes 2-pt shot from 1 ft
7:18.0,L. James makes 3-pt shot from 27 ft (assist by J. Calderon),3,15-10,,
7:06.0,,,15-10,,J. Redick misses 2-pt shot from 19 ft
7:03.0,,,15-10,,Offensive rebound by J. Redick
7:02.0,,,15-12,2,J. Redick makes 2-pt shot from 19 ft
6:49.0,J. Calderon misses 3-pt shot from 26 ft,,15-12,,
6:49.0,,,15-12,,Defensive rebound by J. Embiid
6:41.0,,,15-12,,J. Redick misses 2-pt shot at rim
6:39.0,Defensive rebound by J. Crowder,,15-12,,
6:34.0,Shooting foul by R. Covington (drawn by J. Crowder),,15-12,,
6:34.0,,,15-12,,Philadelphia full timeout
6:34.0,,,15-12,,A. Johnson enters the game for J. Redick
6:34.0,,,15-12,,J. Bayless enters the game for J. Embiid
6:34.0,J. Crowder makes free throw 1 of 2,1,16-12,,
6:34.0,J. Crowder makes free throw 2 of 2,1,17-12,,
6:23.0,,,17-12,,Turnover by B. Simmons (bad pass; steal by J. Crowder)
6:18.0,,,17-12,,Personal foul by J. Bayless (drawn by L. James)
6:18.0,,,17-12,,T. Luwawu-Cabarrot enters the game for R. Covington
6:06.0,K. Love misses 3-pt shot from 23 ft,,17-12,,
6:04.0,,,17-12,,Defensive rebound by T. Luwawu-Cabarrot
5:54.0,,,17-12,,T. Luwawu-Cabarrot misses 3-pt shot from 22 ft
5:51.0,Defensive rebound by L. James,,17-12,,
5:43.0,Shooting foul by A. Johnson (drawn by L. James),,17-12,,
5:43.0,L. James makes free throw 2 of 2,1,18-12,,
5:43.0,L. James makes free throw 1 of 2,1,19-12,,
5:43.0,K. Korver enters the game for J. Smith,,19-12,,
5:35.0,,,19-14,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by B. Simmons)
5:19.0,L. James misses 2-pt shot from 1 ft,,19-14,,
5:16.0,,,19-14,,Defensive rebound by A. Johnson
5:12.0,,,19-16,2,B. Simmons makes 2-pt shot from 1 ft
4:54.0,L. James misses 3-pt shot from 26 ft,,19-16,,
4:54.0,,,19-16,,Defensive rebound by Team
4:54.0,Loose ball foul by J. Crowder (drawn by J. Bayless),,19-16,,
4:43.0,,,19-16,,B. Simmons misses 2-pt shot from 2 ft
4:42.0,,,19-16,,Offensive rebound by A. Johnson
4:42.0,,,19-18,2,A. Johnson makes 2-pt shot at rim
4:23.0,K. Korver misses 3-pt shot from 23 ft,,19-18,,
4:23.0,Offensive rebound by K. Love,,19-18,,
4:17.0,K. Love misses 2-pt shot from 4 ft,,19-18,,
4:17.0,Offensive rebound by J. Calderon,,19-18,,
4:10.0,J. Crowder misses 3-pt shot from 27 ft,,19-18,,
4:10.0,,,19-18,,Defensive rebound by T. Luwawu-Cabarrot
