time,Houston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Capela (A. Roberson gains possession),,,,Jump ball: S. Adams vs. C. Capela (A. Roberson gains possession)
11:45.0,,,0-2,2,S. Adams makes 2-pt shot from 5 ft (assist by R. Westbrook)
11:24.0,Turnover by C. Capela (bad pass; steal by A. Roberson),,0-2,,
11:20.0,,,0-4,2,S. Adams makes 2-pt shot from 1 ft (assist by A. Roberson)
11:12.0,T. Ariza misses 3-pt shot from 25 ft,,0-4,,
11:12.0,,,0-4,,Defensive rebound by C. Anthony
11:05.0,,,0-7,3,C. Anthony makes 3-pt shot from 24 ft
10:48.0,Shooting foul by C. Anthony (drawn by T. Ariza),,0-7,,
10:48.0,T. Ariza makes free throw 1 of 2,1,1-7,,
10:48.0,T. Ariza makes free throw 2 of 2,1,2-7,,
10:29.0,,,2-9,2,C. Anthony makes 2-pt shot from 20 ft (assist by R. Westbrook)
10:13.0,R. Anderson misses 2-pt shot from 22 ft,,2-9,,
10:11.0,,,2-9,,Defensive rebound by C. Anthony
10:00.0,,,2-9,,P. George misses 2-pt shot from 1 ft
9:59.0,Defensive rebound by C. Capela,,2-9,,
9:53.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,4-9,,
9:34.0,,,4-9,,C. Anthony misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by C. Capela,,4-9,,
9:22.0,E. Gordon misses 2-pt shot from 1 ft,,4-9,,
9:20.0,,,4-9,,Defensive rebound by C. Anthony
9:15.0,,,4-11,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
9:07.0,E. Gordon makes 3-pt shot from 23 ft (assist by J. Harden),3,7-11,,
8:52.0,,,7-14,3,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook)
8:32.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,9-14,,
8:22.0,,,9-14,,P. George misses 2-pt shot from 15 ft
8:19.0,Defensive rebound by J. Harden,,9-14,,
8:11.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,11-14,,
7:47.0,,,11-14,,R. Westbrook misses 2-pt shot from 17 ft
7:45.0,,,11-14,,Offensive rebound by Team
7:41.0,,,11-16,2,S. Adams makes 2-pt shot from 6 ft (assist by P. George)
7:31.0,T. Ariza makes 3-pt shot from 24 ft,3,14-16,,
7:14.0,,,14-18,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
7:07.0,,,14-18,,Shooting block foul by S. Adams (drawn by J. Harden)
7:07.0,J. Harden misses free throw 1 of 2,,14-18,,
7:07.0,Offensive rebound by Team,,14-18,,
