time,Indiana,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. M. Turner (T. Young gains possession),,,,Jump ball: R. Lopez vs. M. Turner (T. Young gains possession)
11:35.0,B. Bogdanovic misses 2-pt shot from 4 ft (block by J. Holiday),,0-0,,
11:32.0,,,0-0,,Defensive rebound by L. Markkanen
11:17.0,,,0-2,2,R. Lopez makes 2-pt shot at rim (assist by D. Valentine)
11:06.0,T. Young makes 2-pt shot from 7 ft,2,2-2,,
10:50.0,,,2-2,,R. Lopez misses 2-pt shot from 3 ft
10:48.0,Defensive rebound by T. Young,,2-2,,
10:41.0,D. Collison makes 2-pt shot from 15 ft,2,4-2,,
10:27.0,,,4-2,,L. Markkanen misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by B. Bogdanovic,,4-2,,
10:14.0,T. Young misses 2-pt shot from 5 ft,,4-2,,
10:12.0,,,4-2,,Defensive rebound by D. Valentine
10:07.0,,,4-2,,Turnover by D. Valentine (bad pass; steal by T. Young)
10:02.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young),2,6-2,,
9:45.0,,,6-2,,J. Holiday misses 2-pt shot from 1 ft (block by M. Turner)
9:42.0,Defensive rebound by D. Collison,,6-2,,
9:34.0,D. Collison misses 2-pt shot from 5 ft,,6-2,,
9:31.0,,,6-2,,Defensive rebound by R. Lopez
9:24.0,,,6-2,,Shooting foul by L. Stephenson (drawn by J. Holiday)
9:24.0,,,6-3,1,J. Holiday makes free throw 1 of 3
9:24.0,,,6-4,1,J. Holiday makes free throw 2 of 3
9:24.0,,,6-5,1,J. Holiday makes free throw 3 of 3
9:10.0,L. Stephenson misses 3-pt shot from 25 ft,,6-5,,
9:08.0,,,6-5,,Defensive rebound by J. Holiday
9:01.0,,,6-5,,D. Valentine misses 2-pt shot from 20 ft
8:57.0,Defensive rebound by T. Young,,6-5,,
8:46.0,B. Bogdanovic misses 2-pt shot from 12 ft,,6-5,,
8:42.0,,,6-5,,Defensive rebound by J. Grant
8:39.0,,,6-7,2,J. Holiday makes 2-pt shot from 13 ft (assist by J. Grant)
8:39.0,,,6-7,,Shooting foul by D. Collison (drawn by J. Holiday)
8:39.0,,,6-8,1,J. Holiday makes free throw 1 of 1
8:28.0,M. Turner makes 2-pt shot from 18 ft (assist by D. Collison),2,8-8,,
8:09.0,,,8-10,2,R. Lopez makes 2-pt shot from 1 ft (assist by J. Holiday)
8:00.0,,,8-10,,Personal foul by J. Grant (drawn by M. Turner)
7:54.0,M. Turner makes 2-pt shot from 22 ft (assist by B. Bogdanovic),2,10-10,,
7:36.0,,,10-10,,D. Valentine misses 2-pt shot from 6 ft
7:33.0,Defensive rebound by B. Bogdanovic,,10-10,,
7:19.0,T. Young misses 2-pt shot from 1 ft (block by J. Holiday),,10-10,,
7:15.0,Offensive rebound by M. Turner,,10-10,,
7:14.0,B. Bogdanovic misses 3-pt shot from 26 ft,,10-10,,
7:14.0,,,10-10,,Defensive rebound by R. Lopez
6:59.0,,,10-12,2,R. Lopez makes 2-pt shot from 5 ft (assist by J. Grant)
6:48.0,L. Stephenson misses 2-pt shot from 19 ft,,10-12,,
6:48.0,,,10-12,,Defensive rebound by J. Grant
6:41.0,,,10-12,,J. Holiday misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by L. Stephenson,,10-12,,
6:34.0,L. Stephenson misses 2-pt shot from 20 ft,,10-12,,
6:34.0,,,10-12,,Defensive rebound by J. Grant
6:27.0,,,10-14,2,D. Valentine makes 2-pt shot at rim (assist by J. Grant)
6:22.0,Indiana full timeout,,10-14,,
6:22.0,,,10-14,,D. Nwaba enters the game for D. Valentine
6:06.0,D. Collison makes 2-pt shot from 18 ft (assist by B. Bogdanovic),2,12-14,,
5:45.0,,,12-16,2,R. Lopez makes 2-pt shot from 7 ft
5:41.0,Turnover by D. Collison (bad pass; steal by J. Holiday),,12-16,,
5:36.0,,,12-19,3,J. Grant makes 3-pt shot from 25 ft (assist by J. Holiday)
5:24.0,M. Turner misses 3-pt shot from 24 ft,,12-19,,
5:20.0,,,12-19,,Defensive rebound by D. Nwaba
5:08.0,,,12-21,2,L. Markkanen makes 2-pt shot from 1 ft (assist by D. Nwaba)
4:53.0,D. Collison makes 3-pt shot from 25 ft (assist by M. Turner),3,15-21,,
4:30.0,,,15-21,,L. Markkanen misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by L. Stephenson,,15-21,,
4:21.0,M. Turner misses 2-pt shot from 21 ft,,15-21,,
4:19.0,,,15-21,,Defensive rebound by L. Markkanen
4:12.0,,,15-23,2,L. Markkanen makes 2-pt shot from 3 ft
3:53.0,D. Collison misses 2-pt shot from 4 ft,,15-23,,
3:53.0,,,15-23,,Defensive rebound by Team
3:53.0,,,15-23,,N. Mirotic enters the game for L. Markkanen
3:53.0,C. Joseph enters the game for T. Young,,15-23,,
3:53.0,D. Sabonis enters the game for B. Bogdanovic,,15-23,,
3:33.0,,,15-23,,J. Holiday misses 2-pt shot from 17 ft
3:31.0,Defensive rebound by D. Sabonis,,15-23,,
3:18.0,L. Stephenson makes 3-pt shot from 23 ft (assist by D. Collison),3,18-23,,
3:15.0,,,18-23,,Chicago full timeout
2:58.0,,,18-26,3,J. Grant makes 3-pt shot from 25 ft (assist by J. Holiday)
2:37.0,Turnover by M. Turner (bad pass; steal by R. Lopez),,18-26,,
2:28.0,,,18-28,2,R. Lopez makes 2-pt shot from 1 ft (assist by N. Mirotic)
2:17.0,D. Collison makes 2-pt shot from 1 ft (assist by D. Sabonis),2,20-28,,
2:05.0,,,20-28,,Turnover by J. Grant (bad pass; steal by M. Turner)
2:03.0,Turnover by D. Collison (bad pass; steal by J. Grant),,20-28,,
1:57.0,,,20-28,,D. Nwaba misses 2-pt shot from 4 ft (block by D. Sabonis)
1:54.0,Defensive rebound by D. Sabonis,,20-28,,
1:52.0,D. Collison makes 2-pt shot at rim,2,22-28,,
1:41.0,,,22-31,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Grant)
1:23.0,L. Stephenson makes 3-pt shot from 25 ft (assist by M. Turner),3,25-31,,
1:08.0,,,25-34,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Grant)
0:43.0,D. Collison misses 2-pt shot from 2 ft (block by J. Holiday),,25-34,,
0:43.0,Offensive rebound by Team,,25-34,,
0:43.0,,,25-34,,D. Valentine enters the game for J. Grant
0:43.0,A. Poythress enters the game for D. Collison,,25-34,,
0:43.0,J. Young enters the game for M. Turner,,25-34,,
0:41.0,C. Joseph misses 2-pt shot from 17 ft,,25-34,,
0:37.0,,,25-34,,Defensive rebound by R. Lopez
0:31.0,,,25-37,3,N. Mirotic makes 3-pt shot from 25 ft
0:13.0,C. Joseph makes 2-pt shot from 8 ft,2,27-37,,
