time,LA Clippers,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: D. Howard vs. D. Jordan (B. Griffin gains possession)
11:34.0,B. Griffin misses 2-pt shot from 8 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by D. Howard
11:20.0,,,0-3,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
10:58.0,S. Thornwell misses 2-pt shot from 17 ft (block by N. Batum),,0-3,,
10:53.0,,,0-3,,Defensive rebound by M. Williams
10:39.0,,,0-3,,N. Batum misses 2-pt shot from 9 ft
10:34.0,Defensive rebound by D. Jordan,,0-3,,
10:28.0,A. Rivers misses 2-pt shot from 19 ft,,0-3,,
10:25.0,,,0-3,,Defensive rebound by D. Howard
10:17.0,,,0-3,,Shooting foul by B. Griffin (drawn by D. Howard)
10:17.0,,,0-3,,D. Howard misses free throw 1 of 2
10:17.0,,,0-3,,Offensive rebound by Team
10:17.0,,,0-3,,D. Howard misses free throw 2 of 2
10:14.0,Defensive rebound by B. Griffin,,0-3,,
10:07.0,B. Griffin misses 2-pt shot from 19 ft,,0-3,,
10:07.0,,,0-3,,Defensive rebound by K. Walker
9:56.0,,,0-5,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker)
9:37.0,D. Jordan makes 2-pt shot from 1 ft,2,2-5,,
9:22.0,,,2-5,,M. Williams misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by D. Jordan,,2-5,,
9:07.0,S. Thornwell misses 2-pt shot from 7 ft,,2-5,,
9:04.0,,,2-5,,Defensive rebound by D. Howard
8:55.0,Personal foul by S. Thornwell (drawn by N. Batum),,2-5,,
8:50.0,,,2-5,,K. Walker misses 2-pt shot from 20 ft
8:46.0,Defensive rebound by W. Johnson,,2-5,,
8:34.0,,,2-5,,Personal foul by M. Williams (drawn by B. Griffin)
8:21.0,Shooting foul by K. Walker (drawn by A. Rivers),,2-5,,
8:21.0,A. Rivers makes free throw 1 of 2,1,3-5,,
8:21.0,A. Rivers makes free throw 2 of 2,1,4-5,,
8:05.0,,,4-7,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
7:44.0,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin),2,6-7,,
7:24.0,,,6-7,,M. Kidd-Gilchrist misses 2-pt shot from 11 ft
7:18.0,,,6-7,,Offensive rebound by D. Howard
7:18.0,,,6-9,2,D. Howard makes 2-pt shot at rim
6:58.0,W. Johnson misses 3-pt shot from 25 ft,,6-9,,
6:55.0,,,6-9,,Defensive rebound by D. Howard
