time,New Orleans,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. A. Davis (D. Cousins gains possession),,,,Jump ball: D. Favors vs. A. Davis (D. Cousins gains possession)
11:47.0,,,0-0,,Violation by D. Mitchell (kicked ball)
11:43.0,Turnover by E. Moore (bad pass; steal by R. Rubio),,0-0,,
11:35.0,,,0-3,3,J. Ingles makes 3-pt shot from 26 ft (assist by R. Rubio)
11:20.0,J. Holiday misses 2-pt shot from 3 ft,,0-3,,
11:18.0,,,0-3,,Defensive rebound by R. Rubio
11:12.0,,,0-3,,R. Rubio misses 2-pt shot from 13 ft
11:08.0,Defensive rebound by R. Rondo,,0-3,,
10:58.0,R. Rondo makes 3-pt shot from 26 ft (assist by E. Moore),3,3-3,,
10:41.0,,,3-3,,D. Mitchell misses 2-pt shot from 1 ft
10:38.0,Defensive rebound by J. Holiday,,3-3,,
10:31.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,5-3,,
10:15.0,,,5-3,,J. Jerebko misses 3-pt shot from 23 ft
10:13.0,Defensive rebound by R. Rondo,,5-3,,
10:03.0,R. Rondo makes 2-pt shot from 1 ft,2,7-3,,
9:46.0,,,7-3,,R. Rubio misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by E. Moore,,7-3,,
9:25.0,A. Davis misses 2-pt shot from 2 ft,,7-3,,
9:22.0,,,7-3,,Defensive rebound by D. Favors
9:18.0,,,7-6,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio)
8:58.0,R. Rondo makes 3-pt shot from 24 ft (assist by J. Holiday),3,10-6,,
8:42.0,,,10-6,,Offensive charge foul by J. Jerebko (drawn by D. Cousins)
8:42.0,,,10-6,,Turnover by J. Jerebko (offensive foul)
8:33.0,J. Holiday misses 3-pt shot from 25 ft,,10-6,,
8:30.0,,,10-6,,Defensive rebound by D. Favors
8:19.0,,,10-8,2,J. Jerebko makes 2-pt shot from 2 ft (assist by D. Favors)
8:08.0,D. Cousins makes 2-pt shot from 2 ft (assist by J. Holiday),2,12-8,,
8:00.0,,,12-10,2,R. Rubio makes 2-pt shot from 1 ft
8:00.0,,,12-10,,Shooting foul by D. Cousins (drawn by R. Rubio)
8:00.0,New Orleans full timeout,,12-10,,
8:00.0,D. Cunningham enters the game for D. Cousins,,12-10,,
