time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Towns (J. Butler gains possession),,,,Jump ball: C. Capela vs. K. Towns (J. Butler gains possession)
11:42.0,J. Teague misses 3-pt shot from 23 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by P. Tucker
11:18.0,,,0-0,,C. Capela misses 2-pt shot from 5 ft
11:17.0,Defensive rebound by K. Towns,,0-0,,
11:09.0,K. Towns misses 2-pt shot from 20 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by J. Harden
10:53.0,,,0-0,,J. Harden misses 3-pt shot from 24 ft
10:52.0,Defensive rebound by J. Butler,,0-0,,
10:40.0,K. Towns makes 2-pt shot from 5 ft (assist by J. Teague),2,2-0,,
10:28.0,Personal block foul by A. Wiggins (drawn by T. Ariza),,2-0,,
10:10.0,,,2-3,3,T. Ariza makes 3-pt shot from 23 ft (assist by C. Paul)
9:52.0,T. Gibson makes 2-pt shot from 8 ft,2,4-3,,
9:41.0,,,4-3,,P. Tucker misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by K. Towns,,4-3,,
9:29.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Teague),2,6-3,,
9:11.0,,,6-3,,J. Harden misses 2-pt shot from 4 ft (block by J. Butler)
9:11.0,,,6-3,,Offensive rebound by Team
9:03.0,,,6-6,3,J. Harden makes 3-pt shot from 25 ft
8:41.0,A. Wiggins misses 3-pt shot from 25 ft,,6-6,,
8:40.0,,,6-6,,Defensive rebound by C. Capela
8:35.0,,,6-6,,P. Tucker misses 2-pt shot from 1 ft (block by T. Gibson)
8:35.0,Defensive rebound by K. Towns,,6-6,,
8:25.0,K. Towns misses 2-pt shot from 1 ft (block by C. Capela),,6-6,,
8:22.0,,,6-6,,Defensive rebound by J. Harden
8:18.0,,,6-8,2,C. Capela makes 2-pt shot at rim (assist by C. Paul)
7:58.0,J. Butler misses 2-pt shot from 6 ft,,6-8,,
7:57.0,,,6-8,,Defensive rebound by C. Capela
7:46.0,,,6-8,,J. Harden misses 2-pt shot from 4 ft
7:45.0,Defensive rebound by K. Towns,,6-8,,
7:37.0,T. Gibson misses 2-pt shot from 18 ft,,6-8,,
7:37.0,,,6-8,,Defensive rebound by C. Capela
7:15.0,,,6-10,2,T. Ariza makes 2-pt shot from 1 ft (assist by P. Tucker)
6:53.0,J. Teague makes 3-pt shot from 26 ft (assist by J. Butler),3,9-10,,
6:39.0,,,9-10,,C. Paul misses 2-pt shot from 12 ft
6:38.0,Defensive rebound by K. Towns,,9-10,,
6:32.0,J. Teague makes 3-pt shot from 26 ft,3,12-10,,
6:32.0,,,12-10,,Houston full timeout
6:32.0,,,12-10,,R. Anderson enters the game for C. Paul
6:32.0,,,12-10,,E. Gordon enters the game for P. Tucker
6:18.0,,,12-12,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:03.0,A. Wiggins misses 2-pt shot from 3 ft (block by E. Gordon),,12-12,,
6:01.0,,,12-12,,Defensive rebound by R. Anderson
5:40.0,,,12-14,2,C. Capela makes 2-pt shot from 2 ft (assist by T. Ariza)
5:25.0,T. Gibson makes 2-pt shot at rim,2,14-14,,
5:04.0,,,14-14,,T. Ariza misses 3-pt shot from 22 ft
5:03.0,Defensive rebound by K. Towns,,14-14,,
4:56.0,J. Teague misses 3-pt shot from 24 ft,,14-14,,
4:56.0,,,14-14,,Defensive rebound by C. Capela
4:32.0,,,14-16,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
4:25.0,Minnesota full timeout,,14-16,,
4:25.0,,,14-16,,N. Hilario enters the game for C. Capela
4:25.0,T. Jones enters the game for J. Teague,,14-16,,
4:14.0,J. Butler makes 2-pt shot from 2 ft (assist by K. Towns),2,16-16,,
3:58.0,,,16-16,,E. Gordon misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by K. Towns,,16-16,,
3:50.0,K. Towns makes 3-pt shot from 26 ft (assist by T. Jones),3,19-16,,
3:23.0,,,19-19,3,T. Ariza makes 3-pt shot from 22 ft (assist by R. Anderson)
3:10.0,,,19-19,,Personal foul by J. Harden (drawn by A. Wiggins)
3:10.0,,,19-19,,G. Green enters the game for T. Ariza
3:10.0,G. Dieng enters the game for K. Towns,,19-19,,
2:59.0,A. Wiggins misses 2-pt shot from 19 ft,,19-19,,
2:58.0,,,19-19,,Defensive rebound by N. Hilario
2:50.0,,,19-19,,R. Anderson misses 3-pt shot from 27 ft
2:50.0,Defensive rebound by G. Dieng,,19-19,,
2:36.0,J. Butler makes 2-pt shot from 1 ft,2,21-19,,
2:26.0,,,21-19,,Shooting foul by G. Dieng (drawn by E. Gordon)
2:26.0,,,21-20,1,E. Gordon makes free throw 1 of 2
2:26.0,,,21-20,,C. Paul enters the game for J. Harden
2:26.0,J. Crawford enters the game for J. Butler,,21-20,,
2:26.0,,,21-21,1,E. Gordon makes free throw 2 of 2
2:14.0,A. Wiggins misses 2-pt shot from 3 ft (block by G. Green),,21-21,,
2:14.0,Offensive rebound by Team,,21-21,,
2:12.0,Shooting foul by E. Gordon (drawn by A. Wiggins),,21-21,,
2:12.0,A. Wiggins misses free throw 1 of 2,,21-21,,
2:12.0,Offensive rebound by Team,,21-21,,
2:12.0,A. Wiggins misses free throw 2 of 2,,21-21,,
2:12.0,,,21-21,,Defensive rebound by G. Green
1:58.0,J. Teague enters the game for T. Jones,,21-21,,
1:53.0,Personal foul by T. Gibson (drawn by C. Paul),,21-21,,
1:46.0,,,21-21,,N. Hilario misses 2-pt shot from 7 ft
1:42.0,,,21-21,,Offensive rebound by N. Hilario
1:42.0,,,21-23,2,N. Hilario makes 2-pt shot at rim
1:26.0,T. Gibson makes 2-pt shot at rim,2,23-23,,
1:14.0,,,23-23,,C. Paul misses 3-pt shot from 26 ft
1:12.0,,,23-23,,Offensive rebound by R. Anderson
1:11.0,,,23-25,2,R. Anderson makes 2-pt shot at rim
0:50.0,J. Crawford misses 2-pt shot from 12 ft,,23-25,,
0:49.0,Offensive rebound by G. Dieng,,23-25,,
0:48.0,G. Dieng misses 2-pt shot from 1 ft,,23-25,,
0:47.0,,,23-25,,Defensive rebound by G. Green
0:42.0,,,23-25,,E. Gordon misses 2-pt shot from 1 ft
0:42.0,Defensive rebound by G. Dieng,,23-25,,
0:35.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Crawford),2,25-25,,
0:35.0,Shooting foul by N. Hilario (drawn by A. Wiggins),,25-25,,
0:35.0,N. Bjelica enters the game for T. Gibson,,25-25,,
0:35.0,A. Wiggins makes free throw 1 of 1,1,26-25,,
0:26.0,,,26-25,,C. Paul misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by N. Bjelica,,26-25,,
0:06.0,K. Towns enters the game for G. Dieng,,26-25,,
0:02.0,J. Teague misses 2-pt shot from 20 ft,,26-25,,
0:00.0,,,26-25,,Defensive rebound by C. Paul
0:00.0,,,26-25,,C. Paul misses 3-pt shot from 47 ft
0:00.0,,,26-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Personal foul by J. Teague (drawn by C. Paul),,26-25,,
11:41.0,,,26-25,,P. Tucker enters the game for R. Anderson
11:41.0,K. Towns enters the game for G. Dieng,,26-25,,
11:31.0,,,26-28,3,E. Gordon makes 3-pt shot from 27 ft (assist by C. Paul)
11:16.0,Shooting foul by G. Green (drawn by K. Towns),,26-28,,
11:16.0,K. Towns makes free throw 1 of 2,1,27-28,,
11:16.0,K. Towns makes free throw 2 of 2,1,28-28,,
10:59.0,,,28-28,,E. Gordon misses 3-pt shot from 28 ft
10:58.0,Defensive rebound by K. Towns,,28-28,,
10:47.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Crawford),2,30-28,,
10:36.0,,,30-30,2,C. Capela makes 2-pt shot at rim (assist by C. Paul)
10:29.0,D. Rose makes 3-pt shot from 23 ft (assist by J. Teague),3,33-30,,
10:22.0,,,33-32,2,E. Gordon makes 2-pt shot from 14 ft
10:22.0,,,33-32,,Shooting foul by D. Rose (drawn by E. Gordon)
10:22.0,,,33-33,1,E. Gordon makes free throw 1 of 1
