time,Detroit,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. A. Drummond (T. Harris gains possession),,,,Jump ball: K. Porzingis vs. A. Drummond (T. Harris gains possession)
11:46.0,A. Bradley misses 2-pt shot from 17 ft,,0-0,,
11:43.0,Offensive rebound by A. Drummond,,0-0,,
11:42.0,A. Drummond makes 2-pt shot from 2 ft,2,2-0,,
11:25.0,,,2-0,,T. Hardaway misses 2-pt shot from 17 ft
11:23.0,Defensive rebound by S. Johnson,,2-0,,
11:18.0,T. Harris makes 3-pt shot from 25 ft (assist by S. Johnson),3,5-0,,
10:58.0,,,5-0,,C. Lee misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by A. Drummond,,5-0,,
10:49.0,Turnover by A. Bradley (bad pass; steal by C. Lee),,5-0,,
10:35.0,,,5-2,2,K. Porzingis makes 2-pt shot from 12 ft
10:35.0,,,5-2,,Shooting foul by S. Johnson (drawn by K. Porzingis)
10:35.0,,,5-3,1,K. Porzingis makes free throw 1 of 1
10:21.0,T. Harris makes 2-pt shot from 1 ft,2,7-3,,
10:14.0,,,7-3,,T. Hardaway misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by A. Drummond,,7-3,,
10:04.0,T. Harris misses 2-pt shot from 9 ft,,7-3,,
10:02.0,,,7-3,,Defensive rebound by Team
9:46.0,,,7-3,,R. Sessions misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by S. Johnson,,7-3,,
9:33.0,Shooting foul by E. Kanter (drawn by A. Drummond),,7-3,,
9:33.0,A. Drummond makes free throw 1 of 2,1,8-3,,
9:33.0,A. Drummond makes free throw 2 of 2,1,9-3,,
9:14.0,,,9-5,2,E. Kanter makes 2-pt shot from 2 ft
9:00.0,R. Jackson misses 3-pt shot from 22 ft,,9-5,,
8:56.0,,,9-5,,Defensive rebound by C. Lee
8:50.0,,,9-5,,C. Lee misses 2-pt shot from 3 ft
8:42.0,,,9-5,,Offensive rebound by E. Kanter
8:42.0,,,9-7,2,E. Kanter makes 2-pt shot at rim
8:32.0,A. Bradley misses 2-pt shot from 19 ft,,9-7,,
8:29.0,,,9-7,,Defensive rebound by K. Porzingis
8:23.0,,,9-7,,R. Sessions misses 2-pt shot from 8 ft
8:18.0,,,9-7,,Offensive rebound by E. Kanter
8:17.0,,,9-9,2,E. Kanter makes 2-pt shot from 1 ft
8:13.0,Detroit full timeout,,9-9,,
8:13.0,,,9-9,,Away from play foul by R. Sessions (drawn by R. Jackson)
8:13.0,R. Jackson makes free throw 1 of 1,1,10-9,,
8:01.0,S. Johnson misses 3-pt shot from 22 ft,,10-9,,
7:58.0,,,10-9,,Defensive rebound by K. Porzingis
7:44.0,,,10-9,,R. Sessions misses 3-pt shot from 25 ft
7:44.0,,,10-9,,Offensive rebound by E. Kanter
7:38.0,,,10-11,2,E. Kanter makes 2-pt shot at rim
7:17.0,T. Harris misses 2-pt shot from 17 ft,,10-11,,
7:15.0,,,10-11,,Defensive rebound by E. Kanter
7:15.0,,,10-11,,Offensive foul by T. Hardaway (drawn by T. Harris)
7:15.0,,,10-11,,Turnover by T. Hardaway (offensive foul)
6:51.0,T. Harris misses 3-pt shot from 26 ft,,10-11,,
6:48.0,Offensive rebound by R. Jackson,,10-11,,
6:42.0,Turnover by S. Johnson (lost ball; steal by C. Lee),,10-11,,
6:34.0,,,10-11,,R. Sessions misses 3-pt shot from 23 ft
6:32.0,Defensive rebound by S. Johnson,,10-11,,
6:20.0,S. Johnson makes 3-pt shot from 24 ft (assist by R. Jackson),3,13-11,,
6:10.0,,,13-11,,T. Hardaway misses 2-pt shot at rim
6:08.0,Defensive rebound by S. Johnson,,13-11,,
6:04.0,Turnover by S. Johnson (bad pass; steal by K. Porzingis),,13-11,,
5:54.0,,,13-11,,Shooting foul by R. Jackson (drawn by R. Sessions)
5:54.0,,,13-12,1,R. Sessions makes free throw 1 of 2
5:54.0,,,13-12,,D. McDermott enters the game for C. Lee
5:54.0,,,13-13,1,R. Sessions makes free throw 2 of 2
5:32.0,R. Jackson makes 2-pt shot from 16 ft,2,15-13,,
5:13.0,,,15-15,2,K. Porzingis makes 2-pt shot from 13 ft
4:57.0,T. Harris misses 2-pt shot from 2 ft,,15-15,,
4:55.0,Offensive rebound by T. Harris,,15-15,,
4:50.0,T. Harris makes 2-pt shot from 1 ft,2,17-15,,
4:35.0,,,17-17,2,K. Porzingis makes 2-pt shot from 9 ft
4:35.0,,,17-17,,Shooting foul by S. Johnson (drawn by K. Porzingis)
4:35.0,I. Smith enters the game for R. Jackson,,17-17,,
4:35.0,J. Leuer enters the game for S. Johnson,,17-17,,
4:35.0,,,17-18,1,K. Porzingis makes free throw 1 of 1
4:19.0,T. Harris misses 2-pt shot from 10 ft,,17-18,,
4:17.0,,,17-18,,Defensive rebound by R. Sessions
4:03.0,,,17-18,,T. Hardaway misses 3-pt shot from 25 ft
4:02.0,,,17-18,,Offensive rebound by E. Kanter
4:02.0,,,17-18,,E. Kanter misses 2-pt shot at rim
4:02.0,Defensive rebound by Team,,17-18,,
4:02.0,,,17-18,,Loose ball foul by E. Kanter (drawn by A. Drummond)
4:02.0,,,17-18,,K. O'Quinn enters the game for E. Kanter
3:47.0,A. Bradley misses 2-pt shot from 1 ft (block by D. McDermott),,17-18,,
3:44.0,,,17-18,,Defensive rebound by R. Sessions
3:44.0,,,17-18,,Shooting foul by I. Smith (drawn by T. Hardaway)
3:44.0,,,17-19,1,T. Hardaway makes free throw 1 of 2
3:44.0,,,17-20,1,T. Hardaway makes free throw 2 of 2
3:20.0,A. Bradley misses 2-pt shot from 2 ft,,17-20,,
3:18.0,,,17-20,,Defensive rebound by R. Sessions
3:12.0,,,17-20,,T. Hardaway misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by A. Drummond,,17-20,,
3:05.0,A. Bradley misses 3-pt shot from 24 ft,,17-20,,
3:02.0,,,17-20,,Defensive rebound by K. O'Quinn
2:52.0,Personal foul by J. Leuer (drawn by K. Porzingis),,17-20,,
2:52.0,,,17-20,,New York full timeout
2:52.0,L. Kennard enters the game for A. Bradley,,17-20,,
2:52.0,,,17-20,,K. Porzingis misses free throw 1 of 2
2:52.0,,,17-20,,Offensive rebound by Team
2:52.0,,,17-21,1,K. Porzingis makes free throw 2 of 2
2:36.0,T. Harris misses 3-pt shot from 22 ft,,17-21,,
2:33.0,Offensive rebound by J. Leuer,,17-21,,
2:23.0,Turnover by A. Drummond (offensive goaltending),,17-21,,
1:58.0,,,17-23,2,K. Porzingis makes 2-pt shot from 12 ft (assist by T. Hardaway)
1:52.0,Turnover by L. Kennard (bad pass),,17-23,,
1:52.0,,,17-23,,M. Beasley enters the game for R. Sessions
1:52.0,,,17-23,,R. Baker enters the game for K. Porzingis
1:42.0,,,17-25,2,T. Hardaway makes 2-pt shot from 10 ft
1:42.0,,,17-25,,Shooting foul by L. Kennard (drawn by T. Hardaway)
1:42.0,,,17-26,1,T. Hardaway makes free throw 1 of 1
1:29.0,,,17-26,,Personal foul by K. O'Quinn (drawn by A. Drummond)
1:18.0,T. Harris misses 2-pt shot from 2 ft,,17-26,,
1:15.0,,,17-26,,Defensive rebound by D. McDermott
1:10.0,,,17-26,,D. McDermott misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by A. Drummond,,17-26,,
1:02.0,T. Harris misses 3-pt shot from 24 ft,,17-26,,
0:59.0,,,17-26,,Defensive rebound by K. O'Quinn
0:48.0,,,17-26,,K. O'Quinn misses 2-pt shot from 9 ft
0:46.0,,,17-26,,Offensive rebound by M. Beasley
0:46.0,,,17-28,2,M. Beasley makes 2-pt shot at rim
0:37.0,J. Leuer makes 2-pt shot from 2 ft (assist by I. Smith),2,19-28,,
0:20.0,,,19-28,,T. Hardaway misses 3-pt shot from 26 ft
0:17.0,Defensive rebound by A. Drummond,,19-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,19-28,,Turnover by C. Lee (bad pass; steal by B. Marjanovic)
11:36.0,,,19-28,,Personal foul by K. O'Quinn (drawn by B. Marjanovic)
11:36.0,H. Ellenson enters the game for J. Leuer,,19-28,,
11:26.0,I. Smith misses 2-pt shot from 5 ft,,19-28,,
11:23.0,,,19-28,,Defensive rebound by D. McDermott
11:16.0,,,19-28,,M. Beasley misses 2-pt shot from 8 ft
11:16.0,,,19-28,,Offensive rebound by Team
11:04.0,,,19-30,2,K. O'Quinn makes 2-pt shot from 15 ft (assist by M. Beasley)
10:50.0,Turnover by I. Smith (traveling),,19-30,,
10:37.0,,,19-32,2,K. O'Quinn makes 2-pt shot from 11 ft (assist by R. Baker)
10:17.0,B. Marjanovic makes 2-pt shot from 2 ft (assist by I. Smith),2,21-32,,
10:02.0,,,21-34,2,M. Beasley makes 2-pt shot from 15 ft
9:47.0,Turnover by H. Ellenson (bad pass; steal by D. McDermott),,21-34,,
9:36.0,,,21-34,,C. Lee misses 3-pt shot from 23 ft
9:33.0,Defensive rebound by L. Kennard,,21-34,,
9:32.0,,,21-34,,Personal foul by R. Baker (drawn by L. Kennard)
9:17.0,B. Marjanovic misses 2-pt shot from 10 ft,,21-34,,
9:15.0,,,21-34,,Defensive rebound by K. O'Quinn
9:04.0,,,21-36,2,K. O'Quinn makes 2-pt shot at rim
9:04.0,,,21-36,,Shooting foul by B. Marjanovic (drawn by K. O'Quinn)
9:04.0,,,21-37,1,K. O'Quinn makes free throw 1 of 1
8:44.0,I. Smith makes 2-pt shot from 4 ft,2,23-37,,
8:29.0,,,23-37,,Turnover by C. Lee (bad pass; steal by I. Smith)
8:25.0,I. Smith makes 2-pt shot from 1 ft,2,25-37,,
8:03.0,,,25-39,2,C. Lee makes 2-pt shot from 1 ft (assist by K. O'Quinn)
7:47.0,B. Marjanovic misses 2-pt shot from 3 ft,,25-39,,
7:45.0,,,25-39,,Defensive rebound by M. Beasley
7:33.0,,,25-39,,Shooting foul by H. Ellenson (drawn by M. Beasley)
7:33.0,,,25-39,,M. Beasley misses free throw 1 of 2
7:33.0,,,25-39,,Offensive rebound by Team
7:33.0,A. Drummond enters the game for B. Marjanovic,,25-39,,
7:33.0,,,25-39,,E. Kanter enters the game for K. O'Quinn
7:33.0,,,25-39,,K. Porzingis enters the game for D. McDermott
7:33.0,J. Leuer enters the game for H. Ellenson,,25-39,,
7:33.0,,,25-40,1,M. Beasley makes free throw 2 of 2
7:26.0,L. Kennard misses 2-pt shot from 22 ft,,25-40,,
7:22.0,Offensive rebound by L. Kennard,,25-40,,
7:13.0,A. Drummond makes 2-pt shot from 2 ft,2,27-40,,
7:04.0,,,27-42,2,K. Porzingis makes 2-pt shot from 2 ft (assist by R. Baker)
6:48.0,S. Johnson misses 3-pt shot from 22 ft,,27-42,,
6:46.0,,,27-42,,Defensive rebound by E. Kanter
6:31.0,,,27-45,3,R. Baker makes 3-pt shot from 25 ft (assist by K. Porzingis)
6:22.0,Detroit full timeout,,27-45,,
6:22.0,T. Harris enters the game for L. Kennard,,27-45,,
6:22.0,A. Bradley enters the game for I. Smith,,27-45,,
6:22.0,R. Jackson enters the game for S. Johnson,,27-45,,
6:10.0,T. Harris makes 2-pt shot from 1 ft (assist by A. Bradley),2,29-45,,
5:50.0,,,29-48,3,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Lee)
5:32.0,A. Drummond makes 2-pt shot from 5 ft (assist by J. Leuer),2,31-48,,
5:16.0,,,31-51,3,K. Porzingis makes 3-pt shot from 25 ft (assist by R. Baker)
5:00.0,R. Jackson makes 2-pt shot from 15 ft,2,33-51,,
5:00.0,Shooting foul by K. Porzingis (drawn by R. Jackson),,33-51,,
5:00.0,,,33-51,,R. Sessions enters the game for R. Baker
5:00.0,R. Jackson makes free throw 1 of 1,1,34-51,,
4:45.0,,,34-51,,Shooting foul by T. Harris (drawn by M. Beasley)
4:45.0,,,34-51,,M. Beasley misses free throw 1 of 2
4:45.0,,,34-51,,Offensive rebound by Team
4:45.0,,,34-52,1,M. Beasley makes free throw 2 of 2
4:41.0,,,34-52,,Personal foul by C. Lee (drawn by A. Bradley)
4:28.0,R. Jackson misses 2-pt shot from 2 ft,,34-52,,
4:22.0,Offensive rebound by A. Drummond,,34-52,,
4:22.0,A. Drummond makes 2-pt shot at rim,2,36-52,,
4:12.0,,,36-54,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Sessions)
3:56.0,Turnover by A. Drummond (bad pass; steal by M. Beasley),,36-54,,
3:41.0,,,36-56,2,E. Kanter makes 2-pt shot from 8 ft (assist by K. Porzingis)
3:41.0,,,36-56,,Shooting foul by A. Bradley (drawn by E. Kanter)
3:41.0,,,36-57,1,E. Kanter makes free throw 1 of 1
3:29.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,38-57,,
3:29.0,Shooting foul by M. Beasley (drawn by A. Drummond),,38-57,,
3:29.0,A. Drummond makes free throw 1 of 1,1,39-57,,
3:12.0,,,39-57,,C. Lee misses 2-pt shot from 21 ft
3:09.0,Defensive rebound by A. Bradley,,39-57,,
3:00.0,J. Leuer misses 3-pt shot from 22 ft,,39-57,,
2:53.0,,,39-57,,New York full timeout
2:53.0,,,39-57,,T. Hardaway enters the game for M. Beasley
2:53.0,A. Tolliver enters the game for J. Leuer,,39-57,,
2:52.0,Offensive rebound by A. Drummond,,39-57,,
2:52.0,A. Drummond makes 2-pt shot at rim,2,41-57,,
2:45.0,Personal foul by A. Bradley (drawn by K. Porzingis),,41-57,,
