time,Toronto,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Valanciunas (K. Dunn gains possession),,,,Jump ball: R. Lopez vs. J. Valanciunas (K. Dunn gains possession)
11:48.0,,,0-2,2,K. Dunn makes 2-pt shot from 14 ft
11:22.0,J. Valanciunas makes 2-pt shot from 5 ft,2,2-2,,
11:00.0,,,2-2,,R. Lopez misses 2-pt shot from 4 ft (block by S. Ibaka)
10:57.0,Defensive rebound by S. Ibaka,,2-2,,
10:50.0,S. Ibaka makes 2-pt shot from 12 ft (assist by D. DeRozan),2,4-2,,
10:38.0,,,4-5,3,Z. LaVine makes 3-pt shot from 24 ft
10:17.0,K. Lowry misses 3-pt shot from 27 ft,,4-5,,
10:14.0,,,4-5,,Defensive rebound by K. Dunn
10:08.0,,,4-5,,Z. LaVine misses 2-pt shot from 10 ft
10:04.0,Defensive rebound by S. Ibaka,,4-5,,
10:00.0,K. Lowry misses 2-pt shot from 2 ft (block by L. Markkanen),,4-5,,
9:57.0,Offensive rebound by D. DeRozan,,4-5,,
9:56.0,S. Ibaka misses 3-pt shot from 25 ft,,4-5,,
9:56.0,,,4-5,,Defensive rebound by J. Holiday
9:50.0,,,4-5,,Z. LaVine misses 2-pt shot at rim (block by J. Valanciunas)
9:50.0,Defensive rebound by O. Anunoby,,4-5,,
9:38.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by S. Ibaka),2,6-5,,
9:19.0,,,6-7,2,R. Lopez makes 2-pt shot from 4 ft
9:08.0,K. Lowry misses 3-pt shot from 25 ft,,6-7,,
9:04.0,,,6-7,,Defensive rebound by L. Markkanen
8:59.0,,,6-7,,K. Dunn misses 2-pt shot from 16 ft
8:52.0,,,6-7,,Offensive rebound by R. Lopez
8:52.0,,,6-9,2,R. Lopez makes 2-pt shot at rim
8:41.0,D. DeRozan misses 2-pt shot from 4 ft,,6-9,,
8:39.0,Offensive rebound by J. Valanciunas,,6-9,,
8:37.0,J. Valanciunas makes 2-pt shot from 2 ft,2,8-9,,
8:19.0,,,8-9,,Z. LaVine misses 2-pt shot from 21 ft
8:17.0,Defensive rebound by K. Lowry,,8-9,,
7:55.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by S. Ibaka),2,10-9,,
7:31.0,,,10-9,,Shooting foul by J. Valanciunas (drawn by K. Dunn)
7:31.0,,,10-10,1,K. Dunn makes free throw 1 of 2
7:31.0,,,10-11,1,K. Dunn makes free throw 2 of 2
7:11.0,S. Ibaka makes 2-pt shot from 5 ft (assist by D. DeRozan),2,12-11,,
6:52.0,,,12-11,,Z. LaVine misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by O. Anunoby,,12-11,,
6:41.0,S. Ibaka makes 2-pt shot from 3 ft (assist by K. Lowry),2,14-11,,
6:34.0,,,14-11,,Turnover by J. Holiday (bad pass; steal by K. Lowry)
6:30.0,K. Lowry makes 3-pt shot from 25 ft,3,17-11,,
6:28.0,,,17-11,,Chicago full timeout
6:28.0,,,17-11,,J. Grant enters the game for K. Dunn
6:14.0,,,17-13,2,L. Markkanen makes 2-pt shot from 13 ft (assist by J. Grant)
5:59.0,O. Anunoby misses 3-pt shot from 23 ft,,17-13,,
5:57.0,,,17-13,,Defensive rebound by L. Markkanen
5:49.0,,,17-13,,L. Markkanen misses 2-pt shot from 18 ft
5:46.0,Defensive rebound by K. Lowry,,17-13,,
5:40.0,S. Ibaka makes 2-pt shot from 5 ft (assist by K. Lowry),2,19-13,,
5:22.0,Personal foul by S. Ibaka (drawn by L. Markkanen),,19-13,,
5:14.0,,,19-15,2,Z. LaVine makes 2-pt shot at rim
4:56.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,21-15,,
4:34.0,,,21-17,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Grant)
4:30.0,Turnover by J. Valanciunas (bad pass; steal by J. Grant),,21-17,,
4:26.0,,,21-17,,L. Markkanen misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by J. Valanciunas,,21-17,,
4:12.0,,,21-17,,Violation by J. Holiday (kicked ball)
4:03.0,O. Anunoby misses 3-pt shot from 25 ft,,21-17,,
4:00.0,,,21-17,,Defensive rebound by Z. LaVine
3:53.0,,,21-19,2,Z. LaVine makes 2-pt shot at rim
3:38.0,S. Ibaka misses 2-pt shot from 19 ft,,21-19,,
3:34.0,,,21-19,,Defensive rebound by R. Lopez
3:30.0,,,21-22,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
3:21.0,Toronto full timeout,,21-22,,
3:21.0,,,21-22,,D. Valentine enters the game for Z. LaVine
3:21.0,,,21-22,,B. Portis enters the game for L. Markkanen
3:21.0,J. Poeltl enters the game for O. Anunoby,,21-22,,
3:21.0,C. Miles enters the game for J. Valanciunas,,21-22,,
3:10.0,,,21-22,,Personal foul by D. Valentine (drawn by C. Miles)
3:05.0,Offensive foul by J. Poeltl (drawn by J. Holiday),,21-22,,
3:05.0,Turnover by J. Poeltl (offensive foul),,21-22,,
2:58.0,Personal foul by K. Lowry (drawn by J. Grant),,21-22,,
2:58.0,F. VanVleet enters the game for K. Lowry,,21-22,,
2:58.0,P. Siakam enters the game for S. Ibaka,,21-22,,
2:49.0,,,21-24,2,B. Portis makes 2-pt shot from 15 ft (assist by J. Grant)
2:33.0,D. DeRozan makes 2-pt shot from 19 ft,2,23-24,,
2:21.0,,,23-24,,B. Portis misses 3-pt shot from 25 ft
2:17.0,,,23-24,,Offensive rebound by J. Grant
2:16.0,Personal foul by C. Miles (drawn by B. Portis),,23-24,,
2:08.0,,,23-26,2,R. Lopez makes 2-pt shot from 6 ft (assist by J. Grant)
1:47.0,D. DeRozan misses 2-pt shot from 18 ft,,23-26,,
1:43.0,,,23-26,,Defensive rebound by D. Valentine
1:34.0,,,23-29,3,J. Holiday makes 3-pt shot from 26 ft (assist by R. Lopez)
1:11.0,P. Siakam makes 2-pt shot from 2 ft (assist by D. DeRozan),2,25-29,,
1:01.0,,,25-31,2,J. Holiday makes 2-pt shot at rim (assist by J. Grant)
0:56.0,,,25-31,,Personal foul by J. Holiday (drawn by D. DeRozan)
0:56.0,,,25-31,,P. Zipser enters the game for R. Lopez
0:56.0,D. Wright enters the game for D. DeRozan,,25-31,,
0:49.0,F. VanVleet misses 3-pt shot from 25 ft,,25-31,,
0:46.0,,,25-31,,Defensive rebound by B. Portis
0:34.0,,,25-33,2,J. Grant makes 2-pt shot from 10 ft
0:19.0,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet),2,27-33,,
0:00.0,,,27-33,,J. Holiday misses 3-pt shot from 28 ft
0:00.0,,,27-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet),2,29-33,,
11:28.0,,,29-35,2,J. Grant makes 2-pt shot at rim
11:11.0,,,29-35,,Personal foul by P. Zipser (drawn by P. Siakam)
11:04.0,D. Wright misses 2-pt shot from 1 ft,,29-35,,
11:02.0,,,29-35,,Defensive rebound by B. Portis
10:55.0,,,29-35,,Shooting foul by P. Siakam (drawn by B. Portis)
10:55.0,,,29-35,,B. Portis misses free throw 1 of 2
10:55.0,,,29-35,,Offensive rebound by Team
10:55.0,,,29-36,1,B. Portis makes free throw 2 of 2
10:39.0,C. Miles makes 3-pt shot from 23 ft (assist by P. Siakam),3,32-36,,
10:39.0,Shooting foul by D. Valentine (drawn by C. Miles),,32-36,,
10:39.0,C. Miles makes free throw 1 of 1,1,33-36,,
10:32.0,,,33-36,,B. Portis misses 2-pt shot from 5 ft (block by J. Poeltl)
10:29.0,Defensive rebound by P. Siakam,,33-36,,
10:27.0,F. VanVleet misses 2-pt shot from 1 ft,,33-36,,
10:27.0,Offensive rebound by P. Siakam,,33-36,,
10:22.0,P. Siakam makes 2-pt shot at rim,2,35-36,,
10:07.0,,,35-36,,D. Valentine misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by P. Siakam,,35-36,,
9:53.0,F. VanVleet misses 2-pt shot from 2 ft (block by B. Portis),,35-36,,
9:53.0,,,35-36,,Defensive rebound by D. Valentine
9:40.0,,,35-36,,B. Portis misses 2-pt shot from 3 ft
9:40.0,Defensive rebound by J. Poeltl,,35-36,,
9:36.0,D. Wright makes 2-pt shot from 1 ft (assist by F. VanVleet),2,37-36,,
9:29.0,,,37-36,,Chicago full timeout
9:25.0,,,37-38,2,B. Portis makes 2-pt shot from 15 ft (assist by D. Valentine)
9:02.0,Turnover by J. Poeltl (turnover),,37-38,,
8:54.0,,,37-38,,P. Zipser misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by J. Poeltl,,37-38,,
8:52.0,,,37-38,,Personal foul by D. Valentine (drawn by J. Poeltl)
8:52.0,,,37-38,,Z. LaVine enters the game for D. Valentine
8:38.0,F. VanVleet makes 3-pt shot from 23 ft (assist by D. Wright),3,40-38,,
8:17.0,,,40-38,,Turnover by Z. LaVine (step out of bounds)
8:17.0,,,40-38,,K. Dunn enters the game for J. Grant
8:01.0,P. Siakam makes 3-pt shot from 23 ft (assist by D. Wright),3,43-38,,
7:44.0,,,43-40,2,B. Portis makes 2-pt shot from 7 ft
7:30.0,F. VanVleet misses 2-pt shot from 1 ft,,43-40,,
7:27.0,,,43-40,,Defensive rebound by D. Nwaba
7:25.0,,,43-40,,Shooting foul by D. Wright (drawn by B. Portis)
7:25.0,,,43-40,,B. Portis misses free throw 1 of 2
7:25.0,,,43-40,,Offensive rebound by Team
7:25.0,,,43-40,,L. Markkanen enters the game for P. Zipser
7:25.0,,,43-41,1,B. Portis makes free throw 2 of 2
7:14.0,Shooting foul by B. Portis (drawn by J. Poeltl),,43-41,,
7:14.0,J. Poeltl makes free throw 1 of 2,1,44-41,,
7:14.0,J. Poeltl makes free throw 2 of 2,1,45-41,,
6:59.0,,,45-41,,Turnover by Z. LaVine (lost ball; steal by D. Wright)
6:55.0,P. Siakam makes 2-pt shot from 1 ft (assist by C. Miles),2,47-41,,
6:30.0,,,47-43,2,L. Markkanen makes 2-pt shot from 1 ft
6:17.0,P. Siakam misses 2-pt shot from 2 ft,,47-43,,
6:17.0,,,47-43,,Defensive rebound by D. Nwaba
6:08.0,,,47-43,,K. Dunn misses 2-pt shot from 7 ft
6:06.0,Defensive rebound by F. VanVleet,,47-43,,
5:58.0,J. Poeltl makes 2-pt shot from 2 ft (assist by C. Miles),2,49-43,,
5:44.0,,,49-43,,K. Dunn misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by P. Siakam,,49-43,,
5:39.0,Shooting foul by L. Markkanen (drawn by P. Siakam),,49-43,,
5:39.0,P. Siakam makes free throw 1 of 2,1,50-43,,
