time,Denver,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. M. Plumlee (W. Matthews gains possession),,,,Jump ball: M. Kleber vs. M. Plumlee (W. Matthews gains possession)
11:37.0,,,0-3,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews)
11:24.0,J. Murray makes 3-pt shot from 23 ft (assist by G. Harris),3,3-3,,
11:06.0,,,3-3,,Shooting foul by J. Murray (drawn by D. Nowitzki)
11:06.0,,,3-4,1,D. Nowitzki makes free throw 1 of 2
11:06.0,,,3-5,1,D. Nowitzki makes free throw 2 of 2
10:56.0,K. Faried misses 2-pt shot from 8 ft (block by M. Kleber),,3-5,,
10:54.0,,,3-5,,Defensive rebound by D. Nowitzki
10:51.0,,,3-7,2,D. Smith makes 2-pt shot at rim
10:39.0,,,3-7,,Personal foul by D. Smith (drawn by J. Murray)
10:33.0,W. Chandler misses 3-pt shot from 25 ft,,3-7,,
10:30.0,,,3-7,,Defensive rebound by M. Kleber
10:25.0,,,3-7,,D. Smith misses 2-pt shot from 2 ft (block by M. Plumlee)
10:23.0,Defensive rebound by K. Faried,,3-7,,
10:13.0,W. Chandler misses 2-pt shot from 19 ft,,3-7,,
10:13.0,,,3-7,,Defensive rebound by M. Kleber
10:04.0,,,3-10,3,W. Matthews makes 3-pt shot from 26 ft
10:04.0,,,3-10,,Shooting foul by K. Faried (drawn by W. Matthews)
10:04.0,,,3-11,1,W. Matthews makes free throw 1 of 1
9:46.0,K. Faried misses 2-pt shot from 5 ft,,3-11,,
9:45.0,,,3-11,,Defensive rebound by D. Nowitzki
9:39.0,,,3-11,,H. Barnes misses 2-pt shot from 2 ft
9:37.0,Defensive rebound by M. Plumlee,,3-11,,
9:29.0,G. Harris makes 2-pt shot from 1 ft (assist by M. Plumlee),2,5-11,,
9:11.0,,,5-14,3,D. Smith makes 3-pt shot from 25 ft (assist by D. Nowitzki)
9:10.0,Denver full timeout,,5-14,,
8:54.0,G. Harris misses 2-pt shot from 17 ft,,5-14,,
8:52.0,Offensive rebound by K. Faried,,5-14,,
8:50.0,K. Faried misses 2-pt shot at rim,,5-14,,
8:48.0,Offensive rebound by M. Plumlee,,5-14,,
8:45.0,J. Murray makes 3-pt shot from 26 ft (assist by M. Plumlee),3,8-14,,
8:27.0,,,8-16,2,H. Barnes makes 2-pt shot from 11 ft
8:11.0,Shooting foul by D. Nowitzki (drawn by M. Plumlee),,8-16,,
8:11.0,M. Plumlee misses free throw 1 of 2,,8-16,,
