time,Portland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Nurkic (A. Aminu gains possession),,,,Jump ball: A. Drummond vs. J. Nurkic (A. Aminu gains possession)
11:47.0,Turnover by A. Aminu (bad pass),,0-0,,
11:32.0,,,0-0,,S. Johnson misses 2-pt shot from 6 ft
11:29.0,Defensive rebound by A. Aminu,,0-0,,
11:14.0,J. Nurkic makes 2-pt shot from 1 ft (assist by A. Aminu),2,2-0,,
10:52.0,,,2-0,,B. Griffin misses 2-pt shot from 5 ft
10:50.0,Defensive rebound by A. Aminu,,2-0,,
10:42.0,D. Lillard misses 3-pt shot from 25 ft,,2-0,,
10:39.0,,,2-0,,Defensive rebound by A. Drummond
10:26.0,,,2-0,,Turnover by A. Drummond (out of bounds lost ball)
10:07.0,,,2-0,,Violation by A. Drummond (kicked ball)
10:00.0,J. Nurkic misses 2-pt shot from 17 ft,,2-0,,
9:57.0,,,2-0,,Defensive rebound by A. Drummond
9:45.0,,,2-0,,B. Griffin misses 2-pt shot from 10 ft
9:41.0,Defensive rebound by D. Lillard,,2-0,,
9:36.0,D. Lillard makes 2-pt shot from 2 ft,2,4-0,,
9:22.0,,,4-0,,Shooting foul by J. Nurkic (drawn by R. Bullock)
9:22.0,,,4-1,1,R. Bullock makes free throw 1 of 2
9:22.0,,,4-2,1,R. Bullock makes free throw 2 of 2
9:10.0,Turnover by D. Lillard (bad pass),,4-2,,
8:59.0,,,4-2,,Turnover by S. Johnson (bad pass; steal by J. Nurkic)
8:53.0,C. McCollum misses 2-pt shot from 2 ft,,4-2,,
8:50.0,,,4-2,,Defensive rebound by B. Griffin
8:48.0,,,4-4,2,A. Drummond makes 2-pt shot at rim (assist by B. Griffin)
8:31.0,C. McCollum makes 3-pt shot from 27 ft (assist by M. Harkless),3,7-4,,
8:19.0,,,7-4,,I. Smith misses 2-pt shot from 2 ft (block by D. Lillard)
8:17.0,,,7-4,,Offensive rebound by A. Drummond
8:15.0,,,7-6,2,A. Drummond makes 2-pt shot from 2 ft
8:01.0,,,7-6,,Personal foul by A. Drummond (drawn by J. Nurkic)
7:48.0,J. Nurkic misses 2-pt shot from 6 ft,,7-6,,
7:45.0,,,7-6,,Defensive rebound by I. Smith
7:40.0,,,7-6,,Turnover by I. Smith (bad pass; steal by C. McCollum)
7:34.0,J. Nurkic misses 2-pt shot from 2 ft (block by S. Johnson),,7-6,,
7:30.0,,,7-6,,Defensive rebound by R. Bullock
7:27.0,,,7-9,3,R. Bullock makes 3-pt shot from 28 ft (assist by S. Johnson)
7:08.0,Turnover by J. Nurkic (bad pass; steal by I. Smith),,7-9,,
7:01.0,,,7-9,,I. Smith misses 2-pt shot from 16 ft
6:57.0,Defensive rebound by A. Aminu,,7-9,,
6:42.0,M. Harkless makes 2-pt shot from 1 ft,2,9-9,,
6:22.0,,,9-12,3,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin)
6:04.0,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard),2,11-12,,
5:49.0,,,11-12,,B. Griffin misses 3-pt shot from 25 ft
