time,Toronto,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: S. Labissiere vs. J. Valanciunas (D. DeRozan gains possession)
11:37.0,S. Ibaka makes 2-pt shot from 21 ft (assist by K. Lowry),2,2-0,,
11:18.0,,,2-0,,B. Bogdanovic misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by S. Ibaka,,2-0,,
11:05.0,S. Ibaka makes 2-pt shot from 3 ft (assist by D. DeRozan),2,4-0,,
10:44.0,,,4-0,,Shooting foul by S. Ibaka (drawn by Z. Randolph)
10:44.0,,,4-0,,Z. Randolph misses free throw 1 of 2
10:44.0,,,4-0,,Offensive rebound by Team
10:44.0,,,4-0,,Z. Randolph misses free throw 2 of 2
10:41.0,Defensive rebound by J. Valanciunas,,4-0,,
10:34.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,7-0,,
10:19.0,,,7-0,,Turnover by D. Fox (bad pass; steal by J. Valanciunas)
10:14.0,O. Anunoby makes 3-pt shot from 24 ft (assist by D. DeRozan),3,10-0,,
10:07.0,,,10-0,,Sacramento full timeout
9:58.0,,,10-0,,S. Labissiere misses 2-pt shot from 6 ft
9:55.0,Defensive rebound by J. Valanciunas,,10-0,,
9:47.0,S. Ibaka misses 3-pt shot from 24 ft,,10-0,,
9:45.0,Offensive rebound by O. Anunoby,,10-0,,
9:36.0,D. DeRozan makes 2-pt shot from 2 ft,2,12-0,,
9:26.0,,,12-0,,Turnover by S. Labissiere (offensive goaltending)
9:08.0,Shooting foul by G. Temple (drawn by D. DeRozan),,12-0,,
9:08.0,D. DeRozan misses free throw 1 of 2,,12-0,,
9:08.0,Offensive rebound by Team,,12-0,,
9:08.0,D. DeRozan makes free throw 2 of 2,1,13-0,,
8:45.0,,,13-2,2,Z. Randolph makes 2-pt shot from 16 ft (assist by B. Bogdanovic)
8:25.0,O. Anunoby makes 2-pt shot from 1 ft (assist by D. DeRozan),2,15-2,,
8:14.0,,,15-2,,Turnover by D. Fox (bad pass)
8:04.0,D. DeRozan makes 2-pt shot from 17 ft,2,17-2,,
7:54.0,,,17-2,,Turnover by D. Fox (out of bounds lost ball)
7:49.0,Turnover by D. DeRozan (bad pass; steal by G. Temple),,17-2,,
7:39.0,,,17-2,,Shooting foul by O. Anunoby (drawn by B. Bogdanovic)
7:39.0,,,17-2,,B. Bogdanovic misses free throw 1 of 2
7:39.0,,,17-2,,Offensive rebound by Team
7:39.0,,,17-3,1,B. Bogdanovic makes free throw 2 of 2
7:25.0,,,17-3,,Personal foul by G. Temple (drawn by D. DeRozan)
7:25.0,,,17-3,,J. Jackson enters the game for S. Labissiere
7:25.0,,,17-3,,J. Sampson enters the game for G. Temple
7:20.0,,,17-3,,Personal foul by B. Bogdanovic (drawn by D. DeRozan)
7:15.0,O. Anunoby misses 3-pt shot from 25 ft,,17-3,,
7:11.0,,,17-3,,Defensive rebound by J. Sampson
6:57.0,,,17-3,,Turnover by Z. Randolph (bad pass; steal by K. Lowry)
6:53.0,O. Anunoby misses 2-pt shot from 1 ft,,17-3,,
6:52.0,,,17-3,,Defensive rebound by J. Jackson
6:52.0,Personal foul by K. Lowry (drawn by J. Jackson),,17-3,,
6:38.0,,,17-5,2,J. Sampson makes 2-pt shot from 8 ft (assist by D. Fox)
6:31.0,K. Lowry misses 3-pt shot from 24 ft,,17-5,,
6:28.0,,,17-5,,Defensive rebound by J. Jackson
6:10.0,,,17-5,,Z. Randolph misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by K. Lowry,,17-5,,
6:05.0,Offensive foul by J. Valanciunas (drawn by Z. Randolph),,17-5,,
6:05.0,Turnover by J. Valanciunas (offensive foul),,17-5,,
5:51.0,,,17-5,,D. Fox misses 2-pt shot from 20 ft
5:48.0,Defensive rebound by K. Lowry,,17-5,,
5:40.0,,,17-5,,Personal foul by D. Fox (drawn by D. DeRozan)
5:29.0,S. Ibaka misses 3-pt shot from 24 ft,,17-5,,
5:24.0,Offensive rebound by O. Anunoby,,17-5,,
5:22.0,S. Ibaka misses 2-pt shot from 2 ft,,17-5,,
5:17.0,,,17-5,,Defensive rebound by Z. Randolph
5:15.0,,,17-5,,J. Jackson misses 3-pt shot from 22 ft
5:15.0,Defensive rebound by O. Anunoby,,17-5,,
4:57.0,S. Ibaka makes 3-pt shot from 23 ft (assist by K. Lowry),3,20-5,,
4:34.0,,,20-7,2,Z. Randolph makes 2-pt shot from 6 ft
4:21.0,Toronto full timeout,,20-7,,
4:21.0,,,20-7,,K. Koufos enters the game for Z. Randolph
4:21.0,,,20-7,,B. Hield enters the game for B. Bogdanovic
4:21.0,J. Poeltl enters the game for O. Anunoby,,20-7,,
4:21.0,C. Miles enters the game for S. Ibaka,,20-7,,
4:21.0,P. Siakam enters the game for J. Valanciunas,,20-7,,
4:15.0,K. Lowry misses 3-pt shot from 26 ft,,20-7,,
4:15.0,,,20-7,,Defensive rebound by J. Jackson
3:59.0,,,20-7,,Turnover by D. Fox (bad pass; steal by C. Miles)
3:51.0,C. Miles misses 3-pt shot from 25 ft,,20-7,,
3:48.0,,,20-7,,Defensive rebound by J. Sampson
3:41.0,,,20-10,3,B. Hield makes 3-pt shot from 23 ft (assist by K. Koufos)
3:17.0,D. DeRozan misses 2-pt shot from 17 ft,,20-10,,
