time,Washington,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Gortat,,,,Jump ball: D. Jordan vs. M. Gortat
11:57.0,Loose ball foul by M. Gortat (drawn by D. Jordan),,0-0,,
11:45.0,,,0-0,,Turnover by D. Jordan (bad pass)
11:34.0,M. Gortat makes 2-pt shot from 8 ft (assist by B. Beal),2,2-0,,
11:22.0,,,2-0,,S. Thornwell misses 2-pt shot from 21 ft
11:21.0,Defensive rebound by Team,,2-0,,
11:08.0,,,2-0,,Personal foul by D. Jordan (drawn by M. Gortat)
11:02.0,B. Beal misses 3-pt shot from 24 ft,,2-0,,
11:01.0,,,2-0,,Defensive rebound by Team
10:44.0,,,2-0,,D. Gallinari misses 2-pt shot from 16 ft
10:39.0,Defensive rebound by O. Porter,,2-0,,
10:36.0,,,2-0,,Violation by W. Johnson (kicked ball)
10:21.0,Turnover by M. Gortat (bad pass; steal by S. Thornwell),,2-0,,
10:10.0,,,2-0,,W. Johnson misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by T. Frazier,,2-0,,
9:57.0,M. Gortat makes 2-pt shot from 12 ft (assist by O. Porter),2,4-0,,
9:38.0,,,4-0,,A. Rivers misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by T. Frazier,,4-0,,
9:32.0,O. Porter makes 3-pt shot from 24 ft (assist by T. Frazier),3,7-0,,
9:29.0,,,7-0,,LA Clippers full timeout
9:14.0,,,7-0,,D. Gallinari misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by Team,,7-0,,
8:51.0,T. Frazier misses 2-pt shot from 19 ft,,7-0,,
8:46.0,,,7-0,,Defensive rebound by S. Thornwell
8:40.0,,,7-0,,Turnover by A. Rivers (bad pass; steal by B. Beal)
8:33.0,O. Porter makes 3-pt shot from 25 ft (assist by M. Morris),3,10-0,,
8:17.0,,,10-0,,Turnover by S. Thornwell (bad pass)
8:17.0,,,10-0,,J. Evans enters the game for S. Thornwell
8:17.0,,,10-0,,L. Williams enters the game for A. Rivers
8:05.0,O. Porter makes 3-pt shot from 25 ft (assist by T. Frazier),3,13-0,,
7:48.0,,,13-2,2,J. Evans makes 2-pt shot from 19 ft (assist by L. Williams)
7:33.0,T. Frazier makes 2-pt shot from 11 ft,2,15-2,,
7:23.0,,,15-4,2,L. Williams makes 2-pt shot from 12 ft
7:07.0,O. Porter misses 2-pt shot from 7 ft (block by W. Johnson),,15-4,,
7:06.0,Offensive rebound by M. Gortat,,15-4,,
7:05.0,M. Gortat misses 2-pt shot at rim,,15-4,,
7:05.0,,,15-4,,Defensive rebound by W. Johnson
6:53.0,,,15-4,,Shooting foul by M. Morris (drawn by D. Gallinari)
6:53.0,,,15-5,1,D. Gallinari makes free throw 1 of 2
6:53.0,,,15-5,,C. Williams enters the game for W. Johnson
6:53.0,,,15-6,1,D. Gallinari makes free throw 2 of 2
6:31.0,M. Morris makes 2-pt shot from 9 ft,2,17-6,,
6:13.0,,,17-6,,Shooting foul by M. Morris (drawn by D. Gallinari)
6:13.0,,,17-7,1,D. Gallinari makes free throw 1 of 2
6:13.0,K. Oubre enters the game for M. Morris,,17-7,,
6:13.0,,,17-8,1,D. Gallinari makes free throw 2 of 2
5:53.0,O. Porter misses 3-pt shot from 23 ft,,17-8,,
5:49.0,Offensive rebound by M. Gortat,,17-8,,
5:46.0,O. Porter makes 2-pt shot from 14 ft (assist by T. Frazier),2,19-8,,
5:32.0,,,19-10,2,L. Williams makes 2-pt shot from 1 ft (assist by D. Gallinari)
5:26.0,B. Beal misses 3-pt shot from 27 ft,,19-10,,
5:21.0,Offensive rebound by B. Beal,,19-10,,
5:20.0,B. Beal misses 2-pt shot from 13 ft,,19-10,,
5:18.0,,,19-10,,Defensive rebound by D. Jordan
5:15.0,,,19-10,,D. Gallinari misses 2-pt shot from 1 ft
5:11.0,Defensive rebound by K. Oubre,,19-10,,
5:09.0,Turnover by B. Beal (bad pass; steal by J. Evans),,19-10,,
5:02.0,,,19-10,,D. Gallinari misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by T. Frazier,,19-10,,
4:47.0,K. Oubre misses 2-pt shot from 4 ft,,19-10,,
4:43.0,,,19-10,,Defensive rebound by D. Jordan
4:39.0,,,19-12,2,D. Gallinari makes 2-pt shot at rim
4:39.0,,,19-12,,Shooting foul by K. Oubre (drawn by D. Gallinari)
4:39.0,,,19-13,1,D. Gallinari makes free throw 1 of 1
4:25.0,B. Beal misses 3-pt shot from 25 ft,,19-13,,
4:22.0,,,19-13,,Defensive rebound by D. Jordan
4:15.0,,,19-15,2,L. Williams makes 2-pt shot from 1 ft
3:59.0,Turnover by M. Gortat (bad pass),,19-15,,
3:59.0,,,19-15,,J. Wilson enters the game for D. Gallinari
3:46.0,,,19-18,3,J. Evans makes 3-pt shot from 24 ft (assist by L. Williams)
3:41.0,Washington full timeout,,19-18,,
3:41.0,I. Mahinmi enters the game for T. Frazier,,19-18,,
