time,Utah,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. E. Udoh (J. Johnson gains possession),,,,Jump ball: K. Love vs. E. Udoh (J. Johnson gains possession)
11:44.0,D. Mitchell makes 3-pt shot from 23 ft (assist by J. Johnson),3,3-0,,
11:30.0,,,3-0,,Turnover by L. James (bad pass; steal by D. Mitchell)
11:26.0,J. Ingles makes 3-pt shot from 26 ft (assist by R. Rubio),3,6-0,,
11:02.0,,,6-0,,K. Love misses 2-pt shot from 2 ft (block by E. Udoh)
10:59.0,Defensive rebound by J. Ingles,,6-0,,
10:48.0,D. Mitchell makes 2-pt shot from 8 ft (assist by J. Ingles),2,8-0,,
10:29.0,,,8-2,2,L. James makes 2-pt shot from 18 ft
10:13.0,E. Udoh makes 2-pt shot from 10 ft (assist by J. Ingles),2,10-2,,
10:03.0,,,10-4,2,L. James makes 2-pt shot at rim (assist by J. Smith)
9:35.0,D. Mitchell misses 3-pt shot from 27 ft,,10-4,,
9:33.0,,,10-4,,Defensive rebound by J. Calderon
9:29.0,,,10-7,3,L. James makes 3-pt shot from 25 ft (assist by J. Calderon)
9:00.0,R. Rubio misses 3-pt shot from 40 ft,,10-7,,
8:57.0,,,10-7,,Defensive rebound by L. James
8:53.0,,,10-7,,L. James misses 3-pt shot from 26 ft
8:51.0,,,10-7,,Offensive rebound by J. Crowder
8:49.0,,,10-7,,J. Crowder misses 2-pt shot at rim
8:49.0,Defensive rebound by E. Udoh,,10-7,,
8:31.0,E. Udoh misses 2-pt shot from 10 ft,,10-7,,
8:28.0,,,10-7,,Defensive rebound by L. James
8:24.0,,,10-7,,J. Smith misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by R. Rubio,,10-7,,
8:12.0,J. Johnson misses 2-pt shot from 9 ft,,10-7,,
8:12.0,,,10-7,,Defensive rebound by K. Love
8:07.0,,,10-9,2,J. Crowder makes 2-pt shot from 2 ft (assist by L. James)
8:07.0,Utah full timeout,,10-9,,
8:07.0,R. O'Neale enters the game for J. Ingles,,10-9,,
7:46.0,J. Johnson misses 2-pt shot from 22 ft,,10-9,,
7:44.0,,,10-9,,Defensive rebound by L. James
7:37.0,,,10-9,,K. Love misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by R. O'Neale,,10-9,,
7:29.0,R. Rubio misses 2-pt shot from 1 ft,,10-9,,
7:27.0,,,10-9,,Defensive rebound by J. Crowder
7:23.0,,,10-9,,J. Smith misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by R. O'Neale,,10-9,,
7:08.0,R. Rubio makes 3-pt shot from 26 ft (assist by R. O'Neale),3,13-9,,
6:50.0,,,13-11,2,K. Love makes 2-pt shot from 14 ft (assist by L. James)
6:32.0,Turnover by R. Rubio (bad pass; steal by J. Crowder),,13-11,,
6:12.0,,,13-11,,L. James misses 2-pt shot from 16 ft
6:10.0,Defensive rebound by R. Rubio,,13-11,,
6:02.0,J. Johnson misses 2-pt shot from 9 ft,,13-11,,
6:00.0,Offensive rebound by J. Johnson,,13-11,,
5:59.0,J. Johnson makes 2-pt shot from 6 ft,2,15-11,,
5:51.0,Personal foul by D. Mitchell (drawn by J. Smith),,15-11,,
5:51.0,R. Hood enters the game for R. Rubio,,15-11,,
5:44.0,,,15-13,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
5:31.0,,,15-13,,T. Thompson enters the game for J. Crowder
5:31.0,J. Jerebko enters the game for E. Udoh,,15-13,,
5:17.0,D. Mitchell misses 2-pt shot from 9 ft,,15-13,,
5:15.0,,,15-13,,Defensive rebound by T. Thompson
5:09.0,,,15-13,,K. Love misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by Team,,15-13,,
