time,Phoenix,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. T. Chandler,,,,Jump ball: T. Mozgov vs. T. Chandler
11:43.0,,,0-0,,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Chriss)
11:23.0,M. James makes 3-pt shot from 23 ft (assist by D. Booker),3,3-0,,
11:11.0,,,3-2,2,T. Mozgov makes 2-pt shot from 8 ft
10:53.0,M. James makes 3-pt shot from 24 ft (assist by D. Booker),3,6-2,,
10:47.0,Personal foul by T. Chandler (drawn by T. Mozgov),,6-2,,
10:39.0,,,6-2,,D. Russell misses 2-pt shot from 17 ft
10:35.0,Defensive rebound by T. Warren,,6-2,,
10:33.0,,,6-2,,Personal foul by D. Russell (drawn by M. James)
10:26.0,T. Warren misses 2-pt shot from 14 ft,,6-2,,
10:23.0,,,6-2,,Defensive rebound by R. Hollis-Jefferson
10:18.0,,,6-5,3,D. Carroll makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
10:05.0,M. James misses 2-pt shot from 3 ft,,6-5,,
10:02.0,,,6-5,,Defensive rebound by T. Mozgov
9:59.0,,,6-5,,D. Russell misses 2-pt shot from 2 ft
9:54.0,,,6-5,,Offensive rebound by C. LeVert
9:49.0,,,6-7,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert)
9:29.0,Turnover by M. James (bad pass),,6-7,,
9:17.0,,,6-9,2,D. Russell makes 2-pt shot from 20 ft
9:02.0,D. Booker misses 2-pt shot from 17 ft,,6-9,,
8:58.0,,,6-9,,Defensive rebound by R. Hollis-Jefferson
8:55.0,,,6-9,,Shooting foul by M. Chriss (drawn by R. Hollis-Jefferson)
8:55.0,,,6-9,,R. Hollis-Jefferson misses free throw 1 of 2
8:55.0,,,6-9,,Offensive rebound by Team
8:55.0,,,6-9,,R. Hollis-Jefferson misses free throw 2 of 2
8:53.0,Defensive rebound by T. Chandler,,6-9,,
8:30.0,T. Warren misses 3-pt shot from 29 ft,,6-9,,
8:30.0,Offensive rebound by Team,,6-9,,
8:30.0,Turnover by Team (shot clock),,6-9,,
8:19.0,,,6-11,2,D. Russell makes 2-pt shot from 19 ft
8:08.0,M. James makes 2-pt shot from 9 ft,2,8-11,,
8:01.0,,,8-14,3,D. Russell makes 3-pt shot from 25 ft
7:44.0,Shooting foul by T. Mozgov (drawn by M. Chriss),,8-14,,
7:44.0,M. Chriss makes free throw 1 of 2,1,9-14,,
7:44.0,M. Chriss makes free throw 2 of 2,1,10-14,,
7:37.0,Personal foul by D. Booker (drawn by D. Russell),,10-14,,
7:31.0,,,10-14,,Turnover by T. Mozgov (lost ball; steal by M. James)
7:24.0,M. James makes 2-pt shot from 1 ft,2,12-14,,
7:11.0,,,12-14,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
7:08.0,Defensive rebound by T. Warren,,12-14,,
7:02.0,Turnover by M. James (bad pass; steal by R. Hollis-Jefferson),,12-14,,
6:57.0,,,12-14,,C. LeVert misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by M. James,,12-14,,
6:49.0,M. James misses 3-pt shot from 24 ft,,12-14,,
6:49.0,,,12-14,,Defensive rebound by T. Mozgov
6:40.0,,,12-14,,D. Carroll misses 2-pt shot from 21 ft
6:40.0,Defensive rebound by T. Chandler,,12-14,,
6:22.0,,,12-14,,Brooklyn full timeout
6:22.0,D. Bender enters the game for M. Chriss,,12-14,,
6:16.0,M. James misses 2-pt shot from 11 ft,,12-14,,
6:09.0,,,12-14,,Defensive rebound by D. Russell
5:58.0,,,12-16,2,R. Hollis-Jefferson makes 2-pt shot from 12 ft
5:44.0,D. Booker makes 3-pt shot from 24 ft (assist by M. James),3,15-16,,
5:44.0,,,15-16,,Brooklyn full timeout
5:44.0,,,15-16,,A. Crabbe enters the game for T. Mozgov
5:44.0,,,15-16,,T. Zeller enters the game for C. LeVert
5:29.0,,,15-18,2,D. Russell makes 2-pt shot from 19 ft
5:18.0,,,15-18,,Personal foul by R. Hollis-Jefferson (drawn by D. Booker)
5:10.0,Turnover by D. Booker (lost ball; steal by T. Zeller),,15-18,,
5:06.0,,,15-18,,Turnover by D. Russell (bad pass; steal by M. James)
5:00.0,D. Booker makes 2-pt shot from 18 ft (assist by M. James),2,17-18,,
4:53.0,,,17-20,2,D. Russell makes 2-pt shot from 5 ft
4:41.0,T. Chandler misses 2-pt shot from 4 ft,,17-20,,
4:41.0,,,17-20,,Defensive rebound by R. Hollis-Jefferson
4:37.0,,,17-20,,R. Hollis-Jefferson misses 2-pt shot at rim
4:37.0,Defensive rebound by D. Booker,,17-20,,
4:31.0,D. Booker makes 2-pt shot from 10 ft,2,19-20,,
4:21.0,,,19-20,,S. Dinwiddie enters the game for D. Russell
4:21.0,,,19-20,,T. Booker enters the game for R. Hollis-Jefferson
4:21.0,J. Jackson enters the game for T. Chandler,,19-20,,
4:21.0,A. Len enters the game for T. Warren,,19-20,,
4:11.0,,,19-20,,A. Crabbe misses 2-pt shot from 21 ft
4:11.0,Defensive rebound by A. Len,,19-20,,
4:03.0,A. Len misses 2-pt shot from 9 ft,,19-20,,
4:02.0,,,19-20,,Defensive rebound by A. Crabbe
3:53.0,,,19-20,,T. Zeller misses 2-pt shot from 2 ft
3:52.0,,,19-20,,Offensive rebound by Team
