time,Miami,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. H. Whiteside (T. Johnson gains possession),,,,Jump ball: J. Embiid vs. H. Whiteside (T. Johnson gains possession)
11:49.0,Turnover by H. Whiteside (out of bounds lost ball),,0-0,,
11:42.0,Personal foul by J. Richardson (drawn by J. Redick),,0-0,,
11:35.0,,,0-3,3,J. Redick makes 3-pt shot from 26 ft (assist by D. Saric)
11:20.0,T. Johnson misses 2-pt shot from 14 ft,,0-3,,
11:17.0,,,0-3,,Defensive rebound by B. Simmons
11:12.0,,,0-3,,Turnover by J. Embiid (step out of bounds)
11:00.0,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson),3,3-3,,
10:49.0,,,3-5,2,J. Embiid makes 2-pt shot from 2 ft (assist by D. Saric)
10:49.0,,,3-5,,Shooting foul by H. Whiteside (drawn by J. Embiid)
10:49.0,,,3-6,1,J. Embiid makes free throw 1 of 1
10:44.0,G. Dragic misses 3-pt shot from 26 ft,,3-6,,
10:41.0,Offensive rebound by H. Whiteside,,3-6,,
10:41.0,H. Whiteside misses 2-pt shot from 5 ft,,3-6,,
10:38.0,Offensive rebound by H. Whiteside,,3-6,,
10:38.0,Shooting foul by D. Saric (drawn by H. Whiteside),,3-6,,
10:38.0,H. Whiteside misses free throw 1 of 2,,3-6,,
10:38.0,Offensive rebound by Team,,3-6,,
10:38.0,H. Whiteside misses free throw 2 of 2,,3-6,,
10:36.0,,,3-6,,Defensive rebound by J. Embiid
10:29.0,,,3-6,,Shooting foul by J. Richardson (drawn by B. Simmons)
10:29.0,,,3-7,1,B. Simmons makes free throw 1 of 2
10:29.0,R. McGruder enters the game for J. Richardson,,3-7,,
10:29.0,,,3-8,1,B. Simmons makes free throw 2 of 2
10:14.0,Turnover by J. Johnson (bad pass; steal by B. Simmons),,3-8,,
10:01.0,,,3-8,,J. Embiid misses 2-pt shot from 9 ft (block by H. Whiteside)
9:58.0,Defensive rebound by R. McGruder,,3-8,,
9:51.0,H. Whiteside misses 2-pt shot from 15 ft,,3-8,,
9:48.0,,,3-8,,Defensive rebound by D. Saric
9:39.0,,,3-8,,B. Simmons misses 2-pt shot from 4 ft
9:35.0,Defensive rebound by T. Johnson,,3-8,,
9:31.0,T. Johnson makes 2-pt shot from 10 ft,2,5-8,,
9:15.0,,,5-8,,J. Embiid misses 2-pt shot from 3 ft
9:13.0,Defensive rebound by R. McGruder,,5-8,,
9:07.0,H. Whiteside misses 2-pt shot from 6 ft,,5-8,,
9:05.0,,,5-8,,Defensive rebound by R. Covington
8:52.0,,,5-8,,J. Redick misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by R. McGruder,,5-8,,
8:44.0,B. Adebayo enters the game for H. Whiteside,,5-8,,
8:32.0,T. Johnson makes 2-pt shot from 10 ft (assist by J. Johnson),2,7-8,,
8:23.0,,,7-8,,D. Saric misses 3-pt shot from 26 ft
8:23.0,Defensive rebound by Team,,7-8,,
8:15.0,,,7-8,,Personal foul by R. Covington (drawn by G. Dragic)
8:06.0,T. Johnson misses 3-pt shot from 26 ft,,7-8,,
8:04.0,,,7-8,,Defensive rebound by B. Simmons
7:55.0,,,7-8,,J. Embiid misses 2-pt shot from 4 ft
7:54.0,,,7-8,,Offensive rebound by J. Embiid
7:52.0,,,7-8,,J. Embiid misses 2-pt shot from 6 ft (block by J. Johnson)
7:52.0,Defensive rebound by J. Johnson,,7-8,,
7:38.0,Turnover by G. Dragic (bad pass),,7-8,,
7:25.0,,,7-10,2,R. Covington makes 2-pt shot from 1 ft (assist by D. Saric)
7:04.0,G. Dragic misses 3-pt shot from 26 ft,,7-10,,
7:00.0,,,7-10,,Defensive rebound by D. Saric
6:44.0,,,7-12,2,B. Simmons makes 2-pt shot from 3 ft (assist by J. Embiid)
6:44.0,,,7-12,,Shooting foul by R. McGruder (drawn by B. Simmons)
6:44.0,,,7-12,,Philadelphia full timeout
6:44.0,,,7-12,,A. Johnson enters the game for J. Redick
6:44.0,,,7-12,,M. Belinelli enters the game for J. Embiid
6:44.0,J. Winslow enters the game for B. Adebayo,,7-12,,
6:44.0,K. Olynyk enters the game for R. McGruder,,7-12,,
6:44.0,,,7-13,1,B. Simmons makes free throw 1 of 1
6:26.0,K. Olynyk misses 3-pt shot from 23 ft,,7-13,,
6:22.0,,,7-13,,Defensive rebound by D. Saric
6:13.0,,,7-13,,Turnover by D. Saric (traveling)
5:55.0,T. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk),2,9-13,,
5:38.0,,,9-13,,D. Saric misses 2-pt shot from 14 ft
5:36.0,,,9-13,,Offensive rebound by A. Johnson
5:26.0,,,9-13,,B. Simmons misses 2-pt shot from 14 ft
5:25.0,Defensive rebound by Team,,9-13,,
5:13.0,J. Winslow makes 3-pt shot from 26 ft (assist by G. Dragic),3,12-13,,
