time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. L. Aldridge (D. Green gains possession),,,,Jump ball: J. McGee vs. L. Aldridge (D. Green gains possession)
11:48.0,,,0-0,,K. Thompson misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by K. Anderson,,0-0,,
11:40.0,P. Mills makes 3-pt shot from 24 ft (assist by D. Bertans),3,3-0,,
11:27.0,,,3-0,,D. Green misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by L. Aldridge,,3-0,,
11:14.0,D. Murray misses 2-pt shot from 2 ft (block by D. Green),,3-0,,
11:09.0,,,3-0,,Defensive rebound by K. Thompson
11:00.0,,,3-0,,K. Thompson misses 2-pt shot from 16 ft
10:56.0,Defensive rebound by Team,,3-0,,
10:41.0,L. Aldridge misses 2-pt shot from 14 ft,,3-0,,
10:37.0,,,3-0,,Defensive rebound by D. Green
10:26.0,,,3-0,,K. Durant misses 2-pt shot from 13 ft
10:23.0,Defensive rebound by Team,,3-0,,
10:00.0,L. Aldridge misses 3-pt shot from 25 ft,,3-0,,
9:55.0,,,3-0,,Defensive rebound by D. Green
9:50.0,,,3-0,,S. Curry misses 2-pt shot from 15 ft
9:48.0,Defensive rebound by K. Anderson,,3-0,,
9:45.0,Turnover by D. Murray (bad pass; steal by D. Green),,3-0,,
9:38.0,,,3-0,,Shooting foul by D. Murray (drawn by S. Curry)
9:38.0,,,3-0,,Golden State full timeout
9:38.0,,,3-1,1,S. Curry makes free throw 1 of 2
9:38.0,,,3-2,1,S. Curry makes free throw 2 of 2
9:37.0,,,3-2,,Personal foul by J. McGee (drawn by L. Aldridge)
9:37.0,,,3-2,,Q. Cook enters the game for S. Curry
9:16.0,L. Aldridge misses 2-pt shot from 8 ft (block by J. McGee),,3-2,,
9:12.0,,,3-2,,Defensive rebound by Q. Cook
9:04.0,,,3-2,,Q. Cook misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by D. Murray,,3-2,,
8:52.0,D. Bertans makes 2-pt shot from 2 ft (assist by K. Anderson),2,5-2,,
8:38.0,,,5-2,,K. Durant misses 2-pt shot from 3 ft
8:37.0,,,5-2,,Offensive rebound by J. McGee
8:37.0,,,5-2,,J. McGee misses 2-pt shot at rim
8:36.0,,,5-2,,Offensive rebound by J. McGee
8:36.0,,,5-2,,J. McGee misses 2-pt shot at rim
8:35.0,,,5-2,,Offensive rebound by J. McGee
8:35.0,,,5-2,,J. McGee misses 2-pt shot at rim
8:35.0,,,5-2,,Offensive rebound by Team
8:31.0,,,5-2,,K. Thompson misses 2-pt shot from 17 ft
8:25.0,Defensive rebound by K. Anderson,,5-2,,
8:22.0,K. Anderson makes 2-pt shot from 1 ft (assist by P. Mills),2,7-2,,
8:04.0,,,7-2,,K. Thompson misses 2-pt shot from 11 ft
8:00.0,Defensive rebound by L. Aldridge,,7-2,,
7:59.0,D. Bertans misses 2-pt shot from 2 ft (block by K. Durant),,7-2,,
7:54.0,,,7-2,,Defensive rebound by K. Durant
7:50.0,,,7-4,2,Q. Cook makes 2-pt shot from 17 ft (assist by K. Durant)
7:35.0,D. Murray misses 2-pt shot from 16 ft,,7-4,,
7:33.0,,,7-4,,Defensive rebound by K. Durant
7:32.0,Personal foul by K. Anderson (drawn by K. Durant),,7-4,,
7:23.0,,,7-4,,D. Green misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by D. Murray,,7-4,,
7:07.0,P. Mills misses 2-pt shot from 7 ft,,7-4,,
7:00.0,,,7-4,,Defensive rebound by J. McGee
6:58.0,,,7-7,3,K. Durant makes 3-pt shot from 25 ft
