time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. C. Capela (T. Harris gains possession),,,,Jump ball: D. Jordan vs. C. Capela (T. Harris gains possession)
11:39.0,,,0-0,,C. Williams misses 2-pt shot from 19 ft
11:37.0,,,0-0,,Offensive rebound by D. Jordan
11:35.0,,,0-2,2,D. Jordan makes 2-pt shot from 2 ft
11:12.0,J. Harden makes 2-pt shot from 1 ft,2,2-2,,
10:51.0,,,2-2,,A. Rivers misses 3-pt shot from 27 ft
10:48.0,Defensive rebound by C. Capela,,2-2,,
10:40.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,4-2,,
10:24.0,,,4-2,,M. Teodosic misses 2-pt shot from 13 ft
10:22.0,Defensive rebound by C. Capela,,4-2,,
10:16.0,T. Ariza makes 2-pt shot from 2 ft (assist by C. Paul),2,6-2,,
9:49.0,,,6-2,,T. Harris misses 2-pt shot from 13 ft (block by P. Tucker)
9:49.0,,,6-2,,Offensive rebound by Team
9:49.0,,,6-2,,Turnover by Team (shot clock)
9:36.0,J. Harden misses 3-pt shot from 26 ft,,6-2,,
9:34.0,,,6-2,,Defensive rebound by D. Jordan
9:30.0,,,6-4,2,T. Harris makes 2-pt shot from 1 ft (assist by C. Williams)
9:30.0,,,6-4,,Shooting foul by P. Tucker (drawn by T. Harris)
9:30.0,,,6-5,1,T. Harris makes free throw 1 of 1
9:17.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,8-5,,
9:03.0,,,8-5,,Offensive charge foul by A. Rivers (drawn by P. Tucker)
9:03.0,,,8-5,,Turnover by A. Rivers (offensive foul)
8:51.0,P. Tucker misses 3-pt shot from 23 ft,,8-5,,
8:49.0,,,8-5,,Defensive rebound by A. Rivers
8:34.0,,,8-5,,M. Teodosic misses 3-pt shot from 27 ft
8:32.0,Defensive rebound by T. Ariza,,8-5,,
8:21.0,Shooting foul by T. Harris (drawn by J. Harden),,8-5,,
8:21.0,J. Harden makes free throw 1 of 2,1,9-5,,
8:21.0,J. Harden makes free throw 2 of 2,1,10-5,,
8:05.0,,,10-5,,C. Williams misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by P. Tucker,,10-5,,
7:50.0,P. Tucker misses 3-pt shot from 24 ft,,10-5,,
7:47.0,,,10-5,,Defensive rebound by M. Teodosic
7:41.0,,,10-5,,A. Rivers misses 2-pt shot from 3 ft
7:38.0,Defensive rebound by C. Capela,,10-5,,
7:35.0,P. Tucker misses 2-pt shot from 2 ft (block by D. Jordan),,10-5,,
7:35.0,Offensive rebound by Team,,10-5,,
