time,Cleveland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. K. Love (T. Harris gains possession),,,,Jump ball: A. Drummond vs. K. Love (T. Harris gains possession)
11:45.0,,,0-0,,Turnover by A. Drummond (lost ball; steal by J. Smith)
11:40.0,J. Smith misses 3-pt shot from 24 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by S. Johnson
11:27.0,,,0-0,,Turnover by A. Drummond (bad pass; steal by L. James)
11:22.0,L. James makes 2-pt shot from 2 ft,2,2-0,,
11:22.0,Shooting foul by S. Johnson (drawn by L. James),,2-0,,
11:22.0,L. James makes free throw 1 of 1,1,3-0,,
11:08.0,,,3-3,3,T. Harris makes 3-pt shot from 28 ft (assist by A. Bradley)
10:54.0,Turnover by J. Calderon (bad pass; steal by S. Johnson),,3-3,,
10:51.0,,,3-3,,Shooting foul by J. Calderon (drawn by S. Johnson)
10:51.0,,,3-3,,S. Johnson misses free throw 1 of 2
10:51.0,,,3-3,,Offensive rebound by Team
10:51.0,,,3-4,1,S. Johnson makes free throw 2 of 2
10:38.0,K. Love misses 2-pt shot from 19 ft,,3-4,,
10:36.0,,,3-4,,Defensive rebound by A. Drummond
10:28.0,,,3-4,,Turnover by T. Harris (bad pass)
10:15.0,K. Love makes 2-pt shot from 4 ft (assist by J. Calderon),2,5-4,,
9:57.0,,,5-4,,T. Harris misses 3-pt shot from 26 ft
9:54.0,Defensive rebound by K. Love,,5-4,,
9:49.0,L. James makes 2-pt shot from 18 ft,2,7-4,,
9:30.0,,,7-6,2,A. Bradley makes 2-pt shot from 22 ft (assist by A. Drummond)
9:14.0,Turnover by K. Love (bad pass; steal by A. Drummond),,7-6,,
9:08.0,,,7-9,3,T. Harris makes 3-pt shot from 24 ft (assist by A. Bradley)
8:51.0,J. Crowder makes 3-pt shot from 26 ft (assist by L. James),3,10-9,,
8:34.0,,,10-11,2,A. Bradley makes 2-pt shot from 5 ft (assist by A. Drummond)
8:11.0,Shooting foul by A. Drummond (drawn by J. Crowder),,10-11,,
8:11.0,J. Crowder makes free throw 1 of 2,1,11-11,,
8:11.0,J. Crowder makes free throw 2 of 2,1,12-11,,
7:55.0,,,12-11,,A. Drummond misses 2-pt shot from 3 ft
7:52.0,Defensive rebound by K. Love,,12-11,,
7:44.0,L. James makes 3-pt shot from 26 ft,3,15-11,,
7:28.0,,,15-13,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
7:03.0,J. Crowder misses 2-pt shot from 1 ft,,15-13,,
7:02.0,,,15-13,,Defensive rebound by A. Drummond
6:50.0,,,15-15,2,A. Bradley makes 2-pt shot from 19 ft (assist by R. Jackson)
6:30.0,K. Love makes 2-pt shot from 3 ft,2,17-15,,
6:13.0,,,17-15,,R. Jackson misses 2-pt shot from 4 ft
6:11.0,Defensive rebound by K. Love,,17-15,,
6:03.0,L. James misses 2-pt shot from 1 ft,,17-15,,
6:01.0,,,17-15,,Defensive rebound by T. Harris
5:56.0,,,17-18,3,A. Bradley makes 3-pt shot from 23 ft (assist by T. Harris)
5:55.0,Cleveland full timeout,,17-18,,
5:33.0,L. James makes 3-pt shot from 28 ft,3,20-18,,
5:10.0,,,20-18,,Turnover by A. Bradley (traveling)
5:01.0,K. Love misses 2-pt shot from 6 ft,,20-18,,
4:58.0,,,20-18,,Defensive rebound by T. Harris
4:45.0,,,20-18,,A. Drummond misses 2-pt shot from 5 ft (block by L. James)
4:42.0,Defensive rebound by L. James,,20-18,,
4:38.0,L. James makes 3-pt shot from 25 ft,3,23-18,,
4:24.0,Violation by J. Calderon (kicked ball),,23-18,,
4:24.0,,,23-18,,I. Smith enters the game for S. Johnson
4:24.0,,,23-18,,A. Tolliver enters the game for R. Jackson
4:15.0,,,23-18,,Turnover by A. Bradley (bad pass)
4:15.0,D. Wade enters the game for J. Calderon,,23-18,,
3:55.0,L. James makes 2-pt shot from 13 ft,2,25-18,,
3:48.0,,,25-18,,Detroit full timeout
3:31.0,,,25-18,,T. Harris misses 2-pt shot from 1 ft
3:30.0,,,25-18,,Offensive rebound by A. Drummond
3:30.0,,,25-20,2,A. Drummond makes 2-pt shot at rim
3:08.0,L. James misses 3-pt shot from 26 ft,,25-20,,
3:04.0,,,25-20,,Defensive rebound by T. Harris
2:51.0,,,25-22,2,I. Smith makes 2-pt shot from 8 ft
2:26.0,K. Love makes 2-pt shot from 1 ft (assist by J. Smith),2,27-22,,
2:12.0,,,27-22,,Shooting foul by K. Love (drawn by A. Drummond)
2:12.0,,,27-22,,A. Drummond misses free throw 1 of 2
2:12.0,,,27-22,,Offensive rebound by Team
2:12.0,,,27-22,,L. Galloway enters the game for A. Bradley
2:12.0,K. Korver enters the game for J. Smith,,27-22,,
2:12.0,J. Green enters the game for L. James,,27-22,,
2:12.0,C. Frye enters the game for J. Crowder,,27-22,,
2:12.0,,,27-23,1,A. Drummond makes free throw 2 of 2
2:02.0,K. Love makes 2-pt shot from 1 ft (assist by D. Wade),2,29-23,,
2:02.0,Shooting foul by I. Smith (drawn by K. Love),,29-23,,
2:02.0,,,29-23,,E. Moreland enters the game for A. Drummond
2:02.0,K. Love makes free throw 1 of 1,1,30-23,,
1:51.0,,,30-23,,I. Smith misses 2-pt shot from 17 ft
1:48.0,Defensive rebound by K. Love,,30-23,,
1:44.0,,,30-23,,Personal foul by A. Tolliver (drawn by K. Love)
1:35.0,D. Wade makes 2-pt shot from 6 ft,2,32-23,,
1:26.0,,,32-23,,I. Smith misses 2-pt shot from 3 ft
1:26.0,Defensive rebound by K. Love,,32-23,,
1:21.0,,,32-23,,S. Johnson enters the game for T. Harris
1:11.0,D. Wade misses 2-pt shot from 3 ft,,32-23,,
1:07.0,,,32-23,,Defensive rebound by A. Tolliver
