time,LA Lakers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Randle (R. Anderson gains possession),,,,Jump ball: C. Capela vs. J. Randle (R. Anderson gains possession)
11:34.0,,,0-0,,C. Paul misses 2-pt shot from 18 ft
11:28.0,Defensive rebound by J. Randle,,0-0,,
11:17.0,B. Ingram makes 2-pt shot from 20 ft,2,2-0,,
11:08.0,,,2-0,,Shooting foul by T. Ennis (drawn by C. Capela)
11:08.0,,,2-1,1,C. Capela makes free throw 1 of 2
11:08.0,,,2-1,,C. Capela misses free throw 2 of 2
11:06.0,Defensive rebound by J. Randle,,2-1,,
10:55.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram),2,4-1,,
10:43.0,,,4-3,2,J. Harden makes 2-pt shot from 12 ft
10:33.0,Turnover by J. Randle (out of bounds lost ball),,4-3,,
10:23.0,,,4-3,,R. Anderson misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by J. Randle,,4-3,,
10:15.0,J. Randle misses 2-pt shot from 6 ft (block by C. Capela),,4-3,,
10:11.0,Offensive rebound by B. Ingram,,4-3,,
10:11.0,Turnover by B. Ingram (bad pass),,4-3,,
10:06.0,,,4-6,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Paul)
10:06.0,,,4-6,,Shooting foul by J. Hart (drawn by J. Harden)
10:06.0,,,4-7,1,J. Harden makes free throw 1 of 1
9:50.0,J. Hart makes 3-pt shot from 24 ft (assist by T. Ennis),3,7-7,,
9:38.0,,,7-7,,T. Ariza misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by J. Randle,,7-7,,
9:29.0,T. Ennis makes 2-pt shot at rim,2,9-7,,
9:21.0,,,9-10,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden)
9:09.0,K. Kuzma makes 2-pt shot from 1 ft (assist by J. Randle),2,11-10,,
8:51.0,,,11-12,2,T. Ariza makes 2-pt shot from 4 ft
8:38.0,J. Randle misses 2-pt shot at rim,,11-12,,
8:36.0,Offensive rebound by J. Randle,,11-12,,
8:35.0,J. Randle makes 2-pt shot at rim,2,13-12,,
8:11.0,,,13-12,,Turnover by Team (shot clock)
8:03.0,,,13-12,,Personal foul by R. Anderson (drawn by K. Kuzma)
8:02.0,Offensive foul by J. Randle (drawn by T. Ariza),,13-12,,
8:02.0,Turnover by J. Randle (offensive foul),,13-12,,
7:45.0,,,13-15,3,R. Anderson makes 3-pt shot from 26 ft (assist by C. Paul)
7:31.0,K. Kuzma makes 3-pt shot from 24 ft (assist by J. Randle),3,16-15,,
7:14.0,,,16-15,,C. Paul misses 3-pt shot from 22 ft
7:11.0,,,16-15,,Offensive rebound by C. Capela
