time,Philadelphia,pts.away,score,pts.home,Denver
5:26.0,,,99-93,3,N. Jokic makes 3-pt shot from 26 ft (assist by G. Harris)
5:09.0,R. Holmes makes 2-pt shot from 6 ft (assist by D. Saric),2,101-93,,
4:57.0,,,101-95,2,J. Murray makes 2-pt shot from 8 ft
4:51.0,R. Covington misses 3-pt shot from 25 ft,,101-95,,
4:46.0,,,101-95,,Defensive rebound by T. Lyles
4:40.0,Personal foul by R. Holmes (drawn by N. Jokic),,101-95,,
4:40.0,J. Redick enters the game for B. Simmons,,101-95,,
4:26.0,,,101-95,,J. Murray misses 3-pt shot from 25 ft
4:20.0,,,101-95,,Offensive rebound by N. Jokic
4:20.0,,,101-97,2,N. Jokic makes 2-pt shot at rim
4:10.0,J. Redick makes 2-pt shot from 21 ft,2,103-97,,
3:48.0,,,103-97,,G. Harris misses 3-pt shot from 26 ft
3:48.0,Defensive rebound by Team,,103-97,,
3:33.0,D. Saric misses 3-pt shot from 25 ft,,103-97,,
3:30.0,,,103-97,,Defensive rebound by N. Jokic
3:22.0,,,103-97,,J. Murray misses 2-pt shot from 8 ft (block by R. Holmes)
3:19.0,Defensive rebound by R. Covington,,103-97,,
3:04.0,T. McConnell misses 3-pt shot from 22 ft (block by N. Jokic),,103-97,,
3:00.0,,,103-97,,Defensive rebound by T. Lyles
2:56.0,,,103-97,,Shooting foul by R. Holmes (drawn by T. Lyles)
2:56.0,A. Johnson enters the game for R. Holmes,,103-97,,
2:56.0,B. Simmons enters the game for T. McConnell,,103-97,,
2:56.0,,,103-97,,T. Lyles misses free throw 1 of 2
2:56.0,,,103-97,,Offensive rebound by Team
2:56.0,,,103-97,,W. Barton enters the game for G. Harris
2:56.0,,,103-98,1,T. Lyles makes free throw 2 of 2
2:44.0,A. Johnson misses 2-pt shot from 3 ft (block by N. Jokic),,103-98,,
2:44.0,,,103-98,,Defensive rebound by Team
2:36.0,,,103-98,,T. Lyles misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by R. Covington,,103-98,,
2:15.0,J. Bayless enters the game for A. Johnson,,103-98,,
2:12.0,Turnover by B. Simmons (bad pass; steal by J. Murray),,103-98,,
2:05.0,,,103-98,,Turnover by W. Chandler (bad pass)
1:53.0,J. Redick misses 3-pt shot from 26 ft,,103-98,,
1:49.0,Offensive rebound by Team,,103-98,,
1:49.0,,,103-98,,G. Harris enters the game for W. Chandler
1:45.0,D. Saric misses 3-pt shot from 24 ft,,103-98,,
1:42.0,,,103-98,,Defensive rebound by T. Lyles
1:35.0,,,103-98,,N. Jokic misses 2-pt shot at rim
1:34.0,,,103-98,,Offensive rebound by N. Jokic
1:34.0,,,103-98,,N. Jokic misses 2-pt shot at rim
1:34.0,Defensive rebound by Team,,103-98,,
1:32.0,,,103-98,,Personal take foul by W. Barton (drawn by B. Simmons)
1:14.0,J. Bayless misses 2-pt shot from 14 ft,,103-98,,
1:11.0,,,103-98,,Defensive rebound by T. Lyles
1:01.0,Personal foul by B. Simmons (drawn by N. Jokic),,103-98,,
1:01.0,,,103-99,1,N. Jokic makes free throw 1 of 2
1:01.0,,,103-100,1,N. Jokic makes free throw 2 of 2
0:36.0,J. Bayless misses 2-pt shot from 6 ft (block by T. Lyles),,103-100,,
0:34.0,,,103-100,,Defensive rebound by J. Murray
0:25.0,,,103-100,,W. Barton misses 3-pt shot from 27 ft
0:21.0,Defensive rebound by D. Saric,,103-100,,
0:21.0,Philadelphia full timeout,,103-100,,
0:21.0,Philadelphia full timeout,,103-100,,
0:21.0,,,103-100,,W. Chandler enters the game for N. Jokic
0:21.0,,,103-100,,T. Craig enters the game for J. Murray
0:19.0,,,103-100,,Personal foul by W. Chandler (drawn by R. Covington)
0:19.0,R. Covington makes free throw 1 of 2,1,104-100,,
0:19.0,,,104-100,,N. Jokic enters the game for T. Craig
0:19.0,T. McConnell enters the game for D. Saric,,104-100,,
0:19.0,R. Covington makes free throw 2 of 2,1,105-100,,
0:19.0,,,105-100,,Denver full timeout
0:19.0,,,105-100,,J. Murray enters the game for W. Chandler
0:19.0,D. Saric enters the game for T. McConnell,,105-100,,
0:11.0,,,105-100,,Shooting foul by B. Simmons (drawn by J. Murray)
0:11.0,,,105-101,1,J. Murray makes free throw 1 of 2
0:11.0,,,105-101,,W. Chandler enters the game for N. Jokic
0:11.0,,,105-102,1,J. Murray makes free throw 2 of 2
0:04.0,R. Covington makes 2-pt shot from 1 ft (assist by D. Saric),2,107-102,,
0:00.0,,,107-102,,J. Murray misses 3-pt shot from 35 ft
0:00.0,,,107-102,,Offensive rebound by Team
