time,Atlanta,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. M. Plumlee (C. McCollum gains possession),,,,Jump ball: J. Nurkic vs. M. Plumlee (C. McCollum gains possession)
11:47.0,,,0-2,2,D. Lillard makes 2-pt shot from 9 ft (assist by J. Nurkic)
11:22.0,M. Plumlee makes 2-pt shot at rim (assist by D. Schroder),2,2-2,,
11:13.0,,,2-2,,Turnover by D. Lillard (bad pass)
11:01.0,K. Bazemore makes 2-pt shot from 19 ft (assist by E. Ilyasova),2,4-2,,
10:41.0,,,4-2,,A. Aminu misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by T. Waller-Prince,,4-2,,
10:27.0,K. Bazemore misses 2-pt shot from 6 ft,,4-2,,
10:22.0,,,4-2,,Defensive rebound by A. Aminu
10:16.0,,,4-5,3,D. Lillard makes 3-pt shot from 26 ft (assist by A. Aminu)
9:59.0,E. Ilyasova misses 2-pt shot from 21 ft,,4-5,,
9:56.0,,,4-5,,Defensive rebound by D. Lillard
9:51.0,,,4-5,,C. McCollum misses 2-pt shot from 15 ft
9:48.0,Defensive rebound by T. Waller-Prince,,4-5,,
9:32.0,D. Schroder makes 2-pt shot from 17 ft,2,6-5,,
9:13.0,,,6-8,3,E. Turner makes 3-pt shot from 24 ft (assist by C. McCollum)
9:02.0,Shooting foul by A. Aminu (drawn by D. Schroder),,6-8,,
9:02.0,D. Schroder makes free throw 1 of 2,1,7-8,,
9:02.0,D. Schroder makes free throw 2 of 2,1,8-8,,
8:48.0,,,8-8,,D. Lillard misses 2-pt shot from 22 ft
8:46.0,Defensive rebound by E. Ilyasova,,8-8,,
8:25.0,E. Ilyasova misses 2-pt shot from 1 ft,,8-8,,
8:20.0,Offensive rebound by E. Ilyasova,,8-8,,
8:20.0,E. Ilyasova makes 2-pt shot at rim,2,10-8,,
8:07.0,,,10-8,,D. Lillard misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by T. Waller-Prince,,10-8,,
7:53.0,D. Schroder misses 2-pt shot from 3 ft,,10-8,,
7:51.0,,,10-8,,Defensive rebound by J. Nurkic
7:44.0,,,10-8,,Shooting foul by T. Waller-Prince (drawn by A. Aminu)
7:44.0,,,10-9,1,A. Aminu makes free throw 1 of 2
7:44.0,,,10-9,,A. Aminu misses free throw 2 of 2
7:41.0,Defensive rebound by E. Ilyasova,,10-9,,
7:27.0,T. Waller-Prince misses 2-pt shot from 18 ft,,10-9,,
7:26.0,,,10-9,,Defensive rebound by E. Turner
7:24.0,Personal foul by T. Waller-Prince (drawn by J. Nurkic),,10-9,,
7:24.0,M. Belinelli enters the game for T. Waller-Prince,,10-9,,
7:15.0,,,10-9,,E. Turner misses 2-pt shot from 15 ft
7:10.0,Defensive rebound by D. Schroder,,10-9,,
7:04.0,E. Ilyasova misses 3-pt shot from 24 ft,,10-9,,
7:01.0,,,10-9,,Defensive rebound by A. Aminu
6:53.0,,,10-9,,Shooting foul by M. Plumlee (drawn by J. Nurkic)
6:53.0,,,10-9,,Portland full timeout
6:53.0,,,10-10,1,J. Nurkic makes free throw 1 of 2
6:53.0,,,10-11,1,J. Nurkic makes free throw 2 of 2
6:43.0,M. Belinelli misses 2-pt shot from 16 ft,,10-11,,
6:40.0,,,10-11,,Defensive rebound by C. McCollum
6:28.0,,,10-13,2,J. Nurkic makes 2-pt shot from 2 ft
6:10.0,K. Bazemore makes 2-pt shot from 17 ft (assist by D. Schroder),2,12-13,,
5:59.0,,,12-15,2,C. McCollum makes 2-pt shot from 19 ft (assist by D. Lillard)
5:41.0,D. Schroder misses 3-pt shot from 24 ft,,12-15,,
5:38.0,Offensive rebound by E. Ilyasova,,12-15,,
5:34.0,D. Schroder misses 3-pt shot from 24 ft,,12-15,,
5:31.0,,,12-15,,Defensive rebound by J. Nurkic
5:16.0,,,12-17,2,A. Aminu makes 2-pt shot from 2 ft
5:04.0,K. Bazemore misses 2-pt shot from 1 ft,,12-17,,
5:04.0,,,12-17,,Defensive rebound by Team
5:04.0,,,12-17,,E. Davis enters the game for E. Turner
5:04.0,,,12-17,,Z. Collins enters the game for J. Nurkic
5:04.0,J. Collins enters the game for M. Plumlee,,12-17,,
4:48.0,,,12-17,,C. McCollum misses 3-pt shot from 25 ft (block by K. Bazemore)
4:45.0,Defensive rebound by E. Ilyasova,,12-17,,
4:37.0,J. Collins misses 3-pt shot from 22 ft,,12-17,,
4:35.0,,,12-17,,Defensive rebound by E. Davis
4:23.0,,,12-17,,D. Lillard misses 2-pt shot from 4 ft
4:21.0,Defensive rebound by E. Ilyasova,,12-17,,
4:17.0,D. Schroder misses 2-pt shot at rim (block by Z. Collins),,12-17,,
4:15.0,,,12-17,,Defensive rebound by D. Lillard
4:11.0,,,12-17,,A. Aminu misses 3-pt shot from 23 ft
4:11.0,,,12-17,,Offensive rebound by Z. Collins
4:07.0,,,12-20,3,C. McCollum makes 3-pt shot from 22 ft (assist by Z. Collins)
4:05.0,Atlanta full timeout,,12-20,,
4:05.0,,,12-20,,P. Connaughton enters the game for C. McCollum
4:05.0,T. Cavanaugh enters the game for E. Ilyasova,,12-20,,
4:05.0,M. Delaney enters the game for K. Bazemore,,12-20,,
3:52.0,D. Schroder misses 2-pt shot from 3 ft,,12-20,,
3:50.0,,,12-20,,Defensive rebound by E. Davis
3:38.0,,,12-22,2,D. Lillard makes 2-pt shot from 22 ft (assist by P. Connaughton)
3:30.0,Offensive foul by D. Schroder (drawn by A. Aminu),,12-22,,
3:30.0,Turnover by D. Schroder (offensive foul),,12-22,,
3:30.0,I. Taylor enters the game for D. Schroder,,12-22,,
3:17.0,Personal foul by I. Taylor (drawn by D. Lillard),,12-22,,
3:07.0,,,12-22,,Z. Collins misses 3-pt shot from 23 ft
3:00.0,,,12-22,,Offensive rebound by E. Davis
3:00.0,,,12-24,2,E. Davis makes 2-pt shot at rim
2:54.0,Turnover by M. Belinelli (bad pass),,12-24,,
2:44.0,,,12-24,,D. Lillard misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by T. Cavanaugh,,12-24,,
2:32.0,M. Belinelli makes 3-pt shot from 24 ft,3,15-24,,
2:21.0,,,15-24,,Turnover by P. Connaughton (out of bounds lost ball)
2:04.0,M. Delaney makes 3-pt shot from 26 ft (assist by I. Taylor),3,18-24,,
1:45.0,,,18-26,2,P. Connaughton makes 2-pt shot at rim (assist by D. Lillard)
1:34.0,Shooting foul by E. Davis (drawn by I. Taylor),,18-26,,
1:34.0,I. Taylor makes free throw 1 of 2,1,19-26,,
1:34.0,,,19-26,,S. Napier enters the game for D. Lillard
1:34.0,,,19-26,,C. McCollum enters the game for A. Aminu
1:34.0,I. Taylor makes free throw 2 of 2,1,20-26,,
1:16.0,,,20-28,2,P. Connaughton makes 2-pt shot from 1 ft (assist by S. Napier)
1:00.0,I. Taylor misses 2-pt shot from 3 ft (block by E. Davis),,20-28,,
1:00.0,Offensive rebound by Team,,20-28,,
0:58.0,J. Collins misses 2-pt shot from 19 ft,,20-28,,
0:55.0,,,20-28,,Defensive rebound by Z. Collins
0:40.0,,,20-28,,Offensive charge foul by E. Davis (drawn by J. Collins)
0:40.0,,,20-28,,Turnover by E. Davis (offensive foul)
0:30.0,M. Delaney misses 2-pt shot from 3 ft,,20-28,,
0:29.0,,,20-28,,Defensive rebound by Z. Collins
0:21.0,,,20-30,2,C. McCollum makes 2-pt shot from 3 ft
0:04.0,M. Belinelli misses 2-pt shot from 11 ft,,20-30,,
0:02.0,Offensive rebound by M. Belinelli,,20-30,,
0:02.0,M. Belinelli makes 2-pt shot from 3 ft,2,22-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Turnover by I. Taylor (traveling),,22-30,,
11:27.0,,,22-32,2,E. Davis makes 2-pt shot from 2 ft (assist by Z. Collins)
11:12.0,J. Collins misses 3-pt shot from 22 ft,,22-32,,
11:10.0,,,22-32,,Defensive rebound by Z. Collins
10:59.0,,,22-32,,Turnover by S. Napier (lost ball; steal by J. Collins)
10:55.0,I. Taylor makes 2-pt shot at rim,2,24-32,,
10:44.0,,,24-35,3,C. McCollum makes 3-pt shot from 24 ft (assist by S. Napier)
10:27.0,Turnover by M. Belinelli (bad pass),,24-35,,
10:27.0,M. Plumlee enters the game for J. Collins,,24-35,,
10:14.0,,,24-37,2,E. Davis makes 2-pt shot from 2 ft (assist by S. Napier)
10:01.0,M. Belinelli misses 2-pt shot from 1 ft,,24-37,,
9:59.0,,,24-37,,Defensive rebound by Z. Collins
9:58.0,Personal block foul by M. Delaney (drawn by C. McCollum),,24-37,,
9:58.0,E. Ilyasova enters the game for M. Belinelli,,24-37,,
9:58.0,T. Waller-Prince enters the game for T. Cavanaugh,,24-37,,
9:52.0,,,24-37,,C. McCollum misses 3-pt shot from 25 ft
9:48.0,,,24-37,,Offensive rebound by E. Davis
9:43.0,,,24-37,,Shooting foul by M. Plumlee (drawn by Z. Collins)
9:43.0,,,24-38,1,Z. Collins makes free throw 1 of 2
9:43.0,,,24-38,,Z. Collins misses free throw 2 of 2
9:41.0,Defensive rebound by E. Ilyasova,,24-38,,
9:25.0,T. Waller-Prince makes 2-pt shot from 7 ft,2,26-38,,
9:12.0,,,26-38,,Turnover by P. Connaughton (out of bounds lost ball)
8:59.0,I. Taylor misses 2-pt shot from 4 ft,,26-38,,
8:59.0,Offensive rebound by M. Plumlee,,26-38,,
8:52.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by T. Waller-Prince),3,29-38,,
8:29.0,,,29-38,,E. Turner enters the game for P. Connaughton
8:24.0,,,29-38,,Turnover by S. Napier (bad pass; steal by E. Ilyasova)
8:22.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by M. Delaney),2,31-38,,
8:22.0,,,31-38,,Portland full timeout
8:07.0,,,31-41,3,C. McCollum makes 3-pt shot from 24 ft (assist by E. Davis)
7:50.0,Shooting foul by Z. Collins (drawn by T. Waller-Prince),,31-41,,
7:50.0,T. Waller-Prince makes free throw 1 of 2,1,32-41,,
7:50.0,D. Schroder enters the game for M. Delaney,,32-41,,
7:50.0,K. Bazemore enters the game for I. Taylor,,32-41,,
7:50.0,T. Waller-Prince makes free throw 2 of 2,1,33-41,,
7:50.0,,,33-41,,J. Nurkic enters the game for E. Davis
7:39.0,,,33-41,,S. Napier misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by M. Plumlee,,33-41,,
7:29.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Schroder),3,36-41,,
7:11.0,,,36-41,,J. Nurkic misses 2-pt shot from 17 ft
7:08.0,Defensive rebound by E. Ilyasova,,36-41,,
6:52.0,T. Waller-Prince misses 3-pt shot from 24 ft,,36-41,,
6:52.0,,,36-41,,Defensive rebound by C. McCollum
6:38.0,,,36-43,2,J. Nurkic makes 2-pt shot from 2 ft
6:30.0,D. Schroder makes 2-pt shot from 8 ft,2,38-43,,
6:30.0,Shooting foul by Z. Collins (drawn by D. Schroder),,38-43,,
6:30.0,,,38-43,,D. Lillard enters the game for C. McCollum
6:30.0,,,38-43,,A. Aminu enters the game for Z. Collins
6:30.0,D. Schroder makes free throw 1 of 1,1,39-43,,
6:09.0,,,39-45,2,E. Turner makes 2-pt shot from 16 ft
5:52.0,M. Plumlee makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,41-45,,
5:30.0,,,41-45,,Turnover by J. Nurkic (lost ball; steal by T. Waller-Prince)
5:16.0,D. Schroder makes 2-pt shot from 1 ft,2,43-45,,
4:50.0,,,43-45,,J. Nurkic misses 2-pt shot from 2 ft (block by E. Ilyasova)
4:50.0,,,43-45,,Offensive rebound by J. Nurkic
4:50.0,,,43-45,,J. Nurkic misses 2-pt shot from 2 ft (block by M. Plumlee)
4:50.0,,,43-45,,Offensive rebound by Team
4:50.0,,,43-45,,Turnover by Team (shot clock)
4:40.0,E. Ilyasova misses 3-pt shot from 25 ft,,43-45,,
4:36.0,,,43-45,,Defensive rebound by E. Turner
4:20.0,,,43-47,2,J. Nurkic makes 2-pt shot from 2 ft
3:53.0,K. Bazemore misses 3-pt shot from 25 ft,,43-47,,
3:49.0,,,43-47,,Defensive rebound by A. Aminu
3:32.0,,,43-47,,A. Aminu misses 3-pt shot from 27 ft
3:32.0,Defensive rebound by Team,,43-47,,
3:32.0,,,43-47,,Loose ball foul by J. Nurkic (drawn by M. Plumlee)
3:32.0,,,43-47,,C. McCollum enters the game for S. Napier
