time,Golden State,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Adebayo vs. Z. Pachulia (J. Winslow gains possession),,,,Jump ball: B. Adebayo vs. Z. Pachulia (J. Winslow gains possession)
11:32.0,,,0-0,,J. Richardson misses 2-pt shot from 19 ft
11:32.0,Defensive rebound by Team,,0-0,,
11:22.0,S. Curry misses 2-pt shot from 1 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by J. Winslow
11:13.0,,,0-0,,B. Adebayo misses 2-pt shot from 7 ft
11:13.0,Defensive rebound by K. Thompson,,0-0,,
11:01.0,D. Green misses 3-pt shot from 26 ft,,0-0,,
10:58.0,Offensive rebound by Z. Pachulia,,0-0,,
10:58.0,Turnover by K. Durant (bad pass; steal by G. Dragic),,0-0,,
10:57.0,Personal foul by S. Curry (drawn by G. Dragic),,0-0,,
10:46.0,,,0-3,3,G. Dragic makes 3-pt shot from 26 ft
10:26.0,K. Thompson misses 3-pt shot from 22 ft,,0-3,,
10:25.0,Offensive rebound by Team,,0-3,,
10:19.0,K. Durant misses 2-pt shot from 17 ft,,0-3,,
10:14.0,,,0-3,,Defensive rebound by B. Adebayo
10:09.0,,,0-6,3,J. Winslow makes 3-pt shot from 22 ft (assist by G. Dragic)
9:54.0,S. Curry makes 2-pt shot from 20 ft,2,2-6,,
9:32.0,,,2-6,,G. Dragic misses 2-pt shot from 13 ft
9:30.0,,,2-6,,Offensive rebound by B. Adebayo
9:29.0,,,2-8,2,B. Adebayo makes 2-pt shot from 1 ft
9:13.0,K. Durant misses 3-pt shot from 25 ft,,2-8,,
9:10.0,,,2-8,,Defensive rebound by D. Waiters
9:02.0,,,2-10,2,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Winslow)
8:46.0,K. Thompson makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,5-10,,
8:31.0,,,5-10,,Shooting foul by Z. Pachulia (drawn by B. Adebayo)
8:31.0,,,5-11,1,B. Adebayo makes free throw 1 of 2
8:31.0,,,5-12,1,B. Adebayo makes free throw 2 of 2
8:09.0,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green),2,7-12,,
7:51.0,,,7-12,,D. Waiters misses 2-pt shot from 19 ft
7:48.0,Defensive rebound by Z. Pachulia,,7-12,,
7:41.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,9-12,,
7:20.0,,,9-14,2,G. Dragic makes 2-pt shot from 1 ft
7:06.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green),2,11-14,,
6:44.0,,,11-16,2,J. Richardson makes 2-pt shot from 1 ft
6:27.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant),2,13-16,,
6:27.0,Shooting foul by J. Winslow (drawn by Z. Pachulia),,13-16,,
6:27.0,,,13-16,,Miami full timeout
6:27.0,Z. Pachulia makes free throw 1 of 1,1,14-16,,
6:10.0,,,14-16,,D. Waiters misses 2-pt shot from 17 ft
6:07.0,Defensive rebound by D. Green,,14-16,,
5:59.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,17-16,,
5:36.0,,,17-19,3,G. Dragic makes 3-pt shot from 29 ft
5:35.0,,,17-19,,Shooting foul by K. Thompson (drawn by G. Dragic)
5:35.0,,,17-20,1,G. Dragic makes free throw 1 of 1
5:25.0,Shooting foul by B. Adebayo (drawn by Z. Pachulia),,17-20,,
5:25.0,Z. Pachulia makes free throw 1 of 2,1,18-20,,
5:25.0,Z. Pachulia misses free throw 2 of 2,,18-20,,
5:22.0,,,18-20,,Defensive rebound by J. Winslow
5:04.0,,,18-20,,J. Winslow misses 3-pt shot from 23 ft
5:01.0,Defensive rebound by K. Thompson,,18-20,,
4:55.0,Shooting foul by G. Dragic (drawn by S. Curry),,18-20,,
4:55.0,S. Curry makes free throw 1 of 3,1,19-20,,
4:55.0,S. Curry misses free throw 2 of 3,,19-20,,
4:55.0,Offensive rebound by Team,,19-20,,
4:55.0,,,19-20,,J. Johnson enters the game for J. Winslow
4:55.0,,,19-20,,T. Johnson enters the game for G. Dragic
4:55.0,J. Bell enters the game for D. Green,,19-20,,
4:55.0,O. Casspi enters the game for Z. Pachulia,,19-20,,
4:55.0,S. Curry makes free throw 3 of 3,1,20-20,,
4:33.0,,,20-20,,J. Johnson misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by Team,,20-20,,
