time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Towns (R. Anderson gains possession),,,,Jump ball: C. Capela vs. K. Towns (R. Anderson gains possession)
11:34.0,,,0-0,,L. Mbah a Moute misses 2-pt shot from 7 ft (block by K. Towns)
11:30.0,Defensive rebound by A. Wiggins,,0-0,,
11:18.0,K. Towns makes 2-pt shot from 6 ft (assist by A. Wiggins),2,2-0,,
11:03.0,,,2-0,,R. Anderson misses 3-pt shot from 30 ft
10:59.0,Defensive rebound by K. Towns,,2-0,,
10:52.0,A. Wiggins misses 2-pt shot from 21 ft,,2-0,,
10:49.0,,,2-0,,Defensive rebound by C. Capela
10:43.0,,,2-0,,J. Harden misses 2-pt shot from 18 ft
10:40.0,Defensive rebound by K. Towns,,2-0,,
10:30.0,J. Butler misses 2-pt shot from 3 ft,,2-0,,
10:27.0,,,2-0,,Defensive rebound by C. Capela
10:21.0,,,2-0,,Turnover by C. Paul (bad pass; steal by J. Butler)
10:08.0,K. Towns misses 2-pt shot from 8 ft,,2-0,,
10:07.0,Offensive rebound by Team,,2-0,,
9:47.0,K. Towns misses 2-pt shot from 9 ft (block by J. Harden),,2-0,,
9:47.0,Offensive rebound by Team,,2-0,,
9:41.0,J. Butler misses 2-pt shot from 14 ft (block by J. Harden),,2-0,,
9:39.0,,,2-0,,Defensive rebound by L. Mbah a Moute
9:32.0,,,2-0,,J. Harden misses 3-pt shot from 25 ft
9:28.0,,,2-0,,Offensive rebound by R. Anderson
9:23.0,,,2-3,3,L. Mbah a Moute makes 3-pt shot from 27 ft (assist by C. Paul)
9:01.0,A. Wiggins misses 2-pt shot from 21 ft,,2-3,,
8:57.0,,,2-3,,Defensive rebound by R. Anderson
8:45.0,,,2-5,2,C. Capela makes 2-pt shot from 1 ft (assist by L. Mbah a Moute)
8:31.0,A. Wiggins makes 3-pt shot from 22 ft (assist by T. Gibson),3,5-5,,
