time,Golden State,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (R. Rubio gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (R. Rubio gains possession)
11:40.0,,,0-2,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Favors)
11:28.0,K. Durant misses 2-pt shot from 14 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by D. Favors
11:08.0,,,0-2,,D. Favors misses 2-pt shot from 13 ft
11:08.0,Defensive rebound by Z. Pachulia,,0-2,,
10:50.0,K. Durant makes 2-pt shot from 13 ft,2,2-2,,
10:31.0,,,2-4,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Rubio)
10:23.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green),2,4-4,,
10:03.0,,,4-6,2,D. Mitchell makes 2-pt shot from 9 ft
9:54.0,,,4-6,,Violation by R. Gobert (kicked ball)
9:45.0,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson),2,6-6,,
9:35.0,,,6-6,,R. Rubio misses 2-pt shot from 18 ft
9:32.0,Defensive rebound by Q. Cook,,6-6,,
9:28.0,K. Thompson misses 2-pt shot from 22 ft,,6-6,,
9:27.0,,,6-6,,Defensive rebound by J. Ingles
9:15.0,,,6-8,2,J. Ingles makes 2-pt shot from 10 ft
9:02.0,K. Thompson misses 2-pt shot from 19 ft,,6-8,,
8:59.0,,,6-8,,Defensive rebound by R. Gobert
8:47.0,,,6-8,,D. Favors misses 3-pt shot from 23 ft
8:44.0,Defensive rebound by Z. Pachulia,,6-8,,
8:30.0,D. Green misses 2-pt shot from 11 ft,,6-8,,
8:29.0,Offensive rebound by Team,,6-8,,
8:29.0,,,6-8,,Loose ball foul by D. Favors (drawn by D. Green)
8:27.0,Turnover by K. Durant (bad pass; steal by R. Rubio),,6-8,,
8:24.0,,,6-10,2,R. Rubio makes 2-pt shot from 1 ft
8:09.0,Q. Cook misses 3-pt shot from 25 ft,,6-10,,
8:08.0,,,6-10,,Defensive rebound by D. Favors
7:49.0,,,6-12,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Gobert)
7:49.0,,,6-12,,Shooting foul by Z. Pachulia (drawn by D. Favors)
7:49.0,Golden State full timeout,,6-12,,
7:49.0,,,6-12,,D. Favors misses free throw 1 of 1
7:49.0,,,6-12,,Offensive rebound by R. Rubio
7:34.0,,,6-12,,J. Ingles misses 3-pt shot from 24 ft
7:31.0,,,6-12,,Offensive rebound by D. Favors
7:29.0,,,6-14,2,D. Favors makes 2-pt shot from 1 ft
7:16.0,K. Durant makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,8-14,,
