time,Washington,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Gortat (T. Frazier gains possession),,,,Jump ball: R. Gobert vs. M. Gortat (T. Frazier gains possession)
11:38.0,M. Morris makes 2-pt shot from 2 ft (assist by M. Gortat),2,2-0,,
11:14.0,,,2-2,2,D. Mitchell makes 2-pt shot from 1 ft
10:59.0,M. Gortat misses 2-pt shot from 11 ft,,2-2,,
10:56.0,,,2-2,,Defensive rebound by R. Gobert
10:39.0,,,2-2,,D. Favors misses 2-pt shot from 11 ft
10:39.0,,,2-2,,Offensive rebound by R. Gobert
10:39.0,,,2-2,,R. Gobert misses 2-pt shot from 1 ft
10:39.0,Defensive rebound by M. Gortat,,2-2,,
10:25.0,B. Beal misses 2-pt shot from 2 ft,,2-2,,
10:22.0,,,2-2,,Defensive rebound by R. Gobert
10:16.0,,,2-4,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Gobert)
9:47.0,B. Beal makes 2-pt shot from 21 ft (assist by M. Gortat),2,4-4,,
9:36.0,,,4-6,2,D. Mitchell makes 2-pt shot from 9 ft (assist by D. Favors)
9:20.0,B. Beal misses 3-pt shot from 25 ft,,4-6,,
9:18.0,,,4-6,,Defensive rebound by Team
8:58.0,,,4-6,,D. Favors misses 3-pt shot from 22 ft
8:58.0,Defensive rebound by Team,,4-6,,
8:58.0,,,4-6,,Loose ball foul by R. Gobert (drawn by M. Gortat)
8:58.0,,,4-6,,J. Jerebko enters the game for D. Favors
8:43.0,T. Frazier makes 3-pt shot from 25 ft,3,7-6,,
8:29.0,,,7-9,3,D. Mitchell makes 3-pt shot from 27 ft (assist by J. Jerebko)
8:16.0,B. Beal misses 2-pt shot from 18 ft,,7-9,,
8:13.0,,,7-9,,Defensive rebound by R. Gobert
8:04.0,,,7-11,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
7:44.0,M. Gortat misses 2-pt shot from 4 ft (block by R. Gobert),,7-11,,
7:41.0,,,7-11,,Defensive rebound by R. Gobert
7:38.0,Personal foul by B. Beal (drawn by R. Rubio),,7-11,,
7:28.0,,,7-11,,R. Rubio misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by M. Gortat,,7-11,,
7:15.0,M. Morris misses 2-pt shot from 9 ft,,7-11,,
7:12.0,,,7-11,,Defensive rebound by R. Rubio
7:07.0,Personal foul by M. Morris (drawn by R. Gobert),,7-11,,
7:07.0,,,7-11,,Utah full timeout
6:52.0,,,7-11,,R. Rubio misses 2-pt shot from 17 ft
6:49.0,,,7-11,,Offensive rebound by R. Gobert
