time,Golden State,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: M. Kleber vs. Z. Pachulia (D. Green gains possession)
11:44.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,2-0,,
11:22.0,,,2-0,,D. Nowitzki misses 2-pt shot from 17 ft
11:20.0,Defensive rebound by K. Durant,,2-0,,
11:15.0,K. Durant misses 2-pt shot from 10 ft,,2-0,,
11:10.0,,,2-0,,Defensive rebound by D. Nowitzki
11:00.0,,,2-3,3,H. Barnes makes 3-pt shot from 22 ft (assist by D. Smith)
10:48.0,Turnover by S. Curry (bad pass; steal by D. Nowitzki),,2-3,,
10:43.0,,,2-5,2,M. Kleber makes 2-pt shot from 2 ft (assist by D. Smith)
10:34.0,,,2-5,,Personal foul by D. Smith (drawn by S. Curry)
10:30.0,Z. Pachulia makes 2-pt shot from 6 ft (assist by K. Thompson),2,4-5,,
10:07.0,,,4-5,,M. Kleber misses 2-pt shot from 15 ft
10:07.0,Defensive rebound by D. Green,,4-5,,
9:59.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green),2,6-5,,
9:46.0,,,6-5,,D. Nowitzki misses 2-pt shot from 18 ft
9:43.0,Defensive rebound by K. Thompson,,6-5,,
9:38.0,K. Durant misses 3-pt shot from 25 ft,,6-5,,
9:38.0,,,6-5,,Defensive rebound by H. Barnes
9:22.0,,,6-8,3,D. Smith makes 3-pt shot from 25 ft
9:08.0,Shooting foul by M. Kleber (drawn by K. Durant),,6-8,,
9:08.0,K. Durant makes free throw 1 of 2,1,7-8,,
9:08.0,K. Durant makes free throw 2 of 2,1,8-8,,
8:56.0,,,8-8,,D. Smith misses 2-pt shot from 18 ft
8:53.0,Defensive rebound by S. Curry,,8-8,,
8:43.0,S. Curry misses 3-pt shot from 22 ft,,8-8,,
8:40.0,,,8-8,,Defensive rebound by D. Nowitzki
8:30.0,,,8-8,,H. Barnes misses 2-pt shot from 5 ft (block by K. Durant)
8:26.0,Defensive rebound by D. Green,,8-8,,
8:18.0,S. Curry makes 3-pt shot from 29 ft (assist by Z. Pachulia),3,11-8,,
7:59.0,,,11-11,3,M. Kleber makes 3-pt shot from 23 ft (assist by H. Barnes)
7:50.0,S. Curry misses 3-pt shot from 25 ft,,11-11,,
7:50.0,,,11-11,,Defensive rebound by D. Nowitzki
7:39.0,,,11-13,2,D. Smith makes 2-pt shot from 2 ft
7:29.0,K. Thompson misses 2-pt shot from 22 ft,,11-13,,
7:27.0,,,11-13,,Defensive rebound by D. Nowitzki
7:22.0,,,11-13,,D. Smith misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by Z. Pachulia,,11-13,,
7:18.0,,,11-13,,S. Mejri enters the game for D. Nowitzki
7:18.0,Golden State full timeout,,11-13,,
7:18.0,,,11-13,,Personal block foul by M. Kleber (drawn by K. Durant)
7:08.0,K. Durant misses 2-pt shot from 14 ft,,11-13,,
7:04.0,,,11-13,,Defensive rebound by S. Mejri
6:52.0,,,11-13,,W. Matthews misses 2-pt shot from 12 ft (block by K. Thompson)
6:48.0,Defensive rebound by D. Green,,11-13,,
6:46.0,Turnover by D. Green (bad pass; steal by D. Smith),,11-13,,
6:38.0,,,11-13,,D. Smith misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by D. Green,,11-13,,
6:29.0,Turnover by S. Curry (bad pass; steal by S. Mejri),,11-13,,
6:07.0,,,11-13,,S. Mejri misses 2-pt shot from 5 ft
6:06.0,,,11-13,,Offensive rebound by Team
6:06.0,,,11-13,,Turnover by Team (shot clock)
5:51.0,Z. Pachulia misses 2-pt shot from 5 ft (block by M. Kleber),,11-13,,
5:48.0,,,11-13,,Defensive rebound by S. Mejri
5:40.0,,,11-13,,Turnover by S. Mejri (lost ball; steal by D. Green)
5:38.0,Shooting foul by H. Barnes (drawn by Z. Pachulia),,11-13,,
5:38.0,Z. Pachulia makes free throw 1 of 2,1,12-13,,
5:38.0,,,12-13,,D. Harris enters the game for M. Kleber
5:38.0,P. McCaw enters the game for D. Green,,12-13,,
5:38.0,Z. Pachulia makes free throw 2 of 2,1,13-13,,
5:21.0,,,13-13,,Shooting foul by Z. Pachulia (drawn by W. Matthews)
5:21.0,,,13-14,1,W. Matthews makes free throw 2 of 2
5:21.0,,,13-14,,W. Matthews misses free throw 1 of 2
